n	n11	n10	n01	n00	pct_partner_given_cldn4	pct_partner_given_cldn4neg	odds_ratio	fisher_p	compartment	gene
396	207	30	43	116	87.3418	27.044	18.614	4.12386e-35	MPE_epithelial	TACSTD2
396	211	26	46	113	89.0295	28.9308	19.9356	1.17828e-35	MPE_epithelial	ELF3
396	221	16	48	111	93.2489	30.1887	31.9414	1.14753e-41	MPE_epithelial	EPCAM
269	196	25	28	20	88.6878	58.3333	5.6	3.485e-06	MPE_epithelial_EPCAM_pos	TACSTD2
269	201	20	15	33	90.9502	31.25	22.11	2.59662e-17	MPE_epithelial_EPCAM_pos	ELF3
269	221	0	48	0	100	100		1	MPE_epithelial_EPCAM_pos	EPCAM
259	191	25	26	17	88.4259	60.4651	4.99538	3.73488e-05	MPE_carcinoma_like	TACSTD2
259	196	20	13	30	90.7407	30.2326	22.6154	3.22143e-16	MPE_carcinoma_like	ELF3
259	216	0	43	0	100	100		1	MPE_carcinoma_like	EPCAM
76	1	1	4	70	50	5.40541	17.5	0.12807	MPE_mesothelial_like	TACSTD2
76	2	0	16	58	100	21.6216	inf	0.0536842	MPE_mesothelial_like	ELF3
76	0	2	0	74	0	0		1	MPE_mesothelial_like	EPCAM
6352	5142	447	463	300	92.0021	60.6815	7.45358	1.87208e-102	primary_tS	TACSTD2
6352	5354	235	550	213	95.7953	72.0839	8.82323	5.66832e-86	primary_tS	ELF3
6352	5065	524	451	312	90.6244	59.1088	6.68692	4.88223e-97	primary_tS	EPCAM
7270	5677	587	574	432	90.629	57.0577	7.27868	4.53733e-137	primary_epithelial_all	TACSTD2
7270	5918	346	673	333	94.4764	66.8986	8.46307	2.65599e-123	primary_epithelial_all	ELF3
7270	5592	672	569	437	89.272	56.5606	6.39097	1.7633e-124	primary_epithelial_all	EPCAM
2020	958	496	246	320	65.8872	43.4629	2.51246	5.67343e-20	normal_AT2	TACSTD2
2020	1264	190	385	181	86.9326	68.0212	3.1276	3.10336e-21	normal_AT2	ELF3
2020	1100	354	327	239	75.6534	57.7739	2.27112	7.7173e-15	normal_AT2	EPCAM
24784	16779	4349	1088	2568	79.4159	29.7593	9.10632	0	author_malignant_advanced	TACSTD2
24784	19221	1907	1491	2165	90.9741	40.7823	14.6354	0	author_malignant_advanced	ELF3
24784	19008	2120	1915	1741	89.9659	52.3796	8.15137	0	author_malignant_advanced	EPCAM
