contrast	metric	n_mpe	n_primary	median_mpe	median_primary	delta_median_mpe_minus_primary	mannwhitney_U	p
MPE_epithelial_vs_primary_tS	CLDN4_mean_log	4	10	1.18864	1.56645	-0.377814	11	0.23976
MPE_epithelial_vs_primary_tS	CLDN4_pct	4	10	67.1667	87.788	-20.6214	8	0.105894
MPE_epithelial_vs_primary_tS	TACSTD2_mean_log	4	10	1.16358	1.6644	-0.500817	10	0.187812
MPE_epithelial_vs_primary_tS	TACSTD2_pct	4	10	72.6608	86.8571	-14.1963	4	0.023976
MPE_epithelial_vs_primary_tS	ELF3_mean_log	4	10	1.32811	1.9156	-0.587488	3	0.013986
MPE_epithelial_vs_primary_tS	ELF3_pct	4	10	78.0133	91.6838	-13.6705	18	0.839161
MPE_epithelial_vs_primary_tS	EPCAM_mean_log	4	10	1.53313	1.31116	0.221965	24	0.635365
MPE_epithelial_vs_primary_tS	EPCAM_pct	4	10	76.4035	86.3818	-9.97834	12	0.303696
MPE_carcinoma_like_vs_primary_tS	CLDN4_mean_log	3	10	1.7147	1.56645	0.148248	18	0.692308
MPE_carcinoma_like_vs_primary_tS	CLDN4_pct	3	10	95	87.788	7.21198	20.5	0.468531
MPE_carcinoma_like_vs_primary_tS	TACSTD2_mean_log	3	10	1.93547	1.6644	0.271066	18	0.692308
MPE_carcinoma_like_vs_primary_tS	TACSTD2_pct	3	10	82.2785	86.8571	-4.57866	16	0.937063
MPE_carcinoma_like_vs_primary_tS	ELF3_mean_log	3	10	1.52162	1.9156	-0.393977	6	0.160839
MPE_carcinoma_like_vs_primary_tS	ELF3_pct	3	10	95	91.6838	3.31616	19	0.573427
MPE_carcinoma_like_vs_primary_tS	EPCAM_mean_log	3	10	2.06543	1.31116	0.754265	29	0.013986
MPE_carcinoma_like_vs_primary_tS	EPCAM_pct	3	10	100	86.3818	13.6182	30	0.00699301
MPE_carcinoma_like_vs_primary_matched_gate	CLDN4_mean_log	3	10	1.7147	1.59826	0.116444	18	0.692308
MPE_carcinoma_like_vs_primary_matched_gate	CLDN4_pct	3	10	95	90.4658	4.53425	16	0.937063
MPE_carcinoma_like_vs_primary_matched_gate	TACSTD2_mean_log	3	10	1.93547	1.73035	0.205115	18	0.692308
MPE_carcinoma_like_vs_primary_matched_gate	TACSTD2_pct	3	10	82.2785	89.0988	-6.82036	11	0.573427
MPE_carcinoma_like_vs_primary_matched_gate	ELF3_mean_log	3	10	1.52162	1.93161	-0.409993	6	0.160839
MPE_carcinoma_like_vs_primary_matched_gate	ELF3_pct	3	10	95	93.5963	1.40369	16	0.937063
MPE_carcinoma_like_vs_primary_matched_gate	EPCAM_mean_log	3	10	2.06543	1.58207	0.483361	27	0.048951
MPE_carcinoma_like_vs_primary_matched_gate	EPCAM_pct	3	10	100	100	0	15	1
same_gate_epithelial_MPE_vs_primary	CLDN4_mean_log	4	11	1.18864	1.53068	-0.342036	15	0.411722
same_gate_epithelial_MPE_vs_primary	CLDN4_pct	4	11	67.1667	85.7143	-18.5476	9	0.104029
same_gate_epithelial_MPE_vs_primary	TACSTD2_mean_log	4	11	1.16358	1.61743	-0.453848	13	0.279853
same_gate_epithelial_MPE_vs_primary	TACSTD2_pct	4	11	72.6608	84.8276	-12.1668	9	0.104029
same_gate_epithelial_MPE_vs_primary	ELF3_mean_log	4	11	1.32811	1.86288	-0.534774	7	0.0556777
same_gate_epithelial_MPE_vs_primary	ELF3_pct	4	11	78.0133	89.924	-11.9106	22	1
same_gate_epithelial_MPE_vs_primary	EPCAM_mean_log	4	11	1.53313	1.26613	0.266993	30	0.342857
same_gate_epithelial_MPE_vs_primary	EPCAM_pct	4	11	76.4035	83.0798	-6.67634	15	0.411722
