title,taxon,n_samples_meta,n_subjects_detected,n_pre_labelled,n_post_labelled,source_file,gene_row,n_samples_in_matrix,gse,n_paired_subjects,status,reason,n_tables_tried
mRNA expressions in pre-treatment melanomas undergoing anti-PD-1 checkpoint inhibition therapy,,28.0,27.0,15.0,0.0,GSE78220_PatientFPKM.xlsx,TACSTD2,28.0,GSE78220,0.0,fail,TACSTD2 present but only 0 paired subjects,
"Programmed death 1 receptor blockade and immune-related gene expression profiling in non-small cell lung carcinoma, head and neck squamous cell carcinoma and melanoma",,65.0,0.0,65.0,0.0,,,,GSE93157,,fail,TACSTD2/Tacstd2 not found in matrix or supplementary tables,2.0
Robust prediction of response to immune checkpoint blockade therapy in metastatic melanoma,,23.0,6.0,6.0,0.0,GSE115821_MGH_counts.csv.gz,TACSTD2,42.0,GSE115821,0.0,fail,TACSTD2 present but only 0 paired subjects,
Clonal replacement of tumor-specific T cells following PD-1 blockade,,5.0,4.0,3.0,0.0,,,,GSE123814,,fail,TACSTD2/Tacstd2 not found in matrix or supplementary tables,0.0
Genome-wide identification of differentially methylated promoters and enhancers associated with response to anti-PD-1 therapy in non-small cell lung cancer,,16.0,0.0,16.0,0.0,GSE126044_counts.txt.gz,TACSTD2,16.0,GSE126044,0.0,fail,TACSTD2 present but only 0 paired subjects,
DNA methylation loss coupled with mitotic cell division promotes immune evasion of tumours with high mutation load [RNA-seq],,27.0,0.0,0.0,27.0,GSE135222_GEO_RNA-seq_omicslab_exp.tsv.gz,ENSG00000184292.5,27.0,GSE135222,0.0,fail,TACSTD2 present but only 0 paired subjects,
Immune gene signatures for predicting durable clinical benefit of anti-PD-1 immunotherapy in patients with non-small cell lung cancer,,21.0,0.0,0.0,21.0,,,,GSE136961,,fail,TACSTD2/Tacstd2 not found in matrix or supplementary tables,2.0
Pre- Treatment Mutational and Transcriptomic Landscape of Responding Metastatic Melanoma Patients to Anti-PD1 Immunotherapy,,14.0,0.0,0.0,0.0,GSE145996_Melanoma_Immune_FPKM.txt.gz,TACSTD2,15.0,GSE145996,0.0,fail,TACSTD2 present but only 0 paired subjects,
Delineating copy number and clonal substructure in human tumors from single-cell transcriptomes ,,13.0,0.0,5.0,0.0,,,,GSE148673,,fail,TACSTD2/Tacstd2 not found in matrix or supplementary tables,1.0
Single-cell RNA sequencing of human osteosarcoma,,6.0,0.0,0.0,0.0,,,,GSE162454,,fail,TACSTD2/Tacstd2 not found in matrix or supplementary tables,1.0
RNA sequencing of the phase II PERFECT trial combining a PD-L1 inhibitor (atezolizumab) with neoadjuvant chemoradiotherapy in resectable esophageal adenocarcinoma patients.,,77.0,0.0,0.0,11.0,GSE165252_vst_PERFECT.txt.gz,ENSG00000184292.7,77.0,GSE165252,0.0,fail,TACSTD2 present but only 0 paired subjects,
Pathway Signatures Derived from On-treatment Tumor Specimens Predict Response to Anti-PD1 Blockade in Metastatic Melanoma,,7.0,0.0,2.0,0.0,GSE168204_MGH_counts.csv.gz,TACSTD2,29.0,GSE168204,0.0,fail,TACSTD2 present but only 0 paired subjects,
Durvalumab with olaparib and paclitaxel for high-risk HER2-negative stage II/III breast cancer: Results from the adaptively randomized I-SPY2 platform trial ,,105.0,0.0,105.0,0.0,GSE173839_ISPY2_AgilentGeneExp_durvaPlusCtr_FFPE_meanCol_geneLevel_n105.txt.gz,TACSTD2,105.0,GSE173839,0.0,fail,TACSTD2 present but only 0 paired subjects,
Fibroblast Growth Factor Receptor 3 Alterations and Response to Immune Checkpoint Inhibition in Metastatic Urothelial Cancer: A Real World Experience,,90.0,0.0,0.0,0.0,GSE176307_salmon_tpm_gene.matrix.tsv.gz,TACSTD2,92.0,GSE176307,0.0,fail,TACSTD2 present but only 0 paired subjects,
