title,taxon,n_samples_meta,n_subjects_detected,n_pre_labelled,n_post_labelled,source_file,gene_row,n_samples_in_matrix,gse,n_paired_subjects,status,reason,n_up,n_down,n_flat,frac_up,median_delta,mean_pre,mean_post,wilcoxon_p,sign_test_p
Molecular portraits of tumor mutational and micro-environmental sculpting by immune checkpoint blockade therapy,,109,0,0,0,GSE91061_BMS038109Sample.hg19KnownGene.rld.csv.gz,4070,109,GSE91061,43,ok,,22,21,0,0.512,0.041608410608199975,5.304648375185648,5.928888263889652,0.32852326531519793,1.0
Dual Immune Checkpoint Blockade Induces Distinct Systemic and Intratumoral Immune Activation in Recurrent Glioblastoma,,226,0,0,0,GSE318645_IpiNivo.PBMC.htseqCount.RenamedForGEO.txt.gz,TACSTD2,179,GSE318645,43,ok,,3,9,31,0.07,0.0,0.9302325581395349,0.6744186046511628,0.11158379448906317,3.0213413992896676e-09
