gse,status,reason,title,n_paired_subjects,gene_row
GSE78220,fail,TACSTD2 present but only 0 paired subjects,mRNA expressions in pre-treatment melanomas undergoing anti-PD-1 checkpoint inhibition therapy,0.0,TACSTD2
GSE93157,fail,TACSTD2/Tacstd2 not found in matrix or supplementary tables,"Programmed death 1 receptor blockade and immune-related gene expression profiling in non-small cell lung carcinoma, head and neck squamous cell carcinoma and me",,
GSE115821,fail,TACSTD2 present but only 0 paired subjects,Robust prediction of response to immune checkpoint blockade therapy in metastatic melanoma,0.0,TACSTD2
GSE123814,fail,TACSTD2/Tacstd2 not found in matrix or supplementary tables,Clonal replacement of tumor-specific T cells following PD-1 blockade,,
GSE126044,fail,TACSTD2 present but only 0 paired subjects,Genome-wide identification of differentially methylated promoters and enhancers associated with response to anti-PD-1 therapy in non-small cell lung cancer,0.0,TACSTD2
GSE135222,fail,TACSTD2 present but only 0 paired subjects,DNA methylation loss coupled with mitotic cell division promotes immune evasion of tumours with high mutation load [RNA-seq],0.0,ENSG00000184292.5
GSE136961,fail,TACSTD2/Tacstd2 not found in matrix or supplementary tables,Immune gene signatures for predicting durable clinical benefit of anti-PD-1 immunotherapy in patients with non-small cell lung cancer,,
GSE145996,fail,TACSTD2 present but only 0 paired subjects,Pre- Treatment Mutational and Transcriptomic Landscape of Responding Metastatic Melanoma Patients to Anti-PD1 Immunotherapy,0.0,TACSTD2
GSE148673,fail,TACSTD2/Tacstd2 not found in matrix or supplementary tables,Delineating copy number and clonal substructure in human tumors from single-cell transcriptomes ,,
GSE162454,fail,TACSTD2/Tacstd2 not found in matrix or supplementary tables,Single-cell RNA sequencing of human osteosarcoma,,
GSE165252,fail,TACSTD2 present but only 0 paired subjects,RNA sequencing of the phase II PERFECT trial combining a PD-L1 inhibitor (atezolizumab) with neoadjuvant chemoradiotherapy in resectable esophageal adenocarcino,0.0,ENSG00000184292.7
GSE168204,fail,TACSTD2 present but only 0 paired subjects,Pathway Signatures Derived from On-treatment Tumor Specimens Predict Response to Anti-PD1 Blockade in Metastatic Melanoma,0.0,TACSTD2
GSE173839,fail,TACSTD2 present but only 0 paired subjects,Durvalumab with olaparib and paclitaxel for high-risk HER2-negative stage II/III breast cancer: Results from the adaptively randomized I-SPY2 platform trial ,0.0,TACSTD2
GSE176307,fail,TACSTD2 present but only 0 paired subjects,Fibroblast Growth Factor Receptor 3 Alterations and Response to Immune Checkpoint Inhibition in Metastatic Urothelial Cancer: A Real World Experience,0.0,TACSTD2
GSE179351,fail,TACSTD2 present but only 0 paired subjects,Radiation Therapy Inhances Immunotherapy Response in  Microsatellite-stable Colorectal and Pancreatic Adenocarcinoma in a Phase II Trial,0.0,56753
GSE181815,fail,TACSTD2 present but only 0 paired subjects,Molecular predictors of response to pembrolizumab in thymic carcinoma,0.0,ENSG00000184292
GSE183924,fail,TACSTD2 present but only 0 paired subjects,A Phase II Trial of Adjuvant Durvalumab following Trimodality Therapy for Locally Advanced Esophageal and Gastroesophageal Junction Adenocarcinoma: A Big Ten Ca,0.0,TACSTD2
GSE189466,fail,TACSTD2/Tacstd2 not found in matrix or supplementary tables,A functional circuit formed by the autonomic nerves and myofibroblasts controls mammalian alveolar formation for gas exchange,,
GSE194040,fail,TACSTD2 present but only 0 paired subjects,I-SPY2-990 mRNA/RPPA Data Resource: mRNA component,0.0,TACSTD2
GSE199545,fail,TACSTD2/Tacstd2 not found in matrix or supplementary tables,Transcriptomic analysis of hippocampus of hACE2 mice with SARS-CoV-2 infection,,
GSE201425,fail,TACSTD2/Tacstd2 not found in matrix or supplementary tables,Single-cell atlas of diverse immune populations in the advanced biliary tract cancer microenvironment,,
GSE205152,fail,TACSTD2/Tacstd2 not found in matrix or supplementary tables,Primate-specific ZNF808 is essential for pancreatic development in humans [ChIP-seq],,
GSE207422,fail,TACSTD2 present but only 0 paired subjects,Tumor microenvironment remodeling after neoadjuvant immunotherapy in non-small cell lung cancer revealed by single-cell RNA sequencing,0.0,TACSTD2
GSE208652,fail,matrix: no series matrix: https://ftp.ncbi.nlm.nih.gov/geo/series/GSE208nnn/GSE208652/matrix/GSE208652_series_matrix.txt.gz: HTTP Error 404: Not Found,,,
GSE215120,fail,TACSTD2/Tacstd2 not found in matrix or supplementary tables,A single-cell analysis reveals tumor heterogeneity and immune environment of acral melanoma [scRNA-Seq],,
GSE215868,fail,TACSTD2/Tacstd2 not found in matrix or supplementary tables,Baseline gene expression profiling determines long-term benefit to programmed cell death protein 1 axis blockade,,
GSE217206,fail,TACSTD2/Tacstd2 not found in matrix or supplementary tables,Gene expression analysis of pheochromocytoma samples carrying co-occurrent mutations in NF1 and DLST.,,
GSE218989,fail,TACSTD2 present but only 0 paired subjects,Systematic dissection of tumor-normal single-cell ecosystems across a thousand tumors of 30 cancer types,0.0,TACSTD2
GSE221601,fail,TACSTD2 present but only 0 paired subjects,Comprehensively profiling of molecular landscape using mHSPC patient (RNA-Seq).,0.0,TACSTD2
GSE222219,fail,matrix: no series matrix: https://ftp.ncbi.nlm.nih.gov/geo/series/GSE222nnn/GSE222219/matrix/GSE222219_series_matrix.txt.gz: HTTP Error 404: Not Found,,,
GSE223454,fail,TACSTD2/Tacstd2 not found in matrix or supplementary tables,Combinatorial effects on gene expression at the Lbx1/Fgf8 locus resolve Split-Hand/Foot Malformation type 3 [4C-seq],,
GSE227666,fail,TACSTD2 present but only 0 paired subjects,Neoadjuvant and adjuvant pembrolizumab for advanced high-grade serous carcinoma (NeoPembrOV): A randomized phase II GINECO clinical trial,0.0,TACSTD2
GSE231535,fail,TACSTD2/Tacstd2 not found in matrix or supplementary tables,Coordinated single cell tumor microenvironment dynamics reinforce pancreatic cancer subtype,,
GSE236581,fail,TACSTD2 present but only 0 paired subjects,Spatiotemporal single-cell analysis decodes cellular dynamics underlying different responses to immunotherapy in Colorectal Cancer,0.0,TACSTD2
GSE240423,fail,TACSTD2/Tacstd2 not found in matrix or supplementary tables,Comparative Transcriptomics Analysis of Shiga Toxin Producing Escherichia coli O157:H7 Grown in Bovine Rectoanal Junction Cells and Human Colonic Epithelial Cel,,
GSE241176,fail,TACSTD2/Tacstd2 not found in matrix or supplementary tables,"Fibroblast-specific TGF-b signaling mediates dysfunction, fibrosis and hypertrophy in a mouse model of obesity-associated type 2 diabetes [RNA-seq: Smad3 in dbd",,
GSE247765,fail,matrix: no series matrix: https://ftp.ncbi.nlm.nih.gov/geo/series/GSE247nnn/GSE247765/matrix/GSE247765_series_matrix.txt.gz: HTTP Error 404: Not Found,,,
GSE248378,fail,TACSTD2 present but only 0 paired subjects,Neoadjuvant durvalumab plus radiation versus durvalumab alone in stages I-III non-small cell lung cancer: survival outcomes and molecular correlates of a random,0.0,TACSTD2
GSE260770,fail,TACSTD2 present but only 0 paired subjects,The activity and safety of sintilimab on high-risk ground glass opacity lesions in multiple primary lung cancer patients,0.0,ENSG00000184292
GSE262376,fail,TACSTD2/Tacstd2 not found in matrix or supplementary tables,"Quantitative RNA pseudouridine maps reveal multi-layered translation control through plant rRNA, tRNA and mRNA pseudouridylation (maize)",,
