spec,density,scale_um,source,response,weight,stat,p_two,n_neg,n_finite,Lung5_Rep1,Lung5_Rep2,Lung5_Rep3,Lung6,Lung9_Rep1,Lung9_Rep2,Lung12,Lung13
gauss_15_cd8_own,gauss,15,cd8,own,equal,-0.0573791339348663,0.002,6,8,-0.0030855243384488333,-0.001871985888920298,0.013132628822381054,0.016582003634891866,-0.09893628608057521,-0.17579974982530408,-0.149399762631322,-0.0596543951716329
gauss_15_cd8_own,gauss,15,cd8,own,n,-0.07970105545266135,0.002,6,8,-0.0030855243384488333,-0.001871985888920298,0.013132628822381054,0.016582003634891866,-0.09893628608057521,-0.17579974982530408,-0.149399762631322,-0.0596543951716329
gauss_15_cd8_own,gauss,15,cd8,own,patient,-0.06542302651786641,0.002,6,8,-0.0030855243384488333,-0.001871985888920298,0.013132628822381054,0.016582003634891866,-0.09893628608057521,-0.17579974982530408,-0.149399762631322,-0.0596543951716329
gauss_15_cd8_nw,gauss,15,cd8,nw,equal,-0.08798989636435438,0.002,4,8,0.005236406795389794,0.030444836449343204,0.05085296790051379,0.000985863591679465,-0.14739641759177277,-0.30767972766246854,-0.254552924656056,-0.08181017574146393
gauss_15_cd8_nw,gauss,15,cd8,nw,n,-0.13565483412934887,0.002,4,8,0.005236406795389794,0.030444836449343204,0.05085296790051379,0.000985863591679465,-0.14739641759177277,-0.30767972766246854,-0.254552924656056,-0.08181017574146393
gauss_15_cd8_nw,gauss,15,cd8,nw,patient,-0.10681411447690911,0.002,4,8,0.005236406795389794,0.030444836449343204,0.05085296790051379,0.000985863591679465,-0.14739641759177277,-0.30767972766246854,-0.254552924656056,-0.08181017574146393
gauss_15_cyto_own,gauss,15,cyto,own,equal,-0.06342427808910987,0.002,4,8,0.0003564436184379342,0.011477266015871516,0.05367528514815898,0.017184190523367917,-0.12568908098365672,-0.21007898732828667,-0.190228781159443,-0.06409056054732898
gauss_15_cyto_own,gauss,15,cyto,own,n,-0.09372042684950327,0.002,4,8,0.0003564436184379342,0.011477266015871516,0.05367528514815898,0.017184190523367917,-0.12568908098365672,-0.21007898732828667,-0.190228781159443,-0.06409056054732898
gauss_15_cyto_own,gauss,15,cyto,own,patient,-0.07663657074904393,0.002,4,8,0.0003564436184379342,0.011477266015871516,0.05367528514815898,0.017184190523367917,-0.12568908098365672,-0.21007898732828667,-0.190228781159443,-0.06409056054732898
gauss_15_cyto_nw,gauss,15,cyto,nw,equal,-0.09319473859903935,0.002,4,8,0.01833225649616763,0.08193764584895441,0.1162446565863431,0.0016425875636608975,-0.1843136444127548,-0.37120750014948295,-0.32183542162048134,-0.08635848910472155
