sample,patient,fov,n_tumor,rho_lam50,rho_p50
Lung5_Rep1,Lung5,1,167,0.061112674665331726,-0.02727061873118639
Lung5_Rep1,Lung5,2,618,0.11055923977172188,0.11139140004258732
Lung5_Rep1,Lung5,3,1056,0.012531033804175591,0.00551004171771035
Lung5_Rep1,Lung5,4,734,0.0438200935980278,0.04135002341081768
Lung5_Rep1,Lung5,5,721,0.0964527322739502,0.0988093940181054
Lung5_Rep1,Lung5,6,33,-0.15279303614487674,-0.13685236422743122
Lung5_Rep1,Lung5,7,1420,-0.10554655813887732,-0.10132377665718648
Lung5_Rep1,Lung5,8,1768,-0.12223543040310236,-0.11708253674703384
Lung5_Rep1,Lung5,9,166,0.07241773407302528,0.06982490148508622
Lung5_Rep1,Lung5,10,589,0.0766169637425143,0.0777511941430978
Lung5_Rep1,Lung5,11,501,0.11418782407553024,0.11675806423476867
Lung5_Rep1,Lung5,12,840,0.03956604050386156,0.04059491858786993
Lung5_Rep1,Lung5,13,385,-0.100851723123269,-0.09265818845768285
Lung5_Rep1,Lung5,14,52,0.04977407144657985,0.06432341540788782
Lung5_Rep1,Lung5,15,140,-0.1814969522733132,-0.1872685332656773
Lung5_Rep1,Lung5,16,519,0.17177744929071326,0.16881843766453683
Lung5_Rep1,Lung5,17,814,-0.014094001749645467,0.007937589933554937
Lung5_Rep1,Lung5,18,30,0.28786356702448057,0.2559703733522363
Lung5_Rep1,Lung5,19,132,0.032387989361828864,0.03411686210800856
Lung5_Rep1,Lung5,22,82,-0.33644384000799454,-0.3336210050593674
Lung5_Rep1,Lung5,26,669,0.026976465831436803,0.03050413701333948
Lung5_Rep1,Lung5,27,1621,-0.05737861613482216,-0.054445396747677996
Lung5_Rep1,Lung5,28,880,0.10231360721094385,0.11218259748974674
Lung5_Rep1,Lung5,29,369,0.23311471056114288,0.23619901127623275
Lung5_Rep2,Lung5,1,184,-0.1785217989170873,-0.1678536753885939
Lung5_Rep2,Lung5,2,897,0.11339584514993391,0.1160237427409998
Lung5_Rep2,Lung5,3,923,0.02598441277606033,0.018937849923757463
Lung5_Rep2,Lung5,4,177,-0.00733944074384758,-0.011925495115451264
Lung5_Rep2,Lung5,5,996,-0.07107422878286995,-0.06819151860879955
Lung5_Rep2,Lung5,7,1613,-0.015246961268571573,-0.012133690321227918
Lung5_Rep2,Lung5,8,1469,0.10492132931677971,0.11039678002883464
Lung5_Rep2,Lung5,9,46,0.16875831436074223,0.15627903059117654
Lung5_Rep2,Lung5,10,461,-0.11064236707994245,-0.10919295099558468
Lung5_Rep2,Lung5,11,580,-0.0013093945518035679,0.028575262599632906
Lung5_Rep2,Lung5,12,929,0.0072433176117115685,0.01709052008755822
Lung5_Rep2,Lung5,13,182,0.1903216157440173,0.19385851151132177
Lung5_Rep2,Lung5,14,60,0.06010128095632164,0.07325204108879893
Lung5_Rep2,Lung5,15,37,0.017051283088652138,-0.016691044713539768
Lung5_Rep2,Lung5,16,885,0.1013480793375683,0.1066959526937544
Lung5_Rep2,Lung5,17,921,-0.044130600895221084,-0.0022564693511134596
Lung5_Rep2,Lung5,18,37,0.2710777182860072,0.29484973884291305
Lung5_Rep2,Lung5,19,104,-0.17228088844084322,-0.16076969743869002
Lung5_Rep2,Lung5,22,108,0.017948033849998504,0.04646013501980875
Lung5_Rep2,Lung5,23,42,-0.525428479132227,-0.5568544793243103
Lung5_Rep2,Lung5,26,293,0.10775181686574,0.08705128418590323
Lung5_Rep2,Lung5,27,1575,0.032400485057957076,0.03439670013840349
Lung5_Rep2,Lung5,28,1113,-0.04075106286081855,-0.04168682847870768
Lung5_Rep2,Lung5,29,959,0.011941205359206822,0.011761992692030345
Lung5_Rep2,Lung5,30,103,0.18754384266020752,0.2655480528934834
Lung5_Rep3,Lung5,1,161,-0.2909768433804318,-0.33973174459759675
Lung5_Rep3,Lung5,2,424,-0.033545795102928724,-0.010113306061522498
Lung5_Rep3,Lung5,3,730,0.05024702980303937,0.04222769436457007
Lung5_Rep3,Lung5,4,597,0.03540308859538761,0.04111221312900521
Lung5_Rep3,Lung5,5,687,-0.03252325632303354,-0.03544047715082418
Lung5_Rep3,Lung5,7,1317,-0.13560167608175352,-0.13370972948177734
Lung5_Rep3,Lung5,8,1587,0.007610835270100499,0.00602809882929272
Lung5_Rep3,Lung5,9,184,-0.15218444089114078,-0.12854459995472958
Lung5_Rep3,Lung5,10,607,0.07949236521342286,0.07997986381220563
Lung5_Rep3,Lung5,11,396,0.29980379197443524,0.323228361361921
Lung5_Rep3,Lung5,12,734,0.1502517733829852,0.1483651392545171
Lung5_Rep3,Lung5,13,316,-0.081427205050082,-0.046025621269432174
Lung5_Rep3,Lung5,14,38,-0.051794449301724256,-0.02687339498138243
Lung5_Rep3,Lung5,15,144,-0.06603125031190997,-0.07044184284777852
Lung5_Rep3,Lung5,16,509,0.1348463915325966,0.13702539824192111
Lung5_Rep3,Lung5,17,721,0.10873311873242474,0.11208990019066238
Lung5_Rep3,Lung5,18,75,0.061302467434618174,0.0589665173656621
Lung5_Rep3,Lung5,19,105,-0.23558201053566294,-0.23637828764518717
Lung5_Rep3,Lung5,26,727,-0.023541777697581385,-0.029800524129794323
Lung5_Rep3,Lung5,27,1641,-0.01552040306477239,-0.012754133342560722
Lung5_Rep3,Lung5,28,703,0.07605553086605107,0.09963630622188382
Lung5_Rep3,Lung5,29,237,-0.00460489922721032,0.007936892035842068
Lung6,Lung6,1,1760,-0.012361994316080004,-0.012867242128137862
Lung6,Lung6,2,2461,0.0020386756667034153,0.002684740097504674
Lung6,Lung6,3,2228,-0.014430621736161003,-0.013191857510675187
Lung6,Lung6,4,2084,0.03191499550745847,0.036715483742217996
Lung6,Lung6,5,1942,0.10329475795889685,0.11177071551966682
Lung6,Lung6,6,2463,0.040333884060094735,0.04226367914490124
Lung6,Lung6,7,2339,-0.016964349635474177,-0.013653885976983688
Lung6,Lung6,8,2067,0.036760814038484836,0.038247717675738355
Lung6,Lung6,9,1978,0.02701625986628101,0.03532568388852858
Lung6,Lung6,10,160,-0.08378672054667674,-0.020675218319375663
Lung6,Lung6,11,1893,-0.0009587737597758395,-0.0010171779948425427
Lung6,Lung6,12,2318,0.10884300526325028,0.11355957190657609
Lung6,Lung6,13,1192,0.013936423597239497,0.014163314582088657
Lung6,Lung6,14,401,0.18863964652262408,0.18604587560981115
Lung6,Lung6,16,1403,0.03173727834551798,0.034679451156555206
Lung6,Lung6,17,2191,-0.04469516367794401,-0.045131976627637814
Lung6,Lung6,18,2245,0.08790592366112174,0.09089510969403986
Lung6,Lung6,19,1259,0.10984693016037615,0.10557511447603458
Lung6,Lung6,20,590,-0.10562184028336782,-0.10753767047842298
Lung6,Lung6,21,1660,0.010510623804676582,0.012718783813052567
Lung6,Lung6,22,2287,-0.03772173721863287,-0.04100307977117134
Lung6,Lung6,23,2900,-0.015495272305001919,-0.01586304047814559
Lung6,Lung6,24,2625,0.03464194460518392,0.03506756999449974
Lung6,Lung6,25,538,0.05336623086484629,0.06137700182072291
Lung6,Lung6,26,1642,-0.037834592903746446,-0.03220090893962334
Lung6,Lung6,27,2200,-0.035075862251986105,-0.03301799913291932
Lung6,Lung6,28,2182,0.08870892301014592,0.08553470946109704
Lung6,Lung6,29,2360,0.08022070590630592,0.08009522669569775
Lung6,Lung6,30,774,0.022532426588880217,0.025835120022304554
Lung9_Rep1,Lung9,1,514,-0.32141381256482676,-0.3217571357720024
Lung9_Rep1,Lung9,2,971,-0.12522064730474367,-0.1223993435225506
Lung9_Rep1,Lung9,3,52,-0.15387460962256405,-0.0721287232605769
Lung9_Rep1,Lung9,4,222,-0.3187529835124798,-0.2521495678821689
Lung9_Rep1,Lung9,5,2318,0.015618058520485974,0.019511817800244798
Lung9_Rep1,Lung9,6,1275,-0.17233998799200576,-0.17760273796543394
Lung9_Rep1,Lung9,7,882,-0.16862931933012798,-0.15196851523420918
Lung9_Rep1,Lung9,8,1570,-0.16484149128708414,-0.169345849823291
Lung9_Rep1,Lung9,9,2139,-0.09124759840648786,-0.09704421203512427
Lung9_Rep1,Lung9,10,1624,-0.05292750114842912,-0.051122394206188054
Lung9_Rep1,Lung9,11,1034,-0.2747201678763631,-0.26827010952647956
Lung9_Rep1,Lung9,12,1516,-0.09369818831599533,-0.09844269658398644
Lung9_Rep1,Lung9,13,1940,-0.07875614406956889,-0.07971543613097941
Lung9_Rep1,Lung9,14,1978,-0.044599278273352964,-0.038979056758206954
Lung9_Rep1,Lung9,15,1812,0.056538642930260036,0.04865216402489867
Lung9_Rep1,Lung9,16,1593,-0.20670944226929447,-0.20207286756878529
Lung9_Rep1,Lung9,17,2239,-0.08959364305232374,-0.09132721324757918
Lung9_Rep1,Lung9,18,2497,-0.1273668696286215,-0.11529555114932216
Lung9_Rep1,Lung9,19,1819,-0.042471884097847454,-0.04588142506582834
Lung9_Rep1,Lung9,20,2467,-0.02468330227629628,-0.03230323531911845
Lung9_Rep2,Lung9,1,1894,-0.12630262164253653,-0.1363526408221491
Lung9_Rep2,Lung9,2,2081,-0.1747631652689731,-0.1675376500351311
Lung9_Rep2,Lung9,3,2084,-0.25230859847547327,-0.24373616705011608
Lung9_Rep2,Lung9,4,1850,-0.3984586736857494,-0.38539023917944215
Lung9_Rep2,Lung9,5,2395,0.018594285777698928,0.017239440335142766
Lung9_Rep2,Lung9,6,1209,-0.1570030183096551,-0.16908135089059015
Lung9_Rep2,Lung9,7,1773,-0.16747918607447718,-0.16841784789033248
Lung9_Rep2,Lung9,8,2220,-0.1851990153858343,-0.18325345216357555
Lung9_Rep2,Lung9,9,2816,-0.24379991746423704,-0.24781410096194903
Lung9_Rep2,Lung9,10,2237,-0.19299209031878042,-0.19425041676429688
Lung9_Rep2,Lung9,11,1714,-0.0990704626987762,-0.12428077099152164
Lung9_Rep2,Lung9,12,1209,-0.37065479231518444,-0.37819195950880796
Lung9_Rep2,Lung9,13,2032,-0.10891971694708763,-0.1020192649753592
Lung9_Rep2,Lung9,14,2615,0.00337458932397374,-0.00021157985859891775
Lung9_Rep2,Lung9,15,2255,-0.1036349496873455,-0.1021762692546748
Lung9_Rep2,Lung9,16,1596,-0.0467290906843119,-0.03163681807688148
Lung9_Rep2,Lung9,17,1957,-0.1297000150348773,-0.09140924304237216
Lung9_Rep2,Lung9,18,1927,-0.07417259684610564,-0.0771289607334706
Lung9_Rep2,Lung9,19,2426,-0.11902880227320142,-0.12848986155457517
Lung9_Rep2,Lung9,20,2980,-0.08033993996987951,-0.07466840433955543
Lung9_Rep2,Lung9,21,1031,0.03619516190635055,0.036417139212316305
Lung9_Rep2,Lung9,22,2276,-0.12539883527422802,-0.13199587629698065
Lung9_Rep2,Lung9,23,1108,-0.18919562292289543,-0.19406115942163177
Lung9_Rep2,Lung9,24,1398,-0.18538791876854738,-0.2110700876715211
Lung9_Rep2,Lung9,25,2002,-0.18109961019406604,-0.18756017769885247
Lung9_Rep2,Lung9,26,1007,-0.05369634352726518,-0.06308256765434749
Lung9_Rep2,Lung9,27,1673,-0.02976675176131202,-0.031258169548143366
Lung9_Rep2,Lung9,28,1643,-0.023401909008003617,-0.023769202022628607
Lung9_Rep2,Lung9,29,1333,-0.06898466937668696,-0.06894954738707397
Lung9_Rep2,Lung9,30,1421,-0.13461353943542348,-0.1304435832833294
Lung9_Rep2,Lung9,31,1031,-0.13760536514577504,-0.13838917936843068
Lung9_Rep2,Lung9,32,1546,-0.08951874363413147,-0.06976450525738234
Lung9_Rep2,Lung9,33,1585,-0.09075973306740062,-0.08980719270704095
Lung9_Rep2,Lung9,34,1781,-0.06325229592824949,-0.06989935912209606
Lung9_Rep2,Lung9,35,1693,-0.16178253506074963,-0.162325449315632
Lung9_Rep2,Lung9,36,209,0.00254354165698535,-0.01285056618847966
Lung9_Rep2,Lung9,37,1270,-0.09132611568347503,-0.10977316242680242
Lung9_Rep2,Lung9,38,754,-0.1589558937879934,-0.14784381918624287
Lung9_Rep2,Lung9,39,1946,-0.0847972839011229,-0.10868224362628667
Lung9_Rep2,Lung9,40,2150,-0.061122338386125845,-0.062485166996627164
Lung9_Rep2,Lung9,41,307,0.05497256399330891,0.028425668983287078
Lung9_Rep2,Lung9,42,1025,-0.1749997048159725,-0.16696756823211234
Lung9_Rep2,Lung9,43,902,-0.11125476463646909,-0.10000013553518688
Lung9_Rep2,Lung9,44,1039,-0.35171668461799427,-0.34899012575774147
Lung9_Rep2,Lung9,45,1755,-0.11398920653274905,-0.1221303768871414
Lung12,Lung12,1,848,-0.11868999409378993,-0.11723267087022371
Lung12,Lung12,2,665,-0.1546427219222721,-0.11717678233250713
Lung12,Lung12,3,628,-0.16634788363128541,-0.15639581245723097
Lung12,Lung12,4,722,-0.07194818673954326,-0.05661475238020435
Lung12,Lung12,5,729,-0.0896044471863846,-0.09273583649443796
Lung12,Lung12,6,624,-0.12693551155901878,-0.12775332655446375
Lung12,Lung12,7,342,-0.39483084522304945,-0.37256156444155025
Lung12,Lung12,8,797,-0.15085946369469683,-0.13477826211112026
Lung12,Lung12,9,790,0.0017996807558802567,-0.0011872757276948952
Lung12,Lung12,10,479,-0.2336841115162983,-0.24367424601944412
Lung12,Lung12,11,322,-0.22234165390455898,-0.18329869918369104
Lung12,Lung12,12,212,0.21322182574187937,0.25714702804578243
Lung12,Lung12,13,784,-0.09025291240185801,-0.07014743047849863
Lung12,Lung12,14,543,-0.14343250501802293,-0.14523291703068003
Lung12,Lung12,15,214,-0.28528356420244666,-0.27923269524385474
Lung12,Lung12,16,170,0.019836091408357227,0.02141773649214424
Lung12,Lung12,17,609,-0.1038898273136827,-0.08429022765407647
Lung12,Lung12,18,461,-0.11285037750641294,-0.10461296714265987
Lung12,Lung12,19,777,-0.09941758240166391,-0.11660850145318083
Lung12,Lung12,20,151,-0.2368549380349653,-0.1946035074856357
Lung12,Lung12,21,711,0.0013978775273467815,0.005173081589149816
Lung12,Lung12,22,524,0.14400881566961884,0.15875316185787383
Lung12,Lung12,23,300,-0.1920019079599307,-0.1515924843501508
Lung12,Lung12,24,289,-0.3503314812326654,-0.3247038466338392
Lung12,Lung12,25,538,-0.09150560671008023,-0.09812918183571456
Lung12,Lung12,26,557,-0.08275492956005022,-0.08301495896384545
Lung12,Lung12,27,397,-0.23718665007825707,-0.22178290474908566
Lung12,Lung12,28,743,-0.09873238768763284,-0.08391323685809855
Lung13,Lung13,1,788,-0.15428662118149142,-0.18859146399340093
Lung13,Lung13,2,1166,0.00433863908626314,-0.003973269224351075
Lung13,Lung13,3,766,0.06858889795341305,0.07544955040567901
Lung13,Lung13,4,912,0.07480956835761852,0.0686139559473219
Lung13,Lung13,5,1009,-0.026922343524282234,-0.038681742233948824
Lung13,Lung13,6,1404,-0.11364976977411288,-0.19675846307577624
Lung13,Lung13,7,447,0.01869920894909221,0.08142471220591296
Lung13,Lung13,8,589,-0.048048516640372185,-0.05065910455991715
Lung13,Lung13,9,1260,-0.15381369984971313,-0.1130276963516362
Lung13,Lung13,10,1710,-0.029306645602123853,-0.04667355806990539
Lung13,Lung13,11,1044,0.016707631975810606,-0.016362384803266492
Lung13,Lung13,12,543,0.14241457553339565,0.07553821857506676
Lung13,Lung13,13,661,0.15497978669573276,0.07153481429101823
Lung13,Lung13,14,1219,-0.007536532032242875,-1.5388679708346996e-05
Lung13,Lung13,15,1253,0.0678147223429179,0.08651396306060624
Lung13,Lung13,16,933,0.026996981665672687,0.022623274673900153
Lung13,Lung13,17,1138,-0.07513607489469722,-0.04350122387282167
Lung13,Lung13,18,980,0.10004928328720292,0.10863448365769057
Lung13,Lung13,19,1437,-0.042672672430189296,-0.01195345459717545
Lung13,Lung13,20,966,0.09334748257126249,0.0936052886670858
