cell_type,mean_rho,Lung5_Rep1,Lung5_Rep2,Lung5_Rep3,Lung6,Lung9_Rep1,Lung9_Rep2,Lung12,Lung13
CD8,-0.04220159146220605,0.005233965877645417,0.01473222522529623,0.05516705898726748,0.009109970804140981,-0.06934955819707521,-0.19470493162626076,-0.13525627153714734,-0.022545191231515188
CD4,-0.015222177981065798,0.051923971402664915,0.04990358954677323,0.08370804326533783,0.0034752027988238987,-0.048502866780648725,-0.12227378913840743,-0.16330859817960036,0.023297023236530292
Treg,-0.03718700879241417,-0.03939824513604,-0.006871965295057192,-0.017955818306941537,0.033708753623794406,-0.07555021062345046,-0.1593663061158949,-0.03588780312835697,0.0038255246426333153
NK,-0.03349163164545213,0.03442832632957228,0.04488455500775036,0.11825870165008401,0.01716551571580501,-0.10903470120355215,-0.20845294178468357,-0.1793073026461254,0.014124793767532414
macrophage,0.023095202304981573,0.12973973918477763,0.0978315995591405,0.1462748397726032,0.014075904269144924,-0.03346241395419468,-0.056664246922114934,-0.051924754366820904,-0.06110904910268316
monocyte,0.017468308912981446,0.08452650736496979,0.06529104796741739,0.15092935699451604,0.023230499271463863,-0.09945503657798391,-0.08387345521517632,0.013401554183899581,-0.014304002685254844
neutrophil,-0.039792186765215586,0.07443982419913632,0.07480449850170079,0.14413145661928756,-0.02009118140674837,-0.12136562096605358,-0.21032934389278216,-0.18091938556709042,-0.07900774160917474
mDC,0.02982928922153548,0.08519965507238342,0.07427653567721301,0.09817983750447293,0.020742192422128672,-0.009030670330166843,-0.044514431446356695,0.010996638424552632,0.002784556448056717
pDC,-0.007302146981053848,0.026153529621258203,0.0058534780303671425,0.020942010374806037,0.027401716771507163,-0.04631113548805236,-0.08761003240631542,-0.06042668715140821,0.05557994439940664
B,-0.041774328501918895,0.01680589604660996,0.04181013005226302,0.04238175813886071,0.014478137111443929,-0.10648419477193276,-0.17565512813654374,-0.15398909476779032,-0.013542131688261991
plasmablast,-0.03890213211329924,-0.04848746937492633,-0.056833059497459884,0.019879213814107143,0.03439130719040667,-0.06563967828422174,-0.08508721599835745,-0.15438476780148352,0.044944613045541225
mast,-0.035047964660186455,0.010049176202344894,0.005519986243413805,-0.014678755558241113,0.0070544110655016016,-0.06628323801497299,-0.1394039407480056,-0.14665998606809028,0.06401862959655799
fibroblast,-0.033910470533578235,-0.026940782154797185,-0.03261292864019861,-0.004242857996540418,-0.020662746929642584,-0.06815196042639268,-0.07081674948353667,-0.013936552122862968,-0.03391918651465476
endothelial,-0.06864798011891686,-0.04787449700479109,-0.04242796971009256,-0.04284285504063443,0.025665831203560602,-0.0985949664226257,-0.1809070164940854,-0.1912012681435795,0.02899890066091318
epithelial,-0.05420375391350747,-0.007472231172105058,0.010534542283349838,0.05748740203274846,0.00911735169457334,-0.15444581835608617,-0.21237200030930217,-0.1305625646470632,-0.005916712834174755
tumor,0.05095938152498464,-0.09836393355473497,-0.08036278807378237,-0.09539863876614735,0.02207776393495358,0.18000117052388623,0.16979297798935475,0.20871861019995705,0.1012098899463901
