series	column	n	median	n_neg	wilcoxon_p
GSE189487	local_epi_rho	6	0.009486722520197182	2	0.4375
GSE189487	local_epi_partial_rho	6	0.005870512178561399	2	0.6875
GSE189487	local_epi_c_prime	6	-0.0018295628591477615	3	0.6875
GSE189487	local_epi_prop	2	0.025188481193334174	1	
GSE189487	same_epi_partial_rho	6	0.01520789037492698	2	1.0
GSE189487	same_epi_prop	4	0.08634976471975658	1	
GSE189487	same_all_rho	6	0.002351421432986888	2	1.0
GSE189487	same_all_partial_rho	6	-0.0012274092339301537	3	0.6875
GSE189487	same_all_prop	2	0.21889387094336035	0	
GSE273378	local_epi_rho	16	-0.007308567977526817	8	0.979949951171875
GSE273378	local_epi_partial_rho	16	-0.007096546883720528	8	0.93988037109375
GSE273378	local_epi_c_prime	16	-0.005340024865318155	8	0.743560791015625
GSE273378	local_epi_prop	11	0.0623512442816001	4	1.0
GSE273378	same_epi_partial_rho	16	-0.009679150892575114	10	0.743560791015625
GSE273378	same_epi_prop	13	-0.007403158232972166	7	0.7353515625
GSE273378	same_all_rho	16	0.0029432861946130694	7	0.49542236328125
GSE273378	same_all_partial_rho	16	0.0003485274208076491	8	0.979949951171875
GSE273378	same_all_prop	11	0.013913476811760209	5	0.5771484375
