nhood	n_samples_present	n_cells	spearman_rho	p	testable	BH_FDR	SpatialFDR
0	0	31			False		
1	1	31			False		
2	3	31			False		
3	3	31			False		
4	1	31			False		
5	2	31			False		
6	3	31			False		
7	5	31	0.19999999999999998	0.7470600781046621	True	0.9370564495487935	0.9332209182681445
8	4	31			False		
9	1	31			False		
10	1	31			False		
11	1	31			False		
12	1	31			False		
13	3	31			False		
14	1	31			False		
15	1	31			False		
16	1	31			False		
17	1	31			False		
18	0	31			False		
19	1	31			False		
20	5	31	0.8999999999999998	0.03738607346849874	True	0.5134213685474178	0.43237923937046113
21	9	31	-0.26666666666666666	0.48792227483870076	True	0.9161252419861912	0.9160471790155642
22	3	31			False		
23	0	31			False		
24	0	31			False		
25	5	31	-0.3	0.623837664781073	True	0.9161252419861912	0.9160471790155642
26	1	31			False		
27	1	31			False		
28	2	31			False		
29	1	31			False		
30	4	31			False		
31	2	31			False		
32	2	31			False		
33	1	31			False		
34	3	31			False		
35	4	31			False		
36	1	31			False		
37	0	31			False		
38	1	31			False		
39	2	31			False		
40	1	31			False		
41	0	31			False		
42	4	31			False		
43	1	31			False		
44	7	31	0.21428571428571433	0.6445115810207203	True	0.9334305656162155	0.9332209182681445
45	3	31			False		
46	1	31			False		
47	1	31			False		
48	1	31			False		
49	1	31			False		
50	1	31			False		
51	4	31			False		
52	1	31			False		
53	1	31			False		
54	1	31			False		
55	1	31			False		
56	1	31			False		
57	1	31			False		
58	1	31			False		
59	4	31			False		
60	2	31			False		
61	4	31			False		
62	2	31			False		
63	1	31			False		
64	3	31			False		
65	4	31			False		
66	1	31			False		
67	1	31			False		
68	1	31			False		
69	1	31			False		
70	0	31			False		
71	1	31			False		
72	4	31			False		
73	3	31			False		
74	1	31			False		
75	2	31			False		
76	1	31			False		
77	1	31			False		
78	8	31	0.2380952380952381	0.5701563208157683	True	0.9161252419861912	0.9160471790155642
79	1	31			False		
80	1	31			False		
81	1	31			False		
82	1	31			False		
83	2	31			False		
84	3	31			False		
85	3	31			False		
86	3	31			False		
87	1	31			False		
88	1	31			False		
89	1	31			False		
90	1	31			False		
91	1	31			False		
92	1	31			False		
93	3	31			False		
94	1	31			False		
95	3	31			False		
96	3	31			False		
97	1	31			False		
98	1	31			False		
99	1	31			False		
100	1	31			False		
101	1	31			False		
102	1	31			False		
103	3	31			False		
104	1	31			False		
105	3	31			False		
106	1	31			False		
107	1	31			False		
108	5	31	0.6	0.28475697986529386	True	0.892521877189727	0.865895082325415
109	1	31			False		
110	4	31			False		
111	1	31			False		
112	1	31			False		
113	1	31			False		
114	1	31			False		
115	5	31	-0.7999999999999999	0.10408803866182788	True	0.892521877189727	0.8342441672938892
116	3	31			False		
117	4	31			False		
118	4	31			False		
119	1	31			False		
120	6	31	-0.3142857142857143	0.5440932944606415	True	0.9161252419861912	0.9160471790155642
121	1	31			False		
122	2	31			False		
123	1	31			False		
124	2	31			False		
125	3	31			False		
126	1	31			False		
127	1	31			False		
128	2	31			False		
129	1	31			False		
130	1	31			False		
131	4	31			False		
132	4	31			False		
133	1	31			False		
134	1	31			False		
135	0	31			False		
136	3	31			False		
137	1	31			False		
138	1	31			False		
139	3	31			False		
140	1	31			False		
141	4	31			False		
142	1	31			False		
143	3	31			False		
144	2	31			False		
145	1	31			False		
146	1	31			False		
147	5	31	0.0	1.0	True	1.0	1.0
148	5	31	0.0	1.0	True	1.0	1.0
149	1	31			False		
150	3	31			False		
151	2	31			False		
152	1	31			False		
153	1	31			False		
154	1	31			False		
155	3	31			False		
156	4	31			False		
157	4	31			False		
158	2	31			False		
159	1	31			False		
160	1	31			False		
161	3	31			False		
162	2	31			False		
163	2	31			False		
164	3	31			False		
165	1	31			False		
166	3	31			False		
167	1	31			False		
168	2	31			False		
169	3	31			False		
170	1	31			False		
171	3	31			False		
172	1	31			False		
173	3	31			False		
174	1	31			False		
175	1	31			False		
176	3	31			False		
177	1	31			False		
178	1	31			False		
179	1	31			False		
180	2	31			False		
181	1	31			False		
182	1	31			False		
183	1	31			False		
184	2	31			False		
185	1	31			False		
186	2	31			False		
187	1	31			False		
188	1	31			False		
189	1	31			False		
190	1	31			False		
191	1	31			False		
192	3	31			False		
193	7	31	-0.3214285714285715	0.48207203829967776	True	0.9161252419861912	0.9160471790155642
194	2	31			False		
195	3	31			False		
196	1	31			False		
197	1	31			False		
198	2	31			False		
199	4	31			False		
200	1	31			False		
201	1	31			False		
202	1	31			False		
203	1	31			False		
204	1	31			False		
205	1	31			False		
206	1	31			False		
207	5	31	0.39999999999999997	0.5046315754686912	True	0.9161252419861912	0.9160471790155642
208	4	31			False		
209	0	31			False		
