sample	n_cells_high_nhood	n_cells_low_nhood	frac_tnk_high_nhood	frac_tnk_low_nhood	origin	n_cells	n_malignant	n_tnk	malignant_cldn4	frac_tnk	cldn4_arm
LUNG_T09	3	26	0.3333333333333333	0.15384615384615385	tLung	3790	5	1981		0.5226912928759895	unscored
LUNG_T34	913	1175	0.0	0.0	tLung	3232	2374	366	1.6022334098815918	0.11324257425742575	high
LUNG_T18	617	183	0.0	0.01092896174863388	tLung	3498	1002	1090	1.8248164653778076	0.31160663236134933	high
LUNG_T25	68	154	0.029411764705882353	0.025974025974025976	tLung	4321	223	1599	1.3818156719207764	0.37005322841934735	low
LUNG_T31	22	222	0.6818181818181818	0.15315315315315314	tLung	4934	182	3713	1.1920487880706787	0.7525334414268342	low
LUNG_T28	658	161	0.0	0.012422360248447204	tLung	4612	984	1631	2.02643084526062	0.353642671292281	high
LUNG_T06	66	101	0.015151515151515152	0.12871287128712872	tLung	2887	100	1539	1.6496440172195435	0.5330793210945618	high
LUNG_T19	112	163	0.026785714285714284	0.03067484662576687	tLung	4088	222	1712	1.390738844871521	0.4187866927592955	low
LUNG_T30	57	606	0.0	0.0	tLung	3868	784	1414	1.0103753805160522	0.3655635987590486	low
LUNG_T08	19	44	0.47368421052631576	0.3181818181818182	tLung	3545	42	2128	1.5306764841079712	0.6002820874471086	low
LUNG_T20	289	175	0.0034602076124567475	0.18857142857142858	tLung	4001	434	2418	1.8149075508117676	0.604348912771807	high
