cohort_id	source	organism	material	n_nominated	n_runs_lung_rnaseq	single_cell_frac	median_spots	study_title	url	selected_runs
GTEx_LUNG	gtex	human	tissue	578	578	0.0	0	GTEx v8 lung (recount3 G026 gene sums)	https://recount-opendata.s3.amazonaws.com/recount3/release/human/data_sources/gtex/gene_sums/NG/LUNG/gtex.gene_sums.LUNG.G026.gz	
TCGA_LUAD	tcga	human	tumor	585	585	0.0	0	TCGA LUAD (recount3 G026 gene sums; tumor vs normal split later)	https://recount-opendata.s3.amazonaws.com/recount3/release/human/data_sources/tcga/gene_sums/AD/LUAD/tcga.gene_sums.LUAD.G026.gz	
TCGA_LUSC	tcga	human	tumor	550	550	0.0	0	TCGA LUSC (recount3 G026 gene sums; tumor vs normal split later)	https://recount-opendata.s3.amazonaws.com/recount3/release/human/data_sources/tcga/gene_sums/SC/LUSC/tcga.gene_sums.LUSC.G026.gz	
DRP001919	sra	human	cell_line	26	26	0.0	71529883	Omics catalogue of lung adenocarcinoma cell lines	https://recount-opendata.s3.amazonaws.com/recount3/release/human/data_sources/sra/gene_sums/19/DRP001919/sra.gene_sums.DRP001919.G026.gz	DRR016694,DRR016695,DRR016696,DRR016697,DRR016698,DRR016699,DRR016700,DRR016701,DRR016702,DRR016703,DRR016704,DRR016705,DRR016706,DRR016707,DRR016708,DRR016709,DRR016710,DRR016711,DRR016712,DRR016713,DRR016714,DRR016715,DRR016716,DRR016717,DRR016718,DRR016719
ERP009282	sra	human	culture_or_organoid	18	18	0.0	16824534	Systems biology approaches reveal low-dose effects of nanoparticles	https://recount-opendata.s3.amazonaws.com/recount3/release/human/data_sources/sra/gene_sums/82/ERP009282/sra.gene_sums.ERP009282.G026.gz	ERR732447,ERR732448,ERR732449,ERR732450,ERR732451,ERR732452,ERR732453,ERR732454,ERR732455,ERR732456,ERR732457,ERR732458,ERR732459,ERR732460,ERR732461,ERR732462,ERR732463,ERR732464
ERP017989	sra	human	cell_line	45	45	0.0	10537928	Transcriptional profiling of human bronchial epithelial cell BEAS-2B exposed to diesel and biomass ultrafine particles	https://recount-opendata.s3.amazonaws.com/recount3/release/human/data_sources/sra/gene_sums/89/ERP017989/sra.gene_sums.ERP017989.G026.gz	ERR1691923,ERR1691924,ERR1691925,ERR1691926,ERR1691927,ERR1691928,ERR1691929,ERR1691930,ERR1691931,ERR1691932,ERR1691933,ERR1691934,ERR1691935,ERR1691936,ERR1691937,ERR1691938,ERR1691939,ERR1691940,ERR1691941,ERR1691942,ERR1691943,ERR1691944,ERR1691945,ERR1691946,ERR1691947,ERR1691948,ERR1691949,ERR1691950,ERR1691951,ERR1691952,ERR1691953,ERR1691954,ERR1691955,ERR1691956,ERR1691957,ERR1691958,ERR1691959,ERR1691960,ERR1691961,ERR1691962,ERR1691963,ERR1691964,ERR1691965,ERR1691966,ERR1691967
ERP022839	sra	human	cell_line	152	152	0.0	9474244	RNAseq of human epithelial lung carcinoma cell line A549 exposed to ceria, silver or zinc ions, micron-sized particles or nanoparticles	https://recount-opendata.s3.amazonaws.com/recount3/release/human/data_sources/sra/gene_sums/39/ERP022839/sra.gene_sums.ERP022839.G026.gz	ERR1955041,ERR1955042,ERR1955043,ERR1955044,ERR1955045,ERR1955046,ERR1955047,ERR1955048,ERR1955049,ERR1955050,ERR1955051,ERR1955052,ERR1955053,ERR1955054,ERR1955055,ERR1955056,ERR1955057,ERR1955058,ERR1955059,ERR1955060,ERR1955061,ERR1955062,ERR1955063,ERR1955064,ERR1955065,ERR1955066,ERR1955067,ERR1955068,ERR1955069,ERR1955070,ERR1955071,ERR1955072,ERR1955073,ERR1955074,ERR1955075,ERR1955076,ERR1955077,ERR1955078,ERR1955079,ERR1955080,ERR1955081,ERR1955082,ERR1955083,ERR1955084,ERR1955085,ERR1955086,ERR1955087,ERR1955088,ERR1955089,ERR1955090,ERR1955091,ERR1955092,ERR1955093,ERR1955094,ERR1955095,ERR1955096,ERR1955097,ERR1955098,ERR1955099,ERR1955100,ERR1955101,ERR1955102,ERR1955103,ERR1955104,ERR1955105,ERR1955106,ERR1955107,ERR1955108,ERR1955109,ERR1955110,ERR1955111,ERR1955112,ERR1955113,ERR1955114,ERR1955115,ERR1955116,ERR1955117,ERR1955118,ERR1955119,ERR1955120,ERR1955121,ERR1955122,ERR1955123,ERR1955124,ERR1955125,ERR1955126,ERR1955127,ERR1955128,ERR1955129,ERR1955130,ERR1955131,ERR1955132,ERR1955133,ERR1955134,ERR1955135,ERR1955136,ERR1955137,ERR1955138,ERR1955139,ERR1955140,ERR1955141,ERR1955142,ERR1955143,ERR1955144,ERR1955145,ERR1955146,ERR1955147,ERR1955148,ERR1955149,ERR1955150,ERR1955151,ERR1955152,ERR1955153,ERR1955154,ERR1955155,ERR1955156,ERR1955157,ERR1955158,ERR1955159,ERR1955160,ERR1955161,ERR1955162,ERR1955163,ERR1955164,ERR1955165,ERR1955166,ERR1955167,ERR1955168,ERR1955169,ERR1955170,ERR1955171,ERR1955172,ERR1955173,ERR1955174,ERR1955175,ERR1955176,ERR1955177,ERR1955178,ERR1955179,ERR1955180,ERR1955181,ERR1955182,ERR1955183,ERR1955184,ERR1955185,ERR1955186,ERR1955187,ERR1955188,ERR1955189,ERR1955190,ERR1955191,ERR1955192
ERP110145	sra	human	cell_line	12	12	0.0	41253741	RNA-seq analysis of MES-MM 98 and REN mesothelioma cell lines modulated for miR-24-3p expression	https://recount-opendata.s3.amazonaws.com/recount3/release/human/data_sources/sra/gene_sums/45/ERP110145/sra.gene_sums.ERP110145.G026.gz	ERR2718588,ERR2718589,ERR2718590,ERR2718591,ERR2718592,ERR2718593,ERR2718594,ERR2718595,ERR2718596,ERR2718597,ERR2718598,ERR2718599
ERP111852	sra	human	cell_line	26	31	0.0	18808164	RNA-seq comparison of fetal lung and cultured fetal lung derived organoids with pluripotent stem cell derived lung organoids	https://recount-opendata.s3.amazonaws.com/recount3/release/human/data_sources/sra/gene_sums/52/ERP111852/sra.gene_sums.ERP111852.G026.gz	ERR2870193,ERR2870194,ERR2870195,ERR2870196,ERR2870197,ERR2870198,ERR2870199,ERR2870200,ERR2870201,ERR2870202,ERR2870203,ERR2870204,ERR2870205,ERR2870206,ERR2870207,ERR2870208,ERR2870209,ERR2870210,ERR2870211,ERR2870212,ERR2870213,ERR2870214,ERR2870215,ERR2870216,ERR2870217,ERR2870218,ERR2870219,ERR2870220,ERR2870221,ERR2870222,ERR2870223
SRP000941	sra	human	culture_or_organoid	16	21	0.0	18337701	UCSD Human Reference Epigenome Mapping Project	https://recount-opendata.s3.amazonaws.com/recount3/release/human/data_sources/sra/gene_sums/41/SRP000941/sra.gene_sums.SRP000941.G026.gz	SRR020286,SRR020292,SRR020293,SRR020294,SRR020295,SRR1045530,SRR1045531,SRR1045532,SRR1045533,SRR1220389,SRR1220390,SRR1220391,SRR1220392,SRR1220393,SRR1220394,SRR1220395,SRR1220396,SRR577579,SRR577580,SRR577581,SRR577582
SRP001371	sra	human	tissue	12	12	0.0	68149400	University of Washington Human Reference Epigenome Mapping Project	https://recount-opendata.s3.amazonaws.com/recount3/release/human/data_sources/sra/gene_sums/71/SRP001371/sra.gene_sums.SRP001371.G026.gz	SRR786751,SRR786752,SRR786753,SRR786754,SRR786756,SRR786760,SRR786761,SRR786762,SRR786769,SRR786779,SRR786780,SRR786781
SRP012607	sra	human	tissue	12	12	0.0	15117833	Differential analysis of HOXA1 in adult cells at isoform resolution by RNA-Seq [Illumina]	https://recount-opendata.s3.amazonaws.com/recount3/release/human/data_sources/sra/gene_sums/07/SRP012607/sra.gene_sums.SRP012607.G026.gz	SRR493366,SRR493367,SRR493368,SRR493369,SRR493370,SRR493371,SRR493372,SRR493373,SRR493374,SRR493375,SRR493376,SRR493377
SRP012656	sra	human	tissue	24	24	0.0	33985603	A high dimensional deep sequencing study of non-small cell lung adenocarcinoma in never-smoker Korean females [Seq]	https://recount-opendata.s3.amazonaws.com/recount3/release/human/data_sources/sra/gene_sums/56/SRP012656/sra.gene_sums.SRP012656.G026.gz	SRR493937,SRR493938,SRR493939,SRR493940,SRR493941,SRR493942,SRR493943,SRR493944,SRR493945,SRR493946,SRR493947,SRR493948,SRR493949,SRR493950,SRR493951,SRR493952,SRR493953,SRR493954,SRR493955,SRR493956,SRR493957,SRR493958,SRR493959,SRR493960
SRP013565	sra	human	tissue	40	73	0.0	105100541	GSE35585: RIP-seq from ENCODE/SUNY Albany	https://recount-opendata.s3.amazonaws.com/recount3/release/human/data_sources/sra/gene_sums/65/SRP013565/sra.gene_sums.SRP013565.G026.gz	SRR3191759,SRR3191760,SRR3191867,SRR3191868,SRR3192341,SRR3192342,SRR3192356,SRR3192357,SRR3192362,SRR3192363,SRR3192374,SRR3192375,SRR3192376,SRR3192377,SRR3192378,SRR3192379,SRR3192380,SRR3192381,SRR3192382,SRR3192383,SRR3192441,SRR3192442,SRR3192467,SRR3192468,SRR3192492,SRR3192493,SRR3192497,SRR3192498,SRR3192502,SRR3192503,SRR3192630,SRR3192637,SRR3192638,SRR3192639,SRR3192640,SRR3192669,SRR3192670,SRR3192689,SRR3192690,SRR4235534,SRR4235535,SRR4421631,SRR4421758,SRR4421779,SRR4421929,SRR4422189,SRR4422346,SRR4422527,SRR4422574,SRR5048109,SRR5048110,SRR5048133,SRR5048134,SRR5048137,SRR5048138,SRR5048139,SRR5048140,SRR5048143,SRR5048144,SRR5048145,SRR5048146,SRR5048147,SRR5048148,SRR5170982,SRR5170983,SRR5171000,SRR5171001,SRR5171002,SRR5171003,SRR5171004,SRR5171005,SRR5171074,SRR5171075
SRP024274	sra	human	tissue	52	52	0.0	16000000	Smoking Dysregulates the Human Airway Basal Cell Transcriptome at COPD-linked Risk Locus 19q13.2	https://recount-opendata.s3.amazonaws.com/recount3/release/human/data_sources/sra/gene_sums/74/SRP024274/sra.gene_sums.SRP024274.G026.gz	SRR886565,SRR886566,SRR886567,SRR886568,SRR886569,SRR886570,SRR886571,SRR886572,SRR886573,SRR886574,SRR886575,SRR886576,SRR886577,SRR886578,SRR886579,SRR886580,SRR886581,SRR886582,SRR886583,SRR886584,SRR886585,SRR886586,SRR886587,SRR886588,SRR886589,SRR886590,SRR886591,SRR886592,SRR886593,SRR886594,SRR886595,SRR886596,SRR886597,SRR886598,SRR886599,SRR886600,SRR886601,SRR886602,SRR886603,SRR886604,SRR886605,SRR886606,SRR886607,SRR886608,SRR886609,SRR886610,SRR886611,SRR886612,SRR886613,SRR886614,SRR886615,SRR886616
SRP032833	sra	human	tissue	12	12	0.0	108394312	Identification of mRNAs and lincRNAs associated with lung cancer progression using next-generation RNA sequencing from laser micro-dissected archival FFPE tissue specimens	https://recount-opendata.s3.amazonaws.com/recount3/release/human/data_sources/sra/gene_sums/33/SRP032833/sra.gene_sums.SRP032833.G026.gz	SRR1027984,SRR1027985,SRR1027987,SRR1027988,SRR1027990,SRR1027991,SRR1027993,SRR1027994,SRR1027996,SRR1027997,SRR1027999,SRR1028000
SRP033095	sra	human	tissue	15	15	0.0	26054686	Transcriptome analysis reveals differential splicing events in IPF lung tissue	https://recount-opendata.s3.amazonaws.com/recount3/release/human/data_sources/sra/gene_sums/95/SRP033095/sra.gene_sums.SRP033095.G026.gz	SRR1297303,SRR1297304,SRR1297305,SRR1297306,SRR1297307,SRR1297308,SRR1297309,SRR1297310,SRR1297311,SRR1297312,SRR1297313,SRR1297314,SRR1297315,SRR1297316,SRR1297317
SRP039077	sra	human	culture_or_organoid	61	61	0.0	4000000	Gene expression analysis of airway epithelial cells exposed to flagellin via RNA-seq	https://recount-opendata.s3.amazonaws.com/recount3/release/human/data_sources/sra/gene_sums/77/SRP039077/sra.gene_sums.SRP039077.G026.gz	SRR1179081,SRR1179082,SRR1179083,SRR1179084,SRR1179085,SRR1179086,SRR1179087,SRR1179088,SRR1179089,SRR1179090,SRR1179091,SRR1179092,SRR1179093,SRR1179094,SRR1179095,SRR1179096,SRR1179097,SRR1179098,SRR1179099,SRR1179100,SRR1179101,SRR1179102,SRR1179103,SRR1179104,SRR1179105,SRR1179106,SRR1179107,SRR1179108,SRR1179109,SRR1179110,SRR1179111,SRR1179112,SRR1179113,SRR1179114,SRR1179115,SRR1179116,SRR1179117,SRR1179118,SRR1179119,SRR1179120,SRR1179121,SRR1179122,SRR1179123,SRR1179124,SRR1179125,SRR1179126,SRR1179127,SRR1179128,SRR1179129,SRR1179130,SRR1179131,SRR1179132,SRR1179133,SRR1179134,SRR1179135,SRR1179136,SRR1179137,SRR1179138,SRR1179139,SRR1179140,SRR1179141
SRP041538	sra	human	tissue	170	170	0.0	21553336	Characterizing gene expression in lung tissue of COPD subjects using RNA-seq	https://recount-opendata.s3.amazonaws.com/recount3/release/human/data_sources/sra/gene_sums/38/SRP041538/sra.gene_sums.SRP041538.G026.gz	SRR1265495,SRR1265496,SRR1265497,SRR1265498,SRR1265499,SRR1265501,SRR1265502,SRR1265504,SRR1265505,SRR1265506,SRR1265507,SRR1265508,SRR1265509,SRR1265510,SRR1265511,SRR1265512,SRR1265513,SRR1265514,SRR1265515,SRR1265516,SRR1265517,SRR1265518,SRR1265519,SRR1265520,SRR1265521,SRR1265522,SRR1265523,SRR1265524,SRR1265525,SRR1265526,SRR1265527,SRR1265528,SRR1265529,SRR1265530,SRR1265531,SRR1265532,SRR1265534,SRR1265535,SRR1265537,SRR1265538,SRR1265539,SRR1265540,SRR1265542,SRR1265543,SRR1265544,SRR1265545,SRR1265546,SRR1265547,SRR1265548,SRR1265549,SRR1265550,SRR1265551,SRR1265552,SRR1265553,SRR1265554,SRR1265555,SRR1265556,SRR1265557,SRR1265558,SRR1265559,SRR1265560,SRR1265561,SRR1265562,SRR1265563,SRR1265564,SRR1265566,SRR1265567,SRR1265569,SRR1265570,SRR1265571,SRR1265572,SRR1265573,SRR1265574,SRR1265575,SRR1265577,SRR1265578,SRR1265579,SRR1265580,SRR1265582,SRR1265583,SRR1265584,SRR1265585,SRR1265586,SRR1265587,SRR1265590,SRR1265592,SRR1265593,SRR1265594,SRR1265595,SRR1265596,SRR1265597,SRR1265598,SRR1265599,SRR1265600,SRR1265601,SRR1265603,SRR1265604,SRR1265605,SRR1265606,SRR1265607,SRR1265608,SRR1265609,SRR1265610,SRR1265611,SRR1265612,SRR1265613,SRR1265614,SRR1265615,SRR1265616,SRR1265617,SRR1265618,SRR1265619,SRR1265620,SRR1265621,SRR1265622,SRR1265623,SRR1265624,SRR1265625,SRR1265626,SRR1265627,SRR1265628,SRR1265629,SRR1265632,SRR1265633,SRR1265634,SRR1265635,SRR1265636,SRR1265637,SRR1265638,SRR1265639,SRR1265640,SRR1265641,SRR1265642,SRR1265643,SRR1265644,SRR1265646,SRR1265647,SRR1265648,SRR1265649,SRR1265650,SRR1265651,SRR1265652,SRR1265653,SRR1265654,SRR1265655,SRR1265656,SRR1265657,SRR1265658,SRR1265659,SRR1265660,SRR1265661,SRR1265665,SRR1265666,SRR1265667,SRR1265668,SRR1265669,SRR1265670,SRR1265671,SRR1265672,SRR1265673,SRR1265674,SRR1265675,SRR1265676,SRR1265677,SRR1265678,SRR1265679,SRR1265680,SRR1265681,SRR1265682,SRR1265683
SRP043162	sra	human	tissue	53	53	0.0	43913555	Fatal Asthma vs. Control Human Airway Smooth Muscle Transcriptome Changes in Response to Vitamin D or Albuterol	https://recount-opendata.s3.amazonaws.com/recount3/release/human/data_sources/sra/gene_sums/62/SRP043162/sra.gene_sums.SRP043162.G026.gz	SRR1383358,SRR1383359,SRR1383360,SRR1383361,SRR1383362,SRR1383363,SRR1383364,SRR1383365,SRR1383366,SRR1383367,SRR1383368,SRR1383369,SRR1383370,SRR1383371,SRR1383372,SRR1383373,SRR1383374,SRR1383375,SRR1383376,SRR1383377,SRR1383378,SRR1383379,SRR1383380,SRR1383381,SRR1383382,SRR1383383,SRR1383384,SRR1383385,SRR1383386,SRR1383387,SRR1383388,SRR1383389,SRR1383390,SRR1383391,SRR1383392,SRR1383393,SRR1383394,SRR1383395,SRR1383396,SRR1383397,SRR1383398,SRR1383399,SRR1383400,SRR1383401,SRR1383402,SRR1383403,SRR1383404,SRR1383405,SRR1383406,SRR1383407,SRR1383408,SRR1383409,SRR1383410
SRP045118	sra	human	cell_line	16	16	0.0	36726073	RNAseq and ChIPseq analysis of NKX2-1 dependent NSCLC cell lines	https://recount-opendata.s3.amazonaws.com/recount3/release/human/data_sources/sra/gene_sums/18/SRP045118/sra.gene_sums.SRP045118.G026.gz	SRR1533006,SRR1533007,SRR1533008,SRR1533009,SRR1533010,SRR1533011,SRR1533012,SRR1533013,SRR1533015,SRR1533016,SRR1533017,SRR1533018,SRR1533019,SRR1533020,SRR1533021,SRR1533022
SRP045225	sra	human	tissue	79	79	0.0	47448636	The RNAseq of 79 small cell lung cancer (sclc) and 7 normal control	https://recount-opendata.s3.amazonaws.com/recount3/release/human/data_sources/sra/gene_sums/25/SRP045225/sra.gene_sums.SRP045225.G026.gz	SRR1797225,SRR1797226,SRR1797227,SRR1797228,SRR1797229,SRR1797230,SRR1797231,SRR1797232,SRR1797233,SRR1797234,SRR1797235,SRR1797236,SRR1797237,SRR1797238,SRR1797239,SRR1797240,SRR1797241,SRR1797242,SRR1797243,SRR1797244,SRR1797245,SRR1797246,SRR1797247,SRR1797248,SRR1797249,SRR1797250,SRR1797251,SRR1797252,SRR1797253,SRR1797254,SRR1797255,SRR1797256,SRR1797257,SRR1797258,SRR1797259,SRR1797260,SRR1797261,SRR1797262,SRR1797263,SRR1797264,SRR1797265,SRR1797266,SRR1797267,SRR1797268,SRR1797269,SRR1797270,SRR1797271,SRR1797272,SRR1797273,SRR1797274,SRR1797275,SRR1797276,SRR1797277,SRR1797278,SRR1797279,SRR1797280,SRR1797281,SRR1797282,SRR1797283,SRR1797284,SRR1797285,SRR1797286,SRR1797287,SRR1797288,SRR1797289,SRR1797290,SRR1797291,SRR1797292,SRR1797293,SRR1797294,SRR1797295,SRR1797296,SRR1797297,SRR1797298,SRR1797299,SRR1797300,SRR1797301,SRR1797302,SRR1797303
SRP046226	sra	human	culture_or_organoid	24	24	0.0	6659508	Phenotypic responses of differentiated asthmatic human airway epithelial cultures to rhinovirus	https://recount-opendata.s3.amazonaws.com/recount3/release/human/data_sources/sra/gene_sums/26/SRP046226/sra.gene_sums.SRP046226.G026.gz	SRR1565926,SRR1565927,SRR1565928,SRR1565929,SRR1565930,SRR1565931,SRR1565932,SRR1565933,SRR1565934,SRR1565935,SRR1565936,SRR1565937,SRR1565938,SRR1565939,SRR1565940,SRR1565941,SRR1565942,SRR1565943,SRR1565944,SRR1565945,SRR1565946,SRR1565947,SRR1565948,SRR1565949
SRP048565	sra	human	culture_or_organoid	18	18	0.0	34179200	Host transcriptome analysis of Aspergillus fumigatus infection in Airway Epithelial Cells	https://recount-opendata.s3.amazonaws.com/recount3/release/human/data_sources/sra/gene_sums/65/SRP048565/sra.gene_sums.SRP048565.G026.gz	SRR1594040,SRR1594041,SRR1594042,SRR1594043,SRR1594044,SRR1594045,SRR1594046,SRR1594047,SRR1594048,SRR1594049,SRR1594050,SRR1594051,SRR1594052,SRR1594053,SRR1594054,SRR1594055,SRR1594056,SRR1594057
