project	organism	n_runs_total	n_runs_lung_selected	n_runs_lung_rnaseq	selection_basis	lung_run_frac	study_level_lung	n_tissue	n_cell_line	n_culture_organoid	n_sorted_or_fluid	single_cell_frac	median_spots	study_title	selected_runs
SRP089808	human	6	6	6	run_level	1.0	True	0	6	0	0	0.0	54989808	KDM1A confers invasive and metastatic attributes in lung adenocarcinoma by modulating a non-canonical Integrin ß3-KRAS signaling pathway	SRR4241159,SRR4241160,SRR4241161,SRR4241162,SRR4241163,SRR4241164
SRP089922	human	9	9	9	run_level	1.0	True	0	9	0	0	0.0	5705254	Genes regulated by SPDEF or FOXA3 in A549 lung carcinoma cells [RNA-seq]	SRR4244287,SRR4244288,SRR4244289,SRR4244290,SRR4244291,SRR4244292,SRR4244293,SRR4244294,SRR4244295
SRP089923	human	12	12	12	run_level	1.0	True	12	0	0	0	0.0	30767920	Transcriptome of invasive mucinous adnocarcinoma of the lung and adjacent normal lung tissues from 6 patients based on RNA-seq method	SRR4244296,SRR4244297,SRR4244298,SRR4244299,SRR4244300,SRR4244301,SRR4244302,SRR4244303,SRR4244304,SRR4244305,SRR4244306,SRR4244307
SRP090241	human	32	32	32	study_level	0.0	True	0	0	0	32	0.0	21473651	RNA-Seq from human neutrophils from patients with cystic fibrosis reveals distinct transcriptional differences before and after therapy for pulmonary exacerbations	SRR4280922,SRR4280923,SRR4280924,SRR4280925,SRR4280926,SRR4280927,SRR4280928,SRR4280929,SRR4280930,SRR4280931,SRR4280932,SRR4280933,SRR4280934,SRR4280935,SRR4280936,SRR4280937,SRR4280938,SRR4280939,SRR4280940,SRR4280941,SRR4280942,SRR4280943,SRR4280944,SRR4280945,SRR4280946,SRR4280947,SRR4280948,SRR4280949,SRR4280950,SRR4280951,SRR4280952,SRR4280953
SRP090460	human	54	54	54	run_level	1.0	True	54	0	0	0	0.0	81689134	Conserved recurrent gene mutations correlate with pathway deregulation and clinical outcomes of lung adenocarcinoma in never-smokers	SRR4296062,SRR4296063,SRR4296064,SRR4296065,SRR4296066,SRR4296067,SRR4296068,SRR4296069,SRR4296070,SRR4296071,SRR4296072,SRR4296073,SRR4296074,SRR4296075,SRR4296076,SRR4296077,SRR4296078,SRR4296079,SRR4296080,SRR4296081,SRR4296082,SRR4296083,SRR4296084,SRR4296085,SRR4296086,SRR4296087,SRR4296088,SRR4296089,SRR4296090,SRR4296091,SRR4296092,SRR4296093,SRR4296094,SRR4296095,SRR4296096,SRR4296097,SRR4296098,SRR4296099,SRR4296100,SRR4296101,SRR4296102,SRR4296103,SRR4296104,SRR4296105,SRR4296106,SRR4296107,SRR4296108,SRR4296109,SRR4296110,SRR4296111,SRR4296112,SRR4296113,SRR4296114,SRR4296115
SRP090727	human	6	6	6	run_level	1.0	False	0	6	0	0	0.0	11093737	Formaldehyde facilitates cell transformation by compromising chromatin assembly	SRR4339926,SRR4339927,SRR4339928,SRR4339929,SRR4339930,SRR4339931
SRP091419	human	6	6	6	run_level	1.0	False	0	6	0	0	0.0	11246239	Homo sapiens Raw sequence reads	SRR4417254,SRR4417255,SRR4417256,SRR4417257,SRR4417258,SRR4417259
SRP091521	human	11	11	11	run_level	1.0	True	11	0	0	0	0.0	31013406	Hematoporphyrin derivative and x-ray treatment of human lung adenocarcinoma cells	SRR4422897,SRR4422898,SRR4422899,SRR4422900,SRR4422901,SRR4422902,SRR4422903,SRR4422904,SRR4422905,SRR4422923,SRR4422924
SRP091771	human	15	15	15	run_level	1.0	True	0	15	0	0	0.0	25497866	Gene expression profiling associated with knockdown of RNF20 in human normal and malignant lung epithelial cell lines	SRR4432886,SRR4432887,SRR4432888,SRR4432889,SRR4432890,SRR4432891,SRR4432892,SRR4432893,SRR4432894,SRR4432895,SRR4432896,SRR4432897,SRR4432898,SRR4432899,SRR4432900
SRP091857	human	12	6	6	run_level	0.5	False	0	6	0	0	0.0	5061292	Genomic alterations activating KLF5 [RNA-Seq]	SRR6038652,SRR6038653,SRR6038654,SRR6038655,SRR6038656,SRR6038657
SRP091886	human	48	48	48	study_level	0.0	True	48	0	0	0	0.0	35623932	Human tracheobronchial epithelial (HTBE) cell transcriptome response to infection with H1N1, H3N2, and H5N1 influenza virus.	SRR4436309,SRR4436310,SRR4436311,SRR4436312,SRR4436313,SRR4436314,SRR4436315,SRR4436316,SRR4436317,SRR4436318,SRR4436319,SRR4436320,SRR4436321,SRR4436322,SRR4436323,SRR4436324,SRR4436325,SRR4436326,SRR4436327,SRR4436328,SRR4436329,SRR4436330,SRR4436331,SRR4436332,SRR4436334,SRR4436335,SRR4436337,SRR4436338,SRR4436340,SRR4436341,SRR4436342,SRR4436343,SRR4436344,SRR4436345,SRR4436346,SRR4436347,SRR4436348,SRR4436349,SRR4436350,SRR4436351,SRR4436352,SRR4436353,SRR4436354,SRR4436355,SRR4436356,SRR4436358,SRR4436359,SRR4436360
SRP091928	human	11	11	11	study_level	0.0	True	0	11	0	0	0.0	22648370	Macrophages redirect phagocytosis by non-professional phagocytes and influence inflammation	SRR4444342,SRR4444344,SRR4444346,SRR4444348,SRR4444349,SRR4444351,SRR4444352,SRR4444353,SRR4444354,SRR4444355,SRR4444356
SRP092004	human	90	46	46	run_level	0.511	False	0	46	0	0	0.0	15772352	Suppression of adaptive responses to targeted cancer therapy by transcriptional repression [RNA-seq]	SRR4448093,SRR4448094,SRR4448095,SRR4448096,SRR4448097,SRR4448098,SRR4448099,SRR4448100,SRR4448101,SRR4448102,SRR4448103,SRR4448104,SRR4448105,SRR4448106,SRR4448107,SRR4448108,SRR4448109,SRR4448110,SRR4448111,SRR4448112,SRR4448113,SRR4448114,SRR4448115,SRR4448116,SRR4448117,SRR4448118,SRR4448119,SRR4448120,SRR4448121,SRR4448122,SRR4448123,SRR4448139,SRR4448140,SRR4448141,SRR4448142,SRR4448143,SRR4448144,SRR4448145,SRR4448146,SRR4448147,SRR4448148,SRR4448149,SRR4448150,SRR4448151,SRR4448152,SRR4448153
SRP092065	human	14	14	14	study_level	0.0	True	0	14	0	0	0.0	28435666	MRTF activates TEAD-YAP target gene expression	SRR4450290,SRR4450291,SRR4450292,SRR4450293,SRR4450294,SRR4450295,SRR4450296,SRR4450297,SRR4450298,SRR4450299,SRR4450300,SRR4450301,SRR4450302,SRR4450303
SRP092402	human	914	36	36	run_level	0.039	False	36	0	0	0	0.0	45987994	A blood RNA signature for predicting the treatment outcome in the Tuberculosis Treatment Response Cohort	SRR4784597,SRR4784598,SRR4784599,SRR4784600,SRR4784641,SRR4784642,SRR4784643,SRR4784644,SRR4784645,SRR4784646,SRR4784647,SRR4784648,SRR4784649,SRR4784650,SRR4784651,SRR4784652,SRR4784653,SRR4784654,SRR4784655,SRR4784656,SRR4784689,SRR4784690,SRR4784691,SRR4784692,SRR4784693,SRR4784694,SRR4784695,SRR4784696,SRR4784697,SRR4784698,SRR4784699,SRR4784700,SRR4784701,SRR4784702,SRR4784703,SRR4784704
SRP092641	human	27	9	9	run_level	0.333	True	0	9	0	0	0.0	28629625	RNAseq analysis of NR0B1 LOF	SRR5756352,SRR5756353,SRR5756354,SRR5756355,SRR5756356,SRR5756357,SRR5756358,SRR5756359,SRR5756360
SRP093349	human	825	472	472	run_level	0.572	True	0	0	0	472	0.0	16662879	Swarm intelligence-enhanced detection of non-small cell lung cancer using tumor-educated platelets	SRR5020177,SRR5020178,SRR5020179,SRR5020180,SRR5020181,SRR5020182,SRR5020183,SRR5020184,SRR5020185,SRR5020186,SRR5020187,SRR5020188,SRR5020189,SRR5020190,SRR5020191,SRR5020192,SRR5020193,SRR5020194,SRR5020195,SRR5020196,SRR5020197,SRR5020198,SRR5020199,SRR5020200,SRR5020201,SRR5020202,SRR5020203,SRR5020204,SRR5020205,SRR5020206,SRR5020207,SRR5020208,SRR5020209,SRR5020210,SRR5020211,SRR5020212,SRR5020254,SRR5020264,SRR5020265,SRR5020266,SRR5020267,SRR5020268,SRR5020269,SRR5020270,SRR5020271,SRR5020272,SRR5020273,SRR5020274,SRR5020275,SRR5020276,SRR5020277,SRR5020278,SRR5020279,SRR5020280,SRR5020281,SRR5020282,SRR5020283,SRR5020284,SRR5020285,SRR5020286,SRR5020287,SRR5020288,SRR5020289,SRR5020290,SRR5020291,SRR5020292,SRR5020293,SRR5020294,SRR5020295,SRR5020296,SRR5020297,SRR5020298,SRR5020299,SRR5020300,SRR5020301,SRR5020302,SRR5020303,SRR5020304,SRR5020305,SRR5020306,SRR5020307,SRR5020308,SRR5020309,SRR5020310,SRR5020311,SRR5020312,SRR5020313,SRR5020314,SRR5020315,SRR5020316,SRR5020317,SRR5020318,SRR5020319,SRR5020320,SRR5020321,SRR5020322,SRR5020323,SRR5020324,SRR5020325,SRR5020326,SRR5020327,SRR5020328,SRR5020329,SRR5020330,SRR5020331,SRR5020332,SRR5020333,SRR5020334,SRR5020335,SRR5020336,SRR5020337,SRR5020338,SRR5020339,SRR5020340,SRR5020341,SRR5020342,SRR5020343,SRR5020344,SRR5020345,SRR5020346,SRR5020347,SRR5020348,SRR5020349,SRR5020350,SRR5020351,SRR5020352,SRR5020353,SRR5020354,SRR5020355,SRR5020356,SRR5020357,SRR5020358,SRR5020359,SRR5020360,SRR5020361,SRR5020362,SRR5020363,SRR5020364,SRR5020365,SRR5020366,SRR5020367,SRR5020368,SRR5020369,SRR5020370,SRR5020371,SRR5020372,SRR5020373,SRR5020374,SRR5020375,SRR5020376,SRR5020377,SRR5020378,SRR5020379,SRR5020380,SRR5020381,SRR5020382,SRR5020383,SRR5020384,SRR5020385,SRR5020386,SRR5020387,SRR5020388,SRR5020389,SRR5020390,SRR5020391,SRR5020392,SRR5020393,SRR5020394,SRR5020395,SRR5020396,SRR5020397,SRR5020398,SRR5020399,SRR5020400,SRR5020401,SRR5020402,SRR5020403,SRR5020404,SRR5020405,SRR5020406,SRR5020407,SRR5020408,SRR5020409,SRR5020410,SRR5020411,SRR5020412,SRR5020413,SRR5020414,SRR5020415,SRR5020416,SRR5020417,SRR5020418,SRR5020419,SRR5020420,SRR5020421,SRR5020422,SRR5020423,SRR5020424,SRR5020425,SRR5020426,SRR5020427,SRR5020428,SRR5020429,SRR5020430,SRR5020431,SRR5020432,SRR5020433,SRR5020434,SRR5020435,SRR5020436,SRR5020437,SRR5020438,SRR5020439,SRR5020440,SRR5020441,SRR5020442,SRR5020443,SRR5020444,SRR5020445,SRR5020446,SRR5020447,SRR5020448,SRR5020449,SRR5020450,SRR5020451,SRR5020452,SRR5020453,SRR5020454,SRR5020455,SRR5020456,SRR5020457,SRR5020458,SRR5020459,SRR5020460,SRR5020461,SRR5020462,SRR5020463,SRR5020465,SRR5020466,SRR5020467,SRR5020468,SRR5020469,SRR5020470,SRR5020471,SRR5020472,SRR5020473,SRR5020474,SRR5020475,SRR5020476,SRR5020477,SRR5020478,SRR5020479,SRR5020480,SRR5020481,SRR5020482,SRR5020483,SRR5020484,SRR5020485,SRR5020486,SRR5020487,SRR5020488,SRR5020489,SRR5020490,SRR5020491,SRR5020492,SRR5020493,SRR5020494,SRR5020495,SRR5020496,SRR5020497,SRR5020498,SRR5020499,SRR5020500,SRR5020501,SRR5020502,SRR5020503,SRR5020504,SRR5020505,SRR5020506,SRR5020507,SRR5020508,SRR5020509,SRR5020510,SRR5020511,SRR5020512,SRR5020513,SRR5020514,SRR5020515,SRR5020516,SRR5020517,SRR5020518,SRR5020519,SRR5020520,SRR5020521,SRR5020522,SRR5020523,SRR5020524,SRR5020525,SRR5020526,SRR5020527,SRR5020528,SRR5020529,SRR5020530,SRR5020531,SRR5020532,SRR5020533,SRR5020534,SRR5020535,SRR5020536,SRR5020537,SRR5020538,SRR5020539,SRR5020540,SRR5020541,SRR5020542,SRR5020543,SRR5020544,SRR5020545,SRR5020546,SRR5020547,SRR5020548,SRR5020549,SRR5020550,SRR5020551,SRR5020552,SRR5020553,SRR5020554,SRR5020555,SRR5020556,SRR5020557,SRR5020558,SRR5020559,SRR5020560,SRR5020561,SRR5020562,SRR5020563,SRR5020564,SRR5020565,SRR5020566,SRR5020567,SRR5020568,SRR5020569,SRR5020570,SRR5020571,SRR5020572,SRR5020573,SRR5020574,SRR5020575,SRR5020576,SRR5020577,SRR5020578,SRR5020579,SRR5020580,SRR5020581,SRR5020582,SRR5020583,SRR5020584,SRR5020585,SRR5020586,SRR5020587,SRR5020588,SRR5020589,SRR5020590,SRR5020591,SRR5020592,SRR5020593,SRR5020594,SRR5020595,SRR5020596,SRR5020597,SRR5020598,SRR5020599,SRR5020600,SRR5020601,SRR5020602,SRR5020603,SRR5020604,SRR5020605,SRR5020606,SRR5020607,SRR5020608,SRR5020609,SRR5020610,SRR5020611,SRR5020612,SRR5020613,SRR5020614,SRR5020615,SRR5020616,SRR5020617,SRR5020618,SRR5020619,SRR5020620,SRR5020621,SRR5020622,SRR5020623,SRR5020624,SRR5020625,SRR5020626,SRR5020627,SRR5020628,SRR5020629,SRR5020630,SRR5020631,SRR5020632,SRR5020633,SRR5020634,SRR5020635,SRR5020636,SRR5020637,SRR5020638,SRR5020639,SRR5020640,SRR5020641,SRR5020642,SRR5020643,SRR5020644,SRR5020645,SRR5020646,SRR5020647,SRR5020648,SRR5020649,SRR5558732,SRR5558733,SRR5558734,SRR5558735,SRR5558736,SRR5558737,SRR5558738,SRR5558739,SRR5558740,SRR5558741,SRR5558742,SRR5558743,SRR5558744,SRR5558745,SRR5558746,SRR5558747,SRR5558748,SRR5558749,SRR5558750,SRR5558751,SRR5558752,SRR5558753,SRR5558754,SRR5558755,SRR5558756,SRR5558757,SRR5558758,SRR5558759,SRR5558760,SRR5558761,SRR5558762,SRR5558763,SRR5558764,SRR5558765,SRR5558766,SRR5558767,SRR5558768,SRR5558769,SRR5558770,SRR5558771,SRR5558772,SRR5558773,SRR5558774,SRR5558775,SRR5558776,SRR5558777,SRR5558778,SRR5558779,SRR5558787,SRR5558788
SRP093372	human	52	43	43	run_level	0.827	False	0	0	43	0	0.0	59501381	Differential gene expression of cigarettes and next generation products	SRR5022911,SRR5022912,SRR5022913,SRR5022915,SRR5022923,SRR5022927,SRR5022988,SRR5022989,SRR5022990,SRR5044722,SRR5044723,SRR5044724,SRR5044725,SRR5044726,SRR5044727,SRR5044728,SRR5044729,SRR5044730,SRR5057307,SRR5057308,SRR5057309,SRR5057310,SRR5057311,SRR5057312,SRR5057313,SRR5057314,SRR5057315,SRR5060530,SRR5060531,SRR5060532,SRR5060533,SRR5060534,SRR5060535,SRR5060536,SRR5060537,SRR5060538,SRR5060539,SRR5060540,SRR5060541,SRR5060542,SRR5060543,SRR5060544,SRR5060545
SRP093655	human	58	2	2	run_level	0.034	False	0	2	0	0	0.0	24818084	Exosomal short RNA sequencing experiments	SRR5027467,SRR5027468
SRP093672	human	6	6	6	run_level	1.0	True	0	0	6	0	0.0	25117382	HBEC-shp53-PCHD7	SRR5032222,SRR5032223,SRR5032224,SRR5032225,SRR5032226,SRR5032227
SRP093710	human	12	12	12	run_level	1.0	True	0	12	0	0	0.0	27872622	Epithelial-mesenchymal transition markers screenedina cell-based model and validated in lung adenocarcinoma	SRR5043782,SRR5043783,SRR5043784,SRR5043785,SRR5043786,SRR5043787,SRR5043788,SRR5043789,SRR5043790,SRR5043791,SRR5043792,SRR5043793
SRP094414	human	309	309	309	run_level	1.0	True	0	0	0	309	0.0	5455273	Tissue-resident memory features are linked to the magnitude of cytotoxic T cell responses in human lung cancer [NSCLC]	SRR5067806,SRR5067807,SRR5067808,SRR5067809,SRR5067810,SRR5067811,SRR5067812,SRR5067813,SRR5067814,SRR5067815,SRR5067816,SRR5067817,SRR5067818,SRR5067819,SRR5067820,SRR5067821,SRR5067822,SRR5067823,SRR5067824,SRR5067825,SRR5067826,SRR5067827,SRR5067828,SRR5067829,SRR5067830,SRR5067831,SRR5067832,SRR5067833,SRR5067834,SRR5067835,SRR5067836,SRR5067837,SRR5067838,SRR5067839,SRR5067840,SRR5067841,SRR5067842,SRR5067843,SRR5067844,SRR5067845,SRR5067846,SRR5067847,SRR5067848,SRR5067849,SRR5067850,SRR5067851,SRR5067852,SRR5067853,SRR5067854,SRR5067855,SRR5067856,SRR5067857,SRR5067858,SRR5067859,SRR5067860,SRR5067861,SRR5067862,SRR5067863,SRR5067864,SRR5067865,SRR5067866,SRR5067867,SRR5067868,SRR5067869,SRR5067870,SRR5067871,SRR5067872,SRR5067873,SRR5067874,SRR5067875,SRR5067876,SRR5067877,SRR5067878,SRR5067879,SRR5067880,SRR5067881,SRR5067882,SRR5067883,SRR5067884,SRR5067885,SRR5067886,SRR5067887,SRR5067888,SRR5067889,SRR5067890,SRR5067891,SRR5067892,SRR5067893,SRR5067894,SRR5067895,SRR5067896,SRR5067897,SRR5067898,SRR5067899,SRR5067900,SRR5067901,SRR5067902,SRR5067903,SRR5067904,SRR5067905,SRR5067906,SRR5067907,SRR5067908,SRR5067909,SRR5067910,SRR5067911,SRR5067912,SRR5067913,SRR5067914,SRR5067915,SRR5067916,SRR5067917,SRR5067918,SRR5067919,SRR5067920,SRR5067921,SRR5067922,SRR5067923,SRR5067924,SRR5067925,SRR5067926,SRR5067927,SRR5067928,SRR5067929,SRR5067930,SRR5067931,SRR5067932,SRR5067933,SRR5067934,SRR5067935,SRR5067936,SRR5067937,SRR5067938,SRR5067939,SRR5067940,SRR5067941,SRR5067942,SRR5067943,SRR5067944,SRR5067945,SRR5067946,SRR5067947,SRR5067948,SRR5067949,SRR5067950,SRR5067951,SRR5067952,SRR5067953,SRR5067954,SRR5067956,SRR5067957,SRR5067958,SRR5067959,SRR5067960,SRR5067961,SRR5067962,SRR5067963,SRR5067964,SRR5067965,SRR5067966,SRR5067967,SRR5067968,SRR5067969,SRR5067970,SRR5067971,SRR5067972,SRR5067973,SRR5067974,SRR5067975,SRR5067976,SRR5067977,SRR5067978,SRR5067979,SRR5067980,SRR5067981,SRR5067982,SRR5067983,SRR5067984,SRR5067985,SRR5067986,SRR5067987,SRR5067988,SRR5067989,SRR5067990,SRR5067991,SRR5067992,SRR5067993,SRR5067994,SRR5067995,SRR5067996,SRR5067997,SRR5067998,SRR5067999,SRR5068000,SRR5068001,SRR5068002,SRR5068003,SRR5068004,SRR5068005,SRR5068006,SRR5068007,SRR5068008,SRR5068009,SRR5068010,SRR5068011,SRR5068012,SRR5068013,SRR5068014,SRR5068015,SRR5068016,SRR5068017,SRR5068018,SRR5068019,SRR5068020,SRR5068021,SRR5068022,SRR5068023,SRR5068024,SRR5068025,SRR5068026,SRR5068027,SRR5068028,SRR5068029,SRR5068030,SRR5068031,SRR5068032,SRR5068033,SRR5068034,SRR5068035,SRR5068036,SRR5068037,SRR5068038,SRR5068039,SRR5068040,SRR5068041,SRR5068042,SRR5068043,SRR5068044,SRR5068045,SRR5068046,SRR5068047,SRR5068048,SRR5068049,SRR5068050,SRR5068051,SRR5068052,SRR5068053,SRR5068054,SRR5068055,SRR5068056,SRR5068057,SRR5068058,SRR5068059,SRR5068060,SRR5068061,SRR5068062,SRR5068063,SRR5068064,SRR5068065,SRR5068066,SRR5068067,SRR5068068,SRR5068069,SRR5068070,SRR5068071,SRR5068072,SRR5068073,SRR5068074,SRR5068075,SRR5068076,SRR5068077,SRR5068078,SRR5068079,SRR5068080,SRR5068081,SRR5068082,SRR5068083,SRR5068084,SRR5068085,SRR5068086,SRR5068087,SRR5068088,SRR5068089,SRR5068090,SRR5068091,SRR5068092,SRR5068093,SRR5068094,SRR5068095,SRR5068096,SRR5068097,SRR5068098,SRR5068099,SRR5068100,SRR5068101,SRR5068102,SRR5068103,SRR5068104,SRR5068105,SRR5068106,SRR5068107,SRR5068108,SRR5068109,SRR5068110,SRR5068111,SRR5068112,SRR5068113,SRR5068114,SRR5068115
SRP094416	human	164	164	164	study_level	0.0	True	0	0	0	164	0.0	5808288	Tissue-resident memory features are linked to the magnitude of cytotoxic T cell responses in human lung cancer [HNSCC]	SRR5068122,SRR5068123,SRR5068124,SRR5068125,SRR5068126,SRR5068127,SRR5068128,SRR5068129,SRR5068130,SRR5068131,SRR5068132,SRR5068133,SRR5068134,SRR5068135,SRR5068136,SRR5068137,SRR5068138,SRR5068139,SRR5068140,SRR5068141,SRR5068142,SRR5068143,SRR5068144,SRR5068145,SRR5068146,SRR5068147,SRR5068148,SRR5068149,SRR5068150,SRR5068151,SRR5068152,SRR5068153,SRR5068154,SRR5068155,SRR5068156,SRR5068157,SRR5068158,SRR5068159,SRR5068160,SRR5068161,SRR5068162,SRR5068163,SRR5068164,SRR5068165,SRR5068166,SRR5068167,SRR5068168,SRR5068169,SRR5068170,SRR5068171,SRR5068172,SRR5068173,SRR5068174,SRR5068175,SRR5068176,SRR5068177,SRR5068178,SRR5068179,SRR5068180,SRR5068181,SRR5068182,SRR5068183,SRR5068184,SRR5068185,SRR5068186,SRR5068187,SRR5068188,SRR5068189,SRR5068190,SRR5068191,SRR5068192,SRR5068193,SRR5068194,SRR5068195,SRR5068196,SRR5068197,SRR5068198,SRR5068199,SRR5068200,SRR5068201,SRR5068202,SRR5068203,SRR5068204,SRR5068205,SRR5068206,SRR5068207,SRR5068208,SRR5068209,SRR5068210,SRR5068211,SRR5068212,SRR5068213,SRR5068214,SRR5068215,SRR5068216,SRR5068217,SRR5068218,SRR5068219,SRR5068220,SRR5068221,SRR5068222,SRR5068223,SRR5068224,SRR5068225,SRR5068226,SRR5068227,SRR5068228,SRR5068229,SRR5068230,SRR5068231,SRR5068232,SRR5068233,SRR5068234,SRR5068235,SRR5068236,SRR5068237,SRR5068238,SRR5068239,SRR5068240,SRR5068241,SRR5068242,SRR5068243,SRR5068244,SRR5068245,SRR5068246,SRR5068247,SRR5068248,SRR5068249,SRR5068250,SRR5068251,SRR5068252,SRR5068253,SRR5068254,SRR5068255,SRR5068256,SRR5068257,SRR5068258,SRR5068259,SRR5068260,SRR5068261,SRR5068262,SRR5068263,SRR5068264,SRR5068265,SRR5068266,SRR5068267,SRR5068268,SRR5068269,SRR5068270,SRR5068271,SRR5068272,SRR5068273,SRR5068274,SRR5068275,SRR5068276,SRR5068277,SRR5068278,SRR5068279,SRR5068280,SRR5068281,SRR5068282,SRR5068283,SRR5068284,SRR5068285
