project	organism	n_runs_total	n_runs_lung_selected	n_runs_lung_rnaseq	selection_basis	lung_run_frac	study_level_lung	n_tissue	n_cell_line	n_culture_organoid	n_sorted_or_fluid	single_cell_frac	median_spots	study_title	selected_runs
ERP009612	human	6	6	6	run_level	1.0	True	0	6	0	0	0.0	27866378	Transcriptional characterization of Human Lung Organoids (HLOs) using RNAseq	ERR762510,ERR762511,ERR762512,ERR762513,ERR762514,ERR762515
ERP010227	human	48	48	48	study_level	0.0	True	48	0	0	0	0.0	31862188	Transcriptome analysis reveals a classical interferon signature induced by IFN?4 in human primary cells.	ERR863501,ERR863502,ERR863503,ERR863504,ERR863505,ERR863506,ERR863507,ERR863508,ERR863509,ERR863510,ERR863511,ERR863512,ERR863513,ERR863514,ERR863515,ERR863516,ERR863517,ERR863518,ERR863519,ERR863520,ERR863521,ERR863522,ERR863523,ERR863524,ERR863525,ERR863526,ERR863527,ERR863528,ERR863529,ERR863530,ERR863531,ERR863532,ERR863533,ERR863534,ERR863535,ERR863536,ERR863537,ERR863538,ERR863539,ERR863540,ERR863541,ERR863542,ERR863543,ERR863544,ERR863545,ERR863546,ERR863547,ERR863548
ERP010372	human	32	32	32	study_level	0.0	True	0	0	32	0	0.0	173698863	Transcriptome of Normal and Cystic Fibrosis Human Bronchial Epithelial Cells Infected with Pseudomonas Aeruginosa	ERR894734,ERR894735,ERR894736,ERR894737,ERR894738,ERR894739,ERR894740,ERR894741,ERR894742,ERR894743,ERR894744,ERR894745,ERR894746,ERR894747,ERR894748,ERR894749,ERR894750,ERR894751,ERR894752,ERR894753,ERR894754,ERR894755,ERR894756,ERR894757,ERR894758,ERR894759,ERR894760,ERR894761,ERR894762,ERR894763,ERR894764,ERR894765
ERP013260	human	64	24	24	run_level	0.375	True	9	0	0	15	0.0	33383807	Transcriptional landscape of human tissue lymphocytes unveils uniqueness of tumor-infiltrating T regulatory cells	ERR1198152,ERR1198153,ERR1198154,ERR1198155,ERR1198156,ERR1198157,ERR1198158,ERR1198159,ERR1198160,ERR1198161,ERR1198162,ERR1198163,ERR1198164,ERR1198165,ERR1198166,ERR1198167,ERR1198168,ERR1198169,ERR1198177,ERR1198178,ERR1198179,ERR1198180,ERR1198181,ERR1198182
ERP015518	human	6	6	6	run_level	1.0	True	0	6	0	0	0.0	60026105	RNA-seq analysis of two cell line models of lung diseases in Project 3 of Open Targets - Epigenomes of Cell Lines	ERR1406029,ERR1406030,ERR1406031,ERR1406032,ERR2025910,ERR2025912
ERP017549	human	8	8	8	run_level	1.0	True	8	0	0	0	0.0	28505507	RNA-seq of fetal urinary bladder and lung tissue	ERR1679571,ERR1679572,ERR1679573,ERR1679574,ERR1679575,ERR1679576,ERR1679577,ERR1679578
ERP017989	human	45	45	45	run_level	1.0	True	0	45	0	0	0.0	10537928	Transcriptional profiling of human bronchial epithelial cell BEAS-2B exposed to diesel and biomass ultrafine particles	ERR1691923,ERR1691924,ERR1691925,ERR1691926,ERR1691927,ERR1691928,ERR1691929,ERR1691930,ERR1691931,ERR1691932,ERR1691933,ERR1691934,ERR1691935,ERR1691936,ERR1691937,ERR1691938,ERR1691939,ERR1691940,ERR1691941,ERR1691942,ERR1691943,ERR1691944,ERR1691945,ERR1691946,ERR1691947,ERR1691948,ERR1691949,ERR1691950,ERR1691951,ERR1691952,ERR1691953,ERR1691954,ERR1691955,ERR1691956,ERR1691957,ERR1691958,ERR1691959,ERR1691960,ERR1691961,ERR1691962,ERR1691963,ERR1691964,ERR1691965,ERR1691966,ERR1691967
ERP022839	human	152	152	152	run_level	1.0	True	0	152	0	0	0.0	9474244	RNAseq of human epithelial lung carcinoma cell line A549 exposed to ceria, silver or zinc ions, micron-sized particles or nanoparticles	ERR1955041,ERR1955042,ERR1955043,ERR1955044,ERR1955045,ERR1955046,ERR1955047,ERR1955048,ERR1955049,ERR1955050,ERR1955051,ERR1955052,ERR1955053,ERR1955054,ERR1955055,ERR1955056,ERR1955057,ERR1955058,ERR1955059,ERR1955060,ERR1955061,ERR1955062,ERR1955063,ERR1955064,ERR1955065,ERR1955066,ERR1955067,ERR1955068,ERR1955069,ERR1955070,ERR1955071,ERR1955072,ERR1955073,ERR1955074,ERR1955075,ERR1955076,ERR1955077,ERR1955078,ERR1955079,ERR1955080,ERR1955081,ERR1955082,ERR1955083,ERR1955084,ERR1955085,ERR1955086,ERR1955087,ERR1955088,ERR1955089,ERR1955090,ERR1955091,ERR1955092,ERR1955093,ERR1955094,ERR1955095,ERR1955096,ERR1955097,ERR1955098,ERR1955099,ERR1955100,ERR1955101,ERR1955102,ERR1955103,ERR1955104,ERR1955105,ERR1955106,ERR1955107,ERR1955108,ERR1955109,ERR1955110,ERR1955111,ERR1955112,ERR1955113,ERR1955114,ERR1955115,ERR1955116,ERR1955117,ERR1955118,ERR1955119,ERR1955120,ERR1955121,ERR1955122,ERR1955123,ERR1955124,ERR1955125,ERR1955126,ERR1955127,ERR1955128,ERR1955129,ERR1955130,ERR1955131,ERR1955132,ERR1955133,ERR1955134,ERR1955135,ERR1955136,ERR1955137,ERR1955138,ERR1955139,ERR1955140,ERR1955141,ERR1955142,ERR1955143,ERR1955144,ERR1955145,ERR1955146,ERR1955147,ERR1955148,ERR1955149,ERR1955150,ERR1955151,ERR1955152,ERR1955153,ERR1955154,ERR1955155,ERR1955156,ERR1955157,ERR1955158,ERR1955159,ERR1955160,ERR1955161,ERR1955162,ERR1955163,ERR1955164,ERR1955165,ERR1955166,ERR1955167,ERR1955168,ERR1955169,ERR1955170,ERR1955171,ERR1955172,ERR1955173,ERR1955174,ERR1955175,ERR1955176,ERR1955177,ERR1955178,ERR1955179,ERR1955180,ERR1955181,ERR1955182,ERR1955183,ERR1955184,ERR1955185,ERR1955186,ERR1955187,ERR1955188,ERR1955189,ERR1955190,ERR1955191,ERR1955192
ERP023890	human	41	1	1	run_level	0.024	False	0	1	0	0	0.0	32238291	Intergenic Disease-associated Regions are Abundant in Novel Regulatory Transcripts	ERR2022835
ERP104908	human	12	12	12	run_level	1.0	True	0	0	0	12	1.0	38207464	RNA seq experiment of Treg cells isolated from peripheral blood of patients with pulmonary sarcoidosis compared to Treg cells from peripheral blood of healthy individuals	ERR2180966,ERR2180967,ERR2180968,ERR2180969,ERR2180970,ERR2180971,ERR2180972,ERR2180973,ERR2180974,ERR2180975,ERR2180976,ERR2180977
