cohort_id	organism	material	scale	tf	target	rho	p	n	detect_tf	detect_target
GTEx_LUNG	human	tissue	raw	ELF3	TACSTD2	0.4091	0.0000	655	1.0000	1.0000
GTEx_LUNG	human	tissue	raw	ELF3	CLDN4	0.6513	0.0000	655	1.0000	1.0000
GTEx_LUNG	human	tissue	raw	GRHL1	TACSTD2	-0.1105	0.0046	655	1.0000	1.0000
GTEx_LUNG	human	tissue	raw	GRHL1	CLDN4	-0.1007	0.0099	655	1.0000	1.0000
GTEx_LUNG	human	tissue	raw	KLF4	TACSTD2	0.3202	0.0000	655	1.0000	1.0000
GTEx_LUNG	human	tissue	raw	KLF4	CLDN4	0.3849	0.0000	655	1.0000	1.0000
GTEx_LUNG	human	tissue	raw	TFAP2A	TACSTD2	-0.0171	0.6621	655	1.0000	1.0000
GTEx_LUNG	human	tissue	raw	TFAP2A	CLDN4	0.0757	0.0529	655	1.0000	1.0000
GTEx_LUNG	human	tissue	raw	NKX2-1	TACSTD2	0.5585	0.0000	655	0.9985	1.0000
GTEx_LUNG	human	tissue	raw	NKX2-1	CLDN4	0.7146	0.0000	655	0.9985	1.0000
GTEx_LUNG	human	tissue	epcam	ELF3	TACSTD2	0.1804	0.0000	655	1.0000	1.0000
GTEx_LUNG	human	tissue	epcam	ELF3	CLDN4	0.6259	0.0000	655	1.0000	1.0000
GTEx_LUNG	human	tissue	epcam	GRHL1	TACSTD2	0.1870	0.0000	655	1.0000	1.0000
GTEx_LUNG	human	tissue	epcam	GRHL1	CLDN4	0.1635	0.0000	655	1.0000	1.0000
GTEx_LUNG	human	tissue	epcam	KLF4	TACSTD2	0.1157	0.0030	655	1.0000	1.0000
GTEx_LUNG	human	tissue	epcam	KLF4	CLDN4	0.2254	0.0000	655	1.0000	1.0000
GTEx_LUNG	human	tissue	epcam	TFAP2A	TACSTD2	0.0431	0.2706	655	1.0000	1.0000
GTEx_LUNG	human	tissue	epcam	TFAP2A	CLDN4	0.1946	0.0000	655	1.0000	1.0000
GTEx_LUNG	human	tissue	epcam	NKX2-1	TACSTD2	0.0088	0.8218	655	0.9985	1.0000
