paper	kind	accession	repository	generated_by	downloaded	path_or_url	notes
mct2022	RPPA	none	MD Anderson RPPA Core	Bitler lab	figure_only	mct2022_yamamoto/rppa/figure3_panelA_is_rppa_heatmap.jpg	OVCAR3 shCtrl n=3 vs shCLDN4#1 n=3. Heatmap is Figure 3A (p<0.05, FDR<15%). No protein-by-sample matrix, no TCPA/RPPA accession, and no supplementary spreadsheet of the array. Data-availability statement: upon request from the corresponding author. Named follow-up proteins in the text: XRCC1 and 53BP1.
mct2022	reanalysis_table	TCGA OV Firehose Legacy	cBioPortal	TCGA / used by Bitler	yes_table	mct2022_yamamoto/tables/table_s1_tcga_cldn4_high_vs_low_transcripts.tsv	1582 FDR<0.05 transcripts called in the paper; the deposited spreadsheet has the full tested table. Accessed 2020-12-20. Controlled raw reads are dbGaP phs000178, not copied here.
mct2022	supplement_table	Table S2 cell lines	PMC8988515 supplement 7	Bitler lab	yes	mct2022_yamamoto/tables/table_s2_cellline_brca_status.tsv	BRCA1/2 status of ovarian lines used for PARPi curves.
mct2022	reanalysis_table	DepMap GDSC2	depmap.org	DepMap / used by Bitler	yes_table	mct2022_yamamoto/tables/table_s3_depmap_gdsc2_cldn4_drug_auc.tsv	FDA-approved drug screen in OVCAR3 shCtrl vs shCLDN4 plus DepMap Pearson r of CLDN4 vs AUC. Accessed 2021-03-22 and 2021-12-09.
mct2022	clinical_table	GTFB ex vivo tumors	PMC8988515 supplement 9	Bitler lab / University of Colorado GTFB	yes	mct2022_yamamoto/tables/table_s4_gtfb_exvivo_tumors.tsv	Paper calls this Table S4. Spreadsheet banner text says Table S3. Columns: GTFB ID, diagnosis, stage, claudin-4 status, BRCA, HRD.
mct2022	reanalysis_accession	PXD003668	PRIDE / ProteomeXchange	Coscia 2016, cited by MCT	no	https://www.ebi.ac.uk/pride/archive/projects/PXD003668	Untargeted MS of ovarian lines used for CLDN4 vs 53BP1/XRCC1 (Figure S3A-B). Also MassIVE MSV000080814. RAW archive not copied (large).
mct2022	reanalysis_accession	E-MTAB-8107	ArrayExpress	Qian 2020, cited by MCT	no	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-8107	Ovarian arm of the pan-cancer blueprint scRNA used via http://blueprint.lambrechtslab.org/ (accessed 2021-04-09). Companion accessions in that paper: E-MTAB-6149 and E-MTAB-6653. Count matrices not copied (large).
mcr2019	reanalysis_accession	GSE18521	GEO	Mok 2009, analyzed by Breed/Bitler	yes	mcr2019_breed/geo/GSE18521_series_matrix.txt.gz	GPL570, 75 samples (10 HOSE + HGSOC). CLDN4 probe 218182_s_at extracted to GSE18521_CLDN4_probe_218182_s_at.tsv. Not a Bitler deposit.
heliyon2022	proteomics_supplement	BioID CLDN4 proximal proteins	Heliyon mmc1 Supplementary Table 1	Bitler/Neville lab	yes	heliyon2022_neville/tables/supp_table_1_bioid_averaged.tsv	OVCAR3 and OVCAR8 CLDN4-BioID, two experiments each, averaged. No PRIDE/PXD accession. 54 symbols parsed from the PDF table.
crc2024	proteomics_supplement	BioID CLDN4 proximal proteins	CRC-24-0240 Supplementary Table 1	Bitler lab	yes	crc2024_autophagy/tables/supp_table_1_bioid_cldn4_proximal_proteins.tsv	Spectral counts: control sample 1 vs CLDN4 sample 2 and log2 fold change. 412 proteins. No PXD.
crc2024	metabolomics_supplement	DS2-041 / DS2-026	CRC-24-0240 Supplementary Table 2	Bitler lab	yes	crc2024_autophagy/tables/supp_table_2_metabolomics_OVCA429_cells.tsv	Four matrices: OVCA429 cells (DS2-041-001 to 006), OVCA429 supernatant (007-012), OVCAR3 cells (DS2-026-001 to 006), OVCAR3 supernatant (007-012). WT vs CLDN4 KD, n=3. No MetaboLights or Metabolomics Workbench accession in the paper.
crc2024	data_availability	none	manuscript + supplements	Bitler lab	n/a	https://doi.org/10.1158/2767-9764.CRC-24-0240	Flow-cytometry raw data: upon request. No GEO.
crc2025	reanalysis_accession	phs000178	dbGaP / cBioPortal	TCGA, used by Bitler	no	https://www.cbioportal.org/study/summary?id=ov_tcga_pan_can_atlas_2018	OV PanCancer Atlas accessed 2020-04-14. Supplements are figures only (no new omics matrix). Other data upon request.
scirep2025	reanalysis_accession	phs000178	dbGaP / cBioPortal	TCGA, used by Bitler	partial_tables	scirep2025/tables/moesm2_cbioportal_cldn4_cooccurrence.tsv	Same OV PanCancer Atlas access date. MOESM2 is the co-occurrence test; MOESM5 is a short CLDN4-correlated gene table. Raw data upon request. MOESM3 is the flow-antibody panel, not omics.
aacr_lb387	none	none	AACR abstract only	Bitler lab	n/a	https://doi.org/10.1158/1538-7445.AM2025-LB387	No accession and no supplement. Full paper is Sci Rep 2025.
