ligand	receptor	pathway	cpdb_mean_score_high	pass_expr_prop_high	ligand_frac_high	receptor_frac_high	n_sender_high	n_receiver_high	cpdb_mean_score_low	pass_expr_prop_low	ligand_frac_low	receptor_frac_low	n_sender_low	n_receiver_low	delta_high_minus_low	pass_either	pass_both	Sample	patient	paper_group	n_high	n_low	n_tnk
IFNG	IFNGR1	IFN	0.3411798030138016	True	0.13893376413570274	0.533678756476684	619	386	0.3231578469276428	True	0.13893376413570274	0.45054945054945056	619	182	0.018021956086158752	True	True	BD_immune01	P01	TN	386	182	619
IFNG	IFNGR1+IFNGR2	IFN	0.3411798030138016	True	0.13893376413570274	0.533678756476684	619	386	0.3231578469276428	True	0.13893376413570274	0.45054945054945056	619	182	0.018021956086158752	True	True	BD_immune01	P01	TN	386	182	619
IFNG	IFNGR2	IFN	0.3716060221195221	True	0.13893376413570274	0.5906735751295337	619	386	0.40667612850666046	True	0.13893376413570274	0.5604395604395604	619	182	-0.03507010638713837	True	True	BD_immune01	P01	TN	386	182	619
IFNL1	IFNLR1+IL10RB	IFN	0.011443038238212466	False	0.009693053311793215	0.02072538860103627	619	386	0.012964488938450813	False	0.009693053311793215	0.02197802197802198	619	182	-0.001521450700238347	False	False	BD_immune01	P01	TN	386	182	619
CD93	IFNGR1	IFN_partial	0.19800730841234326	False	0.0016155088852988692	0.533678756476684	619	386	0.1799853523261845	False	0.0016155088852988692	0.45054945054945056	619	182	0.018021956086158752	False	False	BD_immune01	P01	TN	386	182	619
IL10	IL10RA+IL10RB	IFN_partial	0.00833320408128202	False	0.006462035541195477	0.02072538860103627	619	386	0.007965886732563376	False	0.006462035541195477	0.016483516483516484	619	182	0.0003673173487186432	False	False	BD_immune01	P01	TN	386	182	619
IL26	IL10RB+IL20RA	IFN_partial	0.005393890896812081	False	0.0032310177705977385	0.02072538860103627	619	386	0.006915341597050428	False	0.0032310177705977385	0.02197802197802198	619	182	-0.001521450700238347	False	False	BD_immune01	P01	TN	386	182	619
HLA-A	CD8A	MHC_I	2.0024685757234693	False	0.9983844911147012	0.06217616580310881	619	386	2.000869393348694	False	0.9983844911147012	0.04395604395604396	619	182	0.0015991823747754097	False	False	BD_immune01	P01	TN	386	182	619
HLA-A	CD8B	MHC_I	1.9908989667892456	False	0.9983844911147012	0.0	619	386	1.9908989667892456	False	0.9983844911147012	0.0	619	182	0.0	False	False	BD_immune01	P01	TN	386	182	619
HLA-B	CD8A	MHC_I	1.6914204256609082	False	0.9951534733441034	0.06217616580310881	619	386	1.6898212432861328	False	0.9951534733441034	0.04395604395604396	619	182	0.0015991823747754097	False	False	BD_immune01	P01	TN	386	182	619
HLA-B	CD8B	MHC_I	1.6798508167266846	False	0.9951534733441034	0.0	619	386	1.6798508167266846	False	0.9951534733441034	0.0	619	182	0.0	False	False	BD_immune01	P01	TN	386	182	619
HLA-C	CD8A	MHC_I	1.9272578852251172	False	0.9983844911147012	0.06217616580310881	619	386	1.9256587028503418	False	0.9983844911147012	0.04395604395604396	619	182	0.0015991823747754097	False	False	BD_immune01	P01	TN	386	182	619
HLA-C	CD8B	MHC_I	1.9156882762908936	False	0.9983844911147012	0.0	619	386	1.9156882762908936	False	0.9983844911147012	0.0	619	182	0.0	False	False	BD_immune01	P01	TN	386	182	619
HLA-C	KIR2DL1	MHC_I	1.9156882762908936	False	0.9983844911147012	0.0	619	386	1.9156882762908936	False	0.9983844911147012	0.0	619	182	0.0	False	False	BD_immune01	P01	TN	386	182	619
HLA-E	KLRC1	MHC_I	1.6656512022018433	False	0.9935379644588045	0.0	619	386	1.6656512022018433	False	0.9935379644588045	0.0	619	182	0.0	False	False	BD_immune01	P01	TN	386	182	619
HLA-E	KLRC1+KLRD1	MHC_I	1.6656512022018433	False	0.9935379644588045	0.0	619	386	1.6656512022018433	False	0.9935379644588045	0.0	619	182	0.0	False	False	BD_immune01	P01	TN	386	182	619
HLA-E	KLRC2	MHC_I	1.6656512022018433	False	0.9935379644588045	0.0	619	386	1.6656512022018433	False	0.9935379644588045	0.0	619	182	0.0	False	False	BD_immune01	P01	TN	386	182	619
HLA-E	KLRC2+KLRD1	MHC_I	1.6656512022018433	False	0.9935379644588045	0.0	619	386	1.6656512022018433	False	0.9935379644588045	0.0	619	182	0.0	False	False	BD_immune01	P01	TN	386	182	619
HLA-E	KLRD1	MHC_I	1.666722574038431	False	0.9935379644588045	0.007772020725388601	619	386	1.667180294985883	False	0.9935379644588045	0.005494505494505495	619	182	-0.0004577209474518895	False	False	BD_immune01	P01	TN	386	182	619
HLA-E	KLRK1	MHC_I	1.6656512022018433	False	0.9935379644588045	0.0	619	386	1.6656512022018433	False	0.9935379644588045	0.0	619	182	0.0	False	False	BD_immune01	P01	TN	386	182	619
HLA-F	LILRB1	MHC_I	0.6303257290273905	False	0.6138933764135702	0.007772020725388601	619	386	0.6289702653884888	False	0.6138933764135702	0.0	619	182	0.0013554636389017105	False	False	BD_immune01	P01	TN	386	182	619
HLA-F	LILRB2	MHC_I	0.6369999786838889	False	0.6138933764135702	0.03367875647668394	619	386	0.6375246923416853	False	0.6138933764135702	0.038461538461538464	619	182	-0.0005247136577963829	False	False	BD_immune01	P01	TN	386	182	619
HLA-G	LILRB1	MHC_I	0.002616138430312276	False	0.0016155088852988692	0.007772020725388601	619	386	0.0012606747914105654	False	0.0016155088852988692	0.0	619	182	0.0013554636389017105	False	False	BD_immune01	P01	TN	386	182	619
HLA-G	LILRB2	MHC_I	0.009290388086810708	False	0.0016155088852988692	0.03367875647668394	619	386	0.009815101744607091	False	0.0016155088852988692	0.038461538461538464	619	182	-0.0005247136577963829	False	False	BD_immune01	P01	TN	386	182	619
B2M+CD1B	IL6ST	MHC_I_partial	0.11905239522457123	False	0.0	0.40932642487046633	619	386	0.08957971632480621	False	0.0	0.29120879120879123	619	182	0.029472678899765015	False	False	BD_immune01	P01	TN	386	182	619
CD1D	LILRB2	MHC_I_partial	0.008029713295400143	False	0.0	0.03367875647668394	619	386	0.008554426953196526	False	0.0	0.038461538461538464	619	182	-0.0005247136577963829	False	False	BD_immune01	P01	TN	386	182	619
CEACAM5	CD8A	MHC_I_partial	0.019425549544394016	False	0.008077544426494346	0.06217616580310881	619	386	0.017826367169618607	False	0.008077544426494346	0.04395604395604396	619	182	0.0015991823747754097	False	False	BD_immune01	P01	TN	386	182	619
HLA-E	VSIR	MHC_I_partial	1.7054278999567032	True	0.9935379644588045	0.15284974093264247	619	386	1.6878415420651436	False	0.9935379644588045	0.07692307692307693	619	182	0.0175863578915596	True	False	BD_immune01	P01	TN	386	182	619
HLA-F	VSIR	MHC_I_partial	0.6687469631433487	True	0.6138933764135702	0.15284974093264247	619	386	0.6511606052517891	False	0.6138933764135702	0.07692307692307693	619	182	0.0175863578915596	True	False	BD_immune01	P01	TN	386	182	619
LCK	CD8A+CD8B	MHC_I_partial	0.47143304347991943	False	0.49596122778675283	0.0	619	386	0.47143304347991943	False	0.49596122778675283	0.0	619	182	0.0	False	False	BD_immune01	P01	TN	386	182	619
MICA	HCST+KLRK1	MHC_I_partial	0.033504560589790344	False	0.04038772213247173	0.0	619	386	0.033504560589790344	False	0.04038772213247173	0.0	619	182	0.0	False	False	BD_immune01	P01	TN	386	182	619
MICB	HCST+KLRK1	MHC_I_partial	0.06181883439421654	False	0.07108239095315025	0.0	619	386	0.06181883439421654	False	0.07108239095315025	0.0	619	182	0.0	False	False	BD_immune01	P01	TN	386	182	619
ULBP1	HCST+KLRK1	MHC_I_partial	0.0013673538342118263	False	0.0016155088852988692	0.0	619	386	0.0013673538342118263	False	0.0016155088852988692	0.0	619	182	0.0	False	False	BD_immune01	P01	TN	386	182	619
ULBP2	HCST+KLRK1	MHC_I_partial	0.015076884999871254	False	0.017770597738287562	0.0	619	386	0.015076884999871254	False	0.017770597738287562	0.0	619	182	0.0	False	False	BD_immune01	P01	TN	386	182	619
CCL19	CCR7	T_recruit	0.0006443550810217857	False	0.0	0.0051813471502590676	619	386	0.0005960323032923043	False	0.0	0.005494505494505495	619	182	4.832277772948146e-05	False	False	BD_immune01	P01	TN	386	182	619
CCL21	CCR7	T_recruit	0.0006443550810217857	False	0.0	0.0051813471502590676	619	386	0.0005960323032923043	False	0.0	0.005494505494505495	619	182	4.832277772948146e-05	False	False	BD_immune01	P01	TN	386	182	619
CCL3	CCR1	T_recruit	0.18598879221826792	False	0.1631663974151858	0.02849740932642487	619	386	0.18603729410097003	False	0.1631663974151858	0.02197802197802198	619	182	-4.85018827021122e-05	False	False	BD_immune01	P01	TN	386	182	619
CCL3	CCR5	T_recruit	0.17854534089565277	False	0.1631663974151858	0.0	619	386	0.17930365831125528	False	0.1631663974151858	0.005494505494505495	619	182	-0.0007583174156025052	False	False	BD_immune01	P01	TN	386	182	619
CCL4	CCR5	T_recruit	1.1633366346359253	False	0.7302100161550888	0.0	619	386	1.1640949520515278	False	0.7302100161550888	0.005494505494505495	619	182	-0.0007583174156025052	False	False	BD_immune01	P01	TN	386	182	619
CCL5	CCR1	T_recruit	1.3365156883373857	False	0.8465266558966075	0.02849740932642487	619	386	1.3365641902200878	False	0.8465266558966075	0.02197802197802198	619	182	-4.85018827021122e-05	False	False	BD_immune01	P01	TN	386	182	619
