ligand	receptor	target	lr_means_high	lr_means_low	higher_in	cellphone_p_high
CXCL16	CXCR6	T	0.4163105	0.41134107	high	0.0
CXCL16	CXCR6	NK	0.38453752	0.3795681	high	0.0
CX3CL1	CX3CR1	NK	0.4011444	0.39647722	high	0.0
HLA-E	KLRC1	NK	0.9441676	0.8356625	high	1.0
FAM3C	HLA-C	T	2.307206	2.2141175	high	0.0
FAM3C	HLA-C	NK	2.4143443	2.321256	high	0.0
APP	CD74	T	1.8637748	1.8478408	high	0.0
APP	CD74	NK	1.9755921	1.959658	high	0.0
CD58	CD2	T	1.2853884	1.2904724	low	0.0
CD58	CD2	NK	0.9350656	0.94014966	low	0.0
