ligand,ligand_complex,ligand_means,ligand_props,receptor,receptor_complex,receptor_means,receptor_props,source,target,lr_means,cellphone_pvals
FAM3C,FAM3C,0.7793404,0.7335,HLA-C,HLA-C,4.0493484,0.998,Malig_CLDN4high,NK,2.4143443,0.0
FAM3C,FAM3C,0.5931633,0.5845,HLA-C,HLA-C,4.0493484,0.998,Malig_CLDN4low,NK,2.321256,0.0
FAM3C,FAM3C,0.7793404,0.7335,HLA-C,HLA-C,3.8350716,0.995,Malig_CLDN4high,T,2.307206,0.0
FAM3C,FAM3C,0.5931633,0.5845,HLA-C,HLA-C,3.8350716,0.995,Malig_CLDN4low,T,2.2141175,0.0
APP,APP,1.0520116,0.827,CD74,CD74,2.8991725,0.907,Malig_CLDN4high,NK,1.9755921,0.0
APP,APP,1.0201435,0.7365,CD74,CD74,2.8991725,0.907,Malig_CLDN4low,NK,1.959658,0.0
APP,APP,1.0520116,0.827,CD74,CD74,2.675538,0.884,Malig_CLDN4high,T,1.8637748,0.0
COPA,COPA,0.79830354,0.746,CD74,CD74,2.8991725,0.907,Malig_CLDN4high,NK,1.8487381,0.0
APP,APP,1.0201435,0.7365,CD74,CD74,2.675538,0.884,Malig_CLDN4low,T,1.8478408,0.0
COPA,COPA,0.779375,0.6715,CD74,CD74,2.8991725,0.907,Malig_CLDN4low,NK,1.8392738,0.0
COPA,COPA,0.79830354,0.746,CD74,CD74,2.675538,0.884,Malig_CLDN4high,T,1.7369208,0.0
COPA,COPA,0.779375,0.6715,CD74,CD74,2.675538,0.884,Malig_CLDN4low,T,1.7274566,0.0
MIF,MIF,0.07816169,0.134,CD74,CD74,2.8991725,0.907,Malig_CLDN4high,NK,1.4886671,0.0
MIF,MIF,0.06534164,0.125,CD74,CD74,2.8991725,0.907,Malig_CLDN4low,NK,1.4822571,0.0
MIF,MIF,0.07816169,0.134,CD74,CD74,2.675538,0.884,Malig_CLDN4high,T,1.3768499,0.0
MIF,MIF,0.06534164,0.125,CD74,CD74,2.675538,0.884,Malig_CLDN4low,T,1.3704399,0.0
CD58,CD58,0.13721171,0.2225,CD2,CD2,2.443733,0.898,Malig_CLDN4low,T,1.2904724,0.0
CD58,CD58,0.12704362,0.222,CD2,CD2,2.443733,0.898,Malig_CLDN4high,T,1.2853884,0.0
HBEGF,HBEGF,0.6702889,0.573,CD44,CD44,1.3265582,0.624,Malig_CLDN4high,T,0.9984236,0.0
NECTIN1,NECTIN1,0.7004888,0.6725,CD96,CD96,1.2675213,0.592,Malig_CLDN4high,NK,0.98400503,0.0
NECTIN1,NECTIN1,0.7004888,0.6725,CD96,CD96,1.2139128,0.5625,Malig_CLDN4high,T,0.9572008,0.0
HLA-E,HLA-E,1.6452136,0.9075,KLRC1,KLRC1,0.24312162,0.133,Malig_CLDN4high,NK,0.9441676,1.0
HLA-E,HLA-E,1.6452136,0.9075,KLRC1,KLRC1_KLRD1,0.24312162,0.133,Malig_CLDN4high,NK,0.9441676,1.0
CD58,CD58,0.13721171,0.2225,CD2,CD2,1.7430876,0.7155,Malig_CLDN4low,NK,0.94014966,0.0
CD58,CD58,0.12704362,0.222,CD2,CD2,1.7430876,0.7155,Malig_CLDN4high,NK,0.9350656,0.0
GRN,GRN,0.95860237,0.7855,TNFRSF1B,TNFRSF1B,0.87343407,0.448,Malig_CLDN4high,NK,0.91601825,0.0
SPP1,SPP1,0.47563547,0.397,CD44,CD44,1.3265582,0.624,Malig_CLDN4high,T,0.9010968,0.0
HBEGF,HBEGF,0.6702889,0.573,CD44,CD44,1.1226177,0.5485,Malig_CLDN4high,NK,0.8964533,0.0
GRN,GRN,0.8861915,0.709,TNFRSF1B,TNFRSF1B,0.87343407,0.448,Malig_CLDN4low,NK,0.8798128,0.0
GRN,GRN,0.95860237,0.7855,TNFRSF1B,TNFRSF1B,0.7578512,0.383,Malig_CLDN4high,T,0.8582268,0.0
FAM3C,FAM3C,0.7793404,0.7335,CLEC2D,CLEC2D,0.9339293,0.4655,Malig_CLDN4high,NK,0.85663486,0.0
HBEGF,HBEGF,0.3813946,0.375,CD44,CD44,1.3265582,0.624,Malig_CLDN4low,T,0.8539764,0.0
NECTIN1,NECTIN1,0.43626633,0.45,CD96,CD96,1.2675213,0.592,Malig_CLDN4low,NK,0.8518938,0.0
SPP1,SPP1,0.37296543,0.2945,CD44,CD44,1.3265582,0.624,Malig_CLDN4low,T,0.84976184,0.0
HLA-E,HLA-E,1.4282033,0.806,KLRC1,KLRC1,0.24312162,0.133,Malig_CLDN4low,NK,0.8356625,1.0
HLA-E,HLA-E,1.4282033,0.806,KLRC1,KLRC1_KLRD1,0.24312162,0.133,Malig_CLDN4low,NK,0.8356625,1.0
FGFR2,FGFR2,0.32501733,0.4195,CD44,CD44,1.3265582,0.624,Malig_CLDN4high,T,0.8257878,0.0
NECTIN1,NECTIN1,0.43626633,0.45,CD96,CD96,1.2139128,0.5625,Malig_CLDN4low,T,0.8250896,0.0
GRN,GRN,0.8861915,0.709,TNFRSF1B,TNFRSF1B,0.7578512,0.383,Malig_CLDN4low,T,0.82202137,0.0
FAM3C,FAM3C,0.7793404,0.7335,CLEC2D,CLEC2D,0.8584766,0.43,Malig_CLDN4high,T,0.81890845,0.0
SPP1,SPP1,0.47563547,0.397,CD44,CD44,1.1226177,0.5485,Malig_CLDN4high,NK,0.7991266,0.0
FGFR2,FGFR2,0.255004,0.323,CD44,CD44,1.3265582,0.624,Malig_CLDN4low,T,0.79078114,0.0
LGALS9,LGALS9,0.24063134,0.3295,CD44,CD44,1.3265582,0.624,Malig_CLDN4high,T,0.7835948,0.0
LGALS9,LGALS9,0.23839423,0.302,CD44,CD44,1.3265582,0.624,Malig_CLDN4low,T,0.78247625,0.0
FAM3C,FAM3C,0.5931633,0.5845,CLEC2D,CLEC2D,0.9339293,0.4655,Malig_CLDN4low,NK,0.76354635,0.0
FAM3C,FAM3C,0.7793404,0.7335,LAMP1,LAMP1,0.72617966,0.4015,Malig_CLDN4high,NK,0.75276005,0.0
HBEGF,HBEGF,0.3813946,0.375,CD44,CD44,1.1226177,0.5485,Malig_CLDN4low,NK,0.7520062,0.0
SPP1,SPP1,0.37296543,0.2945,CD44,CD44,1.1226177,0.5485,Malig_CLDN4low,NK,0.7477916,0.0
FAM3C,FAM3C,0.5931633,0.5845,CLEC2D,CLEC2D,0.8584766,0.43,Malig_CLDN4low,T,0.72581995,0.0
FGFR2,FGFR2,0.32501733,0.4195,CD44,CD44,1.1226177,0.5485,Malig_CLDN4high,NK,0.7238175,0.0
MDK,MDK,1.0861614,0.791,SORL1,SORL1,0.35827944,0.182,Malig_CLDN4high,T,0.7222204,0.0
FAM3C,FAM3C,0.7793404,0.7335,LAMP1,LAMP1,0.64098734,0.3515,Malig_CLDN4high,T,0.71016383,0.0
FGF2,FGF2,0.08983834,0.128,CD44,CD44,1.3265582,0.624,Malig_CLDN4low,T,0.7081983,0.0
MDK,MDK,1.0861614,0.791,SORL1,SORL1,0.3248128,0.1705,Malig_CLDN4high,NK,0.7054871,0.0
FGF2,FGF2,0.08363968,0.1225,CD44,CD44,1.3265582,0.624,Malig_CLDN4high,T,0.705099,0.0
CDH1,CDH1,0.85930854,0.767,ITGB7,ITGAE_ITGB7,0.54792964,0.307,Malig_CLDN4high,NK,0.7036191,0.0
FGFR2,FGFR2,0.255004,0.323,CD44,CD44,1.1226177,0.5485,Malig_CLDN4low,NK,0.6888108,0.0
LGALS9,LGALS9,0.24063134,0.3295,CD44,CD44,1.1226177,0.5485,Malig_CLDN4high,NK,0.68162453,0.02
LGALS9,LGALS9,0.23839423,0.302,CD44,CD44,1.1226177,0.5485,Malig_CLDN4low,NK,0.680506,0.02
PVR,PVR,0.079022296,0.139,CD96,CD96,1.2675213,0.592,Malig_CLDN4low,NK,0.6732718,0.0
PVR,PVR,0.07222798,0.1305,CD96,CD96,1.2675213,0.592,Malig_CLDN4high,NK,0.6698746,0.0
TNFSF9,TNFSF9,0.11968672,0.1655,HLA-DPA1,HLA-DPA1,1.2056874,0.5675,Malig_CLDN4high,NK,0.66268706,0.0
FAM3C,FAM3C,0.5931633,0.5845,LAMP1,LAMP1,0.72617966,0.4015,Malig_CLDN4low,NK,0.6596715,0.78
PVR,PVR,0.079022296,0.139,CD96,CD96,1.2139128,0.5625,Malig_CLDN4low,T,0.64646757,0.0
PVR,PVR,0.07222798,0.1305,CD96,CD96,1.2139128,0.5625,Malig_CLDN4high,T,0.6430704,0.0
FAM3C,FAM3C,0.5931633,0.5845,LAMP1,LAMP1,0.64098734,0.3515,Malig_CLDN4low,T,0.6170753,1.0
FGF2,FGF2,0.08983834,0.128,CD44,CD44,1.1226177,0.5485,Malig_CLDN4low,NK,0.60622805,0.0
FGF2,FGF2,0.08363968,0.1225,CD44,CD44,1.1226177,0.5485,Malig_CLDN4high,NK,0.6031287,0.0
FAM3C,FAM3C,0.7793404,0.7335,PDCD1,PDCD1,0.4108375,0.217,Malig_CLDN4high,T,0.59508896,0.0
CDH1,CDH1,0.62889063,0.612,ITGB7,ITGAE_ITGB7,0.54792964,0.307,Malig_CLDN4low,NK,0.58841014,0.0
FAM3C,FAM3C,0.7793404,0.7335,PDCD1,PDCD1,0.39330617,0.214,Malig_CLDN4high,NK,0.58632326,0.0
MDK,MDK,0.8099381,0.6055,SORL1,SORL1,0.35827944,0.182,Malig_CLDN4low,T,0.58410877,0.0
CDH1,CDH1,0.85930854,0.767,ITGAE,ITGAE_ITGB7,0.2949211,0.1605,Malig_CLDN4high,T,0.5771148,0.0
MDK,MDK,0.8099381,0.6055,SORL1,SORL1,0.3248128,0.1705,Malig_CLDN4low,NK,0.5673754,0.0
GRN,GRN,0.95860237,0.7855,TNFRSF1A,TNFRSF1A,0.17184252,0.106,Malig_CLDN4high,NK,0.56522244,0.0
CDH1,CDH1,0.85930854,0.767,KLRG1,KLRG1,0.23959364,0.129,Malig_CLDN4high,NK,0.5494511,0.0
GRN,GRN,0.8861915,0.709,TNFRSF1A,TNFRSF1A,0.17184252,0.106,Malig_CLDN4low,NK,0.529017,0.0
JAG1,JAG1,0.69854397,0.656,CD46,CD46,0.35125914,0.1915,Malig_CLDN4high,T,0.52490157,0.0
TNFSF9,TNFSF9,0.11968672,0.1655,HLA-DPA1,HLA-DPA1,0.9268684,0.4455,Malig_CLDN4high,T,0.5232775,0.0
JAG1,JAG1,0.69854397,0.656,CD46,CD46,0.3389592,0.195,Malig_CLDN4high,NK,0.51875156,0.0
SPP1,SPP1,0.47563547,0.397,PTGER4,PTGER4,0.5392629,0.2895,Malig_CLDN4high,NK,0.50744915,0.0
LGALS9,LGALS9,0.24063134,0.3295,HAVCR2,HAVCR2,0.76858455,0.3785,Malig_CLDN4high,NK,0.5046079,0.0
LGALS9,LGALS9,0.23839423,0.302,HAVCR2,HAVCR2,0.76858455,0.3785,Malig_CLDN4low,NK,0.5034894,0.0
FAM3C,FAM3C,0.5931633,0.5845,PDCD1,PDCD1,0.4108375,0.217,Malig_CLDN4low,T,0.5020004,0.0
TNFSF10,TNFSF10,0.82347983,0.6775,RIPK1,RIPK1,0.16795987,0.104,Malig_CLDN4high,NK,0.49571985,0.0
FAM3C,FAM3C,0.5931633,0.5845,PDCD1,PDCD1,0.39330617,0.214,Malig_CLDN4low,NK,0.49323475,0.0
SPP1,SPP1,0.47563547,0.397,PTGER4,PTGER4,0.5016212,0.254,Malig_CLDN4high,T,0.48862833,0.0
SPP1,SPP1,0.47563547,0.397,ITGA4,ITGA4_ITGB1,0.4946129,0.271,Malig_CLDN4high,T,0.48512417,0.0
FAM3C,FAM3C,0.7793404,0.7335,ADGRG5,ADGRG5,0.18897893,0.114,Malig_CLDN4high,NK,0.48415965,0.0
LGALS9,LGALS9,0.24063134,0.3295,CD47,CD47,0.72380227,0.3985,Malig_CLDN4high,NK,0.4822168,0.0
LGALS9,LGALS9,0.23839423,0.302,CD47,CD47,0.72380227,0.3985,Malig_CLDN4low,NK,0.48109823,0.0
SPP1,SPP1,0.47563547,0.397,ITGA4,ITGA4_ITGB1,0.46253,0.2595,Malig_CLDN4high,NK,0.4690827,0.0
CDH1,CDH1,0.62889063,0.612,ITGAE,ITGAE_ITGB7,0.2949211,0.1605,Malig_CLDN4low,T,0.46190587,0.0
SPP1,SPP1,0.37296543,0.2945,PTGER4,PTGER4,0.5392629,0.2895,Malig_CLDN4low,NK,0.45611417,0.0
JAG1,JAG1,0.69854397,0.656,NOTCH1,NOTCH1,0.20792426,0.1275,Malig_CLDN4high,NK,0.4532341,0.0
SPP1,SPP1,0.37296543,0.2945,PTGER4,PTGER4,0.5016212,0.254,Malig_CLDN4low,T,0.4372933,0.0
CDH1,CDH1,0.62889063,0.612,KLRG1,KLRG1,0.23959364,0.129,Malig_CLDN4low,NK,0.43424213,0.0
SPP1,SPP1,0.37296543,0.2945,ITGA4,ITGA4_ITGB1,0.4946129,0.271,Malig_CLDN4low,T,0.43378916,0.0
JAG1,JAG1,0.49323657,0.464,CD46,CD46,0.35125914,0.1915,Malig_CLDN4low,T,0.42224786,0.2
LGALS9,LGALS9,0.24063134,0.3295,CD47,CD47,0.60075736,0.322,Malig_CLDN4high,T,0.42069435,0.0
