ligand,ligand_complex,ligand_means,ligand_props,receptor,receptor_complex,receptor_means,receptor_props,source,target,lr_means,cellphone_pvals
FAM3C,FAM3C,0.34643662,0.203,HLA-C,HLA-C,2.7556868,0.9625,NK,Malig_CLDN4high,1.5510616,1.0
FAM3C,FAM3C,0.34643662,0.203,HLA-C,HLA-C,2.7238336,0.9355,NK,Malig_CLDN4low,1.535135,1.0
CCL4,CCL4,2.38373,0.7755,SLC7A1,SLC7A1,0.23255022,0.3365,NK,Malig_CLDN4high,1.30814,0.0
CCL4,CCL4,2.38373,0.7755,SLC7A1,SLC7A1,0.21893448,0.3155,NK,Malig_CLDN4low,1.3013322,0.0
ITGAL,ITGAL_ITGB2,1.0628252,0.5255,F11R,F11R,1.2868077,0.873,NK,Malig_CLDN4high,1.1748164,0.0
ITGAL,ITGAL_ITGB2,0.9425514,0.475,F11R,F11R,1.2868077,0.873,T,Malig_CLDN4high,1.1146796,0.0
ITGAL,ITGAL_ITGB2,1.0628252,0.5255,F11R,F11R,1.067289,0.735,NK,Malig_CLDN4low,1.065057,0.0
ITGAL,ITGAL_ITGB2,0.9425514,0.475,F11R,F11R,1.067289,0.735,T,Malig_CLDN4low,1.0049202,0.0
LTB,LTB,0.92880446,0.3975,LTBR,LTBR,0.6805848,0.681,T,Malig_CLDN4high,0.80469465,0.0
LTB,LTB,0.92880446,0.3975,LTBR,LTBR,0.65370005,0.6185,T,Malig_CLDN4low,0.79125226,0.0
CCL4,CCL4,1.2983514,0.4415,SLC7A1,SLC7A1,0.23255022,0.3365,T,Malig_CLDN4high,0.76545084,0.0
CCL4,CCL4,1.2983514,0.4415,SLC7A1,SLC7A1,0.21893448,0.3155,T,Malig_CLDN4low,0.7586429,0.0
FAM3C,FAM3C,0.34643662,0.203,LAMP1,LAMP1,1.1670767,0.8355,NK,Malig_CLDN4high,0.75675666,0.0
TIGIT,TIGIT,1.0175886,0.4635,NECTIN2,NECTIN2,0.43460938,0.5085,NK,Malig_CLDN4high,0.726099,0.0
TIGIT,TIGIT,0.9544309,0.4295,NECTIN2,NECTIN2,0.43460938,0.5085,T,Malig_CLDN4high,0.6945201,0.0
TIGIT,TIGIT,1.0175886,0.4635,NECTIN2,NECTIN2,0.34162998,0.4155,NK,Malig_CLDN4low,0.6796093,0.0
FAM3C,FAM3C,0.34643662,0.203,LAMP1,LAMP1,0.98463655,0.7215,NK,Malig_CLDN4low,0.6655366,0.68
SPN,SPN,1.1345737,0.5525,ICAM1,ICAM1,0.17795399,0.1915,NK,Malig_CLDN4low,0.6562638,0.0
TIGIT,TIGIT,0.9544309,0.4295,NECTIN2,NECTIN2,0.34162998,0.4155,T,Malig_CLDN4low,0.6480304,0.0
SPN,SPN,1.1345737,0.5525,ICAM1,ICAM1,0.12245075,0.1405,NK,Malig_CLDN4high,0.6285122,0.0
ITGAL,ITGAL_ITGB2,1.0628252,0.5255,ICAM1,ICAM1,0.17795399,0.1915,NK,Malig_CLDN4low,0.6203896,0.0
LGALS9,LGALS9,0.22386158,0.14,CD44,CD44,1.016437,0.761,NK,Malig_CLDN4high,0.6201493,1.0
COPA,COPA,0.4409759,0.2565,CD74,CD74,0.7829934,0.5025,NK,Malig_CLDN4low,0.6119846,1.0
LGALS9,LGALS9,0.20575367,0.121,CD44,CD44,1.016437,0.761,T,Malig_CLDN4high,0.61109537,1.0
ARF1,ARF1,1.15776,0.59,PLD2,PLD2,0.060469564,0.115,NK,Malig_CLDN4low,0.60911477,1.0
ARF1,ARF1,1.15776,0.59,PLD2,PLD2,0.05784133,0.106,NK,Malig_CLDN4high,0.60780066,1.0
COPA,COPA,0.4100426,0.232,CD74,CD74,0.7829934,0.5025,T,Malig_CLDN4low,0.596518,1.0
ITGAL,ITGAL_ITGB2,1.0628252,0.5255,ICAM1,ICAM1,0.12245075,0.1405,NK,Malig_CLDN4high,0.59263796,0.0
SEMA4D,SEMA4D,0.6804552,0.371,PLXNB2,PLXNB2,0.46472225,0.5685,NK,Malig_CLDN4high,0.57258874,0.0
LGALS9,LGALS9,0.22386158,0.14,CD44,CD44,0.9101318,0.6145,NK,Malig_CLDN4low,0.5669967,1.0
ITGAL,ITGAL_ITGB2,0.9425514,0.475,ICAM1,ICAM1,0.17795399,0.1915,T,Malig_CLDN4low,0.56025267,0.0
LGALS9,LGALS9,0.20575367,0.121,CD44,CD44,0.9101318,0.6145,T,Malig_CLDN4low,0.55794275,1.0
SIRPG,SIRPG,0.61797214,0.3205,CD47,CD47,0.44945714,0.5085,T,Malig_CLDN4high,0.53371465,0.0
ITGAL,ITGAL_ITGB2,0.9425514,0.475,ICAM1,ICAM1,0.12245075,0.1405,T,Malig_CLDN4high,0.53250104,0.0
SIRPG,SIRPG,0.61797214,0.3205,CD47,CD47,0.44067812,0.485,T,Malig_CLDN4low,0.5293251,0.0
SEMA4D,SEMA4D,0.59297675,0.32,PLXNB2,PLXNB2,0.46472225,0.5685,T,Malig_CLDN4high,0.5288495,0.0
ARF1,ARF1,0.9962219,0.504,PLD2,PLD2,0.060469564,0.115,T,Malig_CLDN4low,0.5283457,1.0
ARF1,ARF1,0.9962219,0.504,PLD2,PLD2,0.05784133,0.106,T,Malig_CLDN4high,0.5270316,1.0
FASLG,FASLG,0.6429327,0.3425,TNFRSF1A,TNFRSF1A,0.3978051,0.5,NK,Malig_CLDN4high,0.52036893,0.0
COPA,COPA,0.4409759,0.2565,CD74,CD74,0.58687,0.4195,NK,Malig_CLDN4high,0.5139229,1.0
FASLG,FASLG,0.6429327,0.3425,TNFRSF1A,TNFRSF1A,0.38167858,0.472,NK,Malig_CLDN4low,0.5123056,0.0
SEMA4D,SEMA4D,0.6804552,0.371,PLXNB2,PLXNB2,0.3330965,0.4495,NK,Malig_CLDN4low,0.50677586,0.0
COPA,COPA,0.4100426,0.232,CD74,CD74,0.58687,0.4195,T,Malig_CLDN4high,0.4984563,1.0
TGFB1,TGFB1,0.3409378,0.198,EGFR,EGFR,0.63210887,0.5695,NK,Malig_CLDN4low,0.48652333,0.0
SIRPG,SIRPG,0.49393138,0.256,CD47,CD47,0.44945714,0.5085,NK,Malig_CLDN4high,0.47169426,0.0
SPN,SPN,0.7568385,0.386,ICAM1,ICAM1,0.17795399,0.1915,T,Malig_CLDN4low,0.46739626,0.0
SIRPG,SIRPG,0.49393138,0.256,CD47,CD47,0.44067812,0.485,NK,Malig_CLDN4low,0.46730477,0.0
SEMA4D,SEMA4D,0.59297675,0.32,PLXNB2,PLXNB2,0.3330965,0.4495,T,Malig_CLDN4low,0.46303663,0.0
TNFSF14,TNFSF14,0.2450869,0.1315,LTBR,LTBR,0.6805848,0.681,NK,Malig_CLDN4high,0.46283585,0.0
TNFSF14,TNFSF14,0.2450869,0.1315,LTBR,LTBR,0.65370005,0.6185,NK,Malig_CLDN4low,0.44939348,0.0
TNFSF14,TNFSF14,0.21806207,0.115,LTBR,LTBR,0.6805848,0.681,T,Malig_CLDN4high,0.44932342,0.0
FASLG,FASLG,0.6429327,0.3425,TNFRSF10B,TNFRSF10B,0.23646104,0.3075,NK,Malig_CLDN4low,0.43969688,0.0
SPN,SPN,0.7568385,0.386,ICAM1,ICAM1,0.12245075,0.1405,T,Malig_CLDN4high,0.43964463,0.0
TGFB1,TGFB1,0.3409378,0.198,EGFR,EGFR,0.5321454,0.5695,NK,Malig_CLDN4high,0.4365416,0.0
TNFSF14,TNFSF14,0.21806207,0.115,LTBR,LTBR,0.65370005,0.6185,T,Malig_CLDN4low,0.43588108,0.0
TGFB1,TGFB1,0.23301385,0.1355,EGFR,EGFR,0.63210887,0.5695,T,Malig_CLDN4low,0.43256137,0.0
LGALS9,LGALS9,0.22386158,0.14,SLC1A5,SLC1A5,0.6169378,0.6165,NK,Malig_CLDN4high,0.4203997,0.0
LGALS9,LGALS9,0.20575367,0.121,SLC1A5,SLC1A5,0.6169378,0.6165,T,Malig_CLDN4high,0.41134575,0.0
GRN,GRN,0.18096815,0.1105,EGFR,EGFR,0.63210887,0.5695,NK,Malig_CLDN4low,0.40653852,1.0
GRN,GRN,0.17693321,0.104,EGFR,EGFR,0.63210887,0.5695,T,Malig_CLDN4low,0.40452105,1.0
FASLG,FASLG,0.6429327,0.3425,TNFRSF10B,TNFRSF10B,0.13646987,0.2005,NK,Malig_CLDN4high,0.3897013,0.0
TGFB1,TGFB1,0.23301385,0.1355,EGFR,EGFR,0.5321454,0.5695,T,Malig_CLDN4high,0.38257962,0.0
FASLG,FASLG,0.6429327,0.3425,FAS,FAS,0.12207467,0.2105,NK,Malig_CLDN4low,0.3825037,0.0
FASLG,FASLG,0.6429327,0.3425,FAS,FAS,0.10298517,0.166,NK,Malig_CLDN4high,0.37295896,0.0
LGALS9,LGALS9,0.22386158,0.14,SLC1A5,SLC1A5,0.5063919,0.511,NK,Malig_CLDN4low,0.36512673,0.0
CSF1,CSF1,0.48323745,0.235,SLC7A1,SLC7A1,0.23255022,0.3365,NK,Malig_CLDN4high,0.35789382,0.0
GRN,GRN,0.18096815,0.1105,EGFR,EGFR,0.5321454,0.5695,NK,Malig_CLDN4high,0.35655677,1.0
LGALS9,LGALS9,0.20575367,0.121,SLC1A5,SLC1A5,0.5063919,0.511,T,Malig_CLDN4low,0.35607278,0.0
