contrast	pathway	n_pairs	n_pairs_delta_neg	median_of_pair_deltas	n_pairs_fdr05_neg
cldn4_outgoing	MHC_I	7	0	0.10898083448410034	0
cldn4_outgoing	T_recruit	5	2	0.0010740235447883606	0
cldn4_incoming	IFN	3	0	0.018021956086158752	0
