direction	ligand	receptor	pathway	n_patients	median_delta	mean_delta	mean_score_high	mean_score_low	frac_pass_high	frac_pass_low	pval	padj
malignant_CLDN4high_to_TNK	HLA-B	CD8A	MHC_I	8	0.1010274887084961	0.10516124777495861	2.0699055064469576	1.964744258671999	1.0	1.0	0.015625	0.1450892857142857
malignant_CLDN4high_to_TNK	HLA-B	CD8B	MHC_I	7	0.1015479564666748	0.11417029585157122	1.839180244931153	1.7250099490795816	1.0	1.0	0.03125	0.16927083333333331
malignant_CLDN4high_to_TNK	HLA-A	CD8A	MHC_I	8	0.10542106628417969	0.0833929255604744	2.2859744243323803	2.202581498771906	1.0	1.0	0.109375	0.2633101851851852
malignant_CLDN4high_to_TNK	HLA-E	KLRD1	MHC_I	8	0.10898083448410034	0.10603214800357819	1.2290688510984182	1.12303670309484	1.0	1.0	0.0078125	0.1450892857142857
malignant_CLDN4high_to_TNK	HLA-C	CD8A	MHC_I	8	0.11217164993286133	0.1272243708372116	2.2036918960511684	2.076467525213957	1.0	1.0	0.015625	0.1450892857142857
malignant_CLDN4high_to_TNK	HLA-C	CD8B	MHC_I	7	0.12865233421325684	0.13639085633414133	1.9558472771729742	1.8194564208388329	1.0	1.0	0.03125	0.16927083333333331
malignant_CLDN4high_to_TNK	HLA-A	CD8B	MHC_I	7	0.146470308303833	0.10861124311174665	2.0283597335219383	1.9197484904101916	1.0	1.0	0.046875	0.203125
malignant_CLDN4high_to_TNK	CXCL10	CXCR3	T_recruit	3	-0.09171095490455627	-0.050380958865086235	0.5888255735238394	0.6392065323889256	1.0	0.6666666666666666	0.5	0.6770833333333333
malignant_CLDN4high_to_TNK	CXCL9	CXCR3	T_recruit	3	-0.004417493939399719	0.025866717100143433	0.4581517328818639	0.43228501578172046	1.0	1.0	1.0	1.0
malignant_CLDN4high_to_TNK	CCL5	CCR5	T_recruit	4	0.0010740235447883606	0.0038151592016220093	0.3436696529388428	0.33985449373722076	1.0	1.0	0.875	0.980603448275862
malignant_CLDN4high_to_TNK	CCL4	CCR5	T_recruit	4	0.00588590931147337	-0.00043271342292428017	0.3291664896532893	0.3295992030762136	1.0	0.75	0.875	0.980603448275862
malignant_CLDN4high_to_TNK	CXCL16	CXCR6	T_recruit	7	0.04984202980995178	0.09576111499752317	0.6267611043793815	0.5309999893818583	1.0	1.0	0.015625	0.1450892857142857
