direction	ligand	receptor	pathway	n_patients	median_delta	mean_delta	mean_score_high	mean_score_low	frac_pass_high	frac_pass_low	pval	padj
TNK_to_malignant_CLDN4	IFNG	IFNGR2	IFN	7	0.010988995432853699	0.010885423847607203	0.5817094317504338	0.5708240079028266	1.0	1.0	0.578125	0.8501838235294117
TNK_to_malignant_CLDN4	IFNG	IFNGR1	IFN	7	0.018021956086158752	0.005480733300958361	0.528671852179936	0.5231911188789776	1.0	1.0	0.296875	0.5580357142857142
TNK_to_malignant_CLDN4	IFNG	IFNGR1+IFNGR2	IFN	7	0.018021956086158752	0.017091556319168637	0.5147164740732738	0.49762491775410517	1.0	1.0	0.21875	0.5580357142857142
TNK_to_malignant_CLDN4	CXCL14	CXCR4	T_recruit_partial	6	0.0033573079854249954	0.004582494497299194	0.28500898617009324	0.28042649167279404	1.0	0.8333333333333334	1.0	1.0
TNK_to_malignant_CLDN4	CD44	TYROBP	other	5	-0.03419677913188934	-0.03847739771008492	0.7079082705080509	0.7463856682181358	1.0	1.0	0.3125	0.5580357142857142
TNK_to_malignant_CLDN4	AREG	EGFR	other	5	-0.014726459980010986	-0.0005315743386745453	0.4374566376209259	0.43798821195960047	1.0	1.0	1.0	1.0
TNK_to_malignant_CLDN4	CD47	SIRPA	other	5	-0.0069957636296749115	-0.010313272103667259	0.3855227742344141	0.39583604633808134	1.0	1.0	0.1875	0.5580357142857142
TNK_to_malignant_CLDN4	KLRB1	CLEC2D	other	5	-0.00463225319981575	0.0005362655967473984	0.2754660539329052	0.2749297883361578	0.8	1.0	1.0	1.0
TNK_to_malignant_CLDN4	ENTPD1	ADORA2B	other	3	-0.0036528855562210083	-0.0037169121205806732	0.2401467077434063	0.24386361986398697	1.0	1.0	0.25	0.5580357142857142
TNK_to_malignant_CLDN4	SEMA4D	PLXNB1	other	5	-0.0028893686830997467	-0.0033447545021772383	0.3657989248633385	0.36914367936551573	1.0	0.8	0.4375	0.68359375
TNK_to_malignant_CLDN4	TNFSF10	TNFRSF10A	other	5	-0.0005782097578048706	0.015656131133437157	0.2829582139849663	0.2673020828515291	1.0	1.0	0.8125	1.0
TNK_to_malignant_CLDN4	FASLG	FAS	other	5	0.0012864172458648682	-0.006865097582340241	0.24773480221629143	0.2545998997986317	1.0	1.0	1.0	1.0
TNK_to_malignant_CLDN4	PTGES3	PTGER4	other	3	0.0013545230031013489	0.0008801395694414774	0.46372267603874207	0.46284253646930057	1.0	1.0	0.75	0.9868421052631579
TNK_to_malignant_CLDN4	LGALS3	MERTK	other	4	0.005749348551034927	0.001695200800895691	0.34682300221174955	0.34512780141085386	1.0	0.75	0.875	1.0
TNK_to_malignant_CLDN4	TNFSF10	TNFRSF10B	other	6	0.00797291100025177	0.011952235052982966	0.2879863188912471	0.27603408383826417	1.0	0.8333333333333334	0.3125	0.5580357142857142
TNK_to_malignant_CLDN4	TNFSF14	LTBR	other	5	0.010433167219161987	0.023352637887001038	0.5272120893001556	0.5038594514131546	1.0	1.0	0.0625	0.2604166666666667
TNK_to_malignant_CLDN4	LTB	LTBR	other	8	0.011288031935691833	0.019867395982146263	0.7277866844087839	0.7079192884266376	1.0	1.0	0.0078125	0.09765625
TNK_to_malignant_CLDN4	PPIA	BSG	other	8	0.018993869423866272	0.02464885264635086	1.4859118945896626	1.4612630419433117	1.0	1.0	0.3828125	0.6380208333333334
TNK_to_malignant_CLDN4	TGFB1	ITGAV+ITGB6	other	4	0.025795817375183105	0.03948790207505226	0.28474218491464853	0.24525428283959627	1.0	1.0	0.25	0.5580357142857142
TNK_to_malignant_CLDN4	LGALS9	P4HB	other	5	0.031140029430389404	0.03155187368392944	0.8711243972182274	0.8395725235342979	1.0	1.0	0.625	0.8680555555555556
TNK_to_malignant_CLDN4	CD96	NECTIN1	other	5	0.03502407670021057	0.061448419094085695	0.9090390771627426	0.847590658068657	1.0	1.0	0.0625	0.2604166666666667
TNK_to_malignant_CLDN4	TNFSF12	TNFRSF12A	other	7	0.03603254817426205	0.08212078123220376	0.38442937071834293	0.30230858948613915	1.0	1.0	0.109375	0.39062499999999994
TNK_to_malignant_CLDN4	TNF	TNFRSF1A	other	5	0.05712050199508667	0.054818162322044374	0.389109218120575	0.3342910557985306	1.0	0.8	0.0625	0.2604166666666667
TNK_to_malignant_CLDN4	SEMA4D	PLXNB2	other	8	0.06870937719941139	0.06910413829609752	0.5363708157092333	0.46726667741313577	1.0	0.875	0.0078125	0.09765625
TNK_to_malignant_CLDN4	CD226	NECTIN2	other	7	0.10378691554069519	0.09449783606188637	0.4293421113065311	0.3348442752446447	1.0	1.0	0.015625	0.13020833333333334
