family	n_q1	n_q4	logFC	p	n_genes
IFN	18	16	-0.608721177015161	0.0516083260769159	222
MHC-I/APM	18	16	-0.80311328866899	0.050621224918061	21
TJ	18	16	0.0113153083251627	0.964990203833241	211
