subset	endpoint	n_mice_spearman	spearman_r	spearman_p	split_n_mice	split_n_high	split_n_low	split_median_split_value	split_mean_high	split_mean_low	split_delta_high_minus_low	split_mannwhitney_u	split_mannwhitney_p	split_welch_t	split_welch_p	split_note
all_LLC_mice	tnk_score	16	0.39216325274905944	0.13300584324798684	16	7	9	0.0	0.10132105059563404	-0.07880526157438199	0.180126312170016	42.0	0.29912587412587416	0.4062388262471745	0.6907561320748888	zero-inflated: Cldn4 detected vs undetected
all_LLC_mice	ifn_mhc_score	16	0.3435479734826471	0.1926409393577925	16	7	9	0.0	0.150473215877636	-0.11703472346038346	0.2675079393380195	42.0	0.29912587412587416	0.587596925943894	0.5665397490593143	zero-inflated: Cldn4 detected vs undetected
exercise=access to running wheel	tnk_score	8	0.2790404591875126	0.5033235938564057	8	4	4	0.0	0.5291567883656852	0.45959550648744063	0.06956128187824462	10.0	0.6857142857142857	0.09174682683562914	0.9309996909018672	zero-inflated: Cldn4 detected vs undetected
exercise=access to running wheel	ifn_mhc_score	8	0.32977508813069667	0.42503859105008085	8	4	4	0.0	0.4219367883849342	0.351332483596429	0.07060430478850521	10.0	0.6857142857142857	0.08631028405028736	0.9350362003005305	zero-inflated: Cldn4 detected vs undetected
exercise=no access to running wheel	tnk_score	8	0.1091089451179962	0.7970385741881917	8	3	5	0.0	-0.46912659976443427	-0.50952587602384	0.04039927625940576	9.0	0.7857142857142857	0.1430947481571179	0.8909147204064563	zero-inflated: Cldn4 detected vs undetected
exercise=no access to running wheel	ifn_mhc_score	8	0.19094065395649334	0.6505928212526486	8	3	5	0.0	-0.21147821413209492	-0.4917284891058335	0.28025027497373856	10.0	0.5714285714285714	0.625704421849756	0.5575933808684788	zero-inflated: Cldn4 detected vs undetected
