cluster	n_barcodes	note
Non-exhausted	47498	T-cell metadata only; not analysis n
NA	32487	T-cell metadata only; not analysis n
CD4_C8-Treg	17021	T-cell metadata only; not analysis n
CD4_C1-Naive	12638	T-cell metadata only; not analysis n
Tex	9997	T-cell metadata only; not analysis n
CD4_C2-Tcm	6907	T-cell metadata only; not analysis n
CD4_C4-CD69	5763	T-cell metadata only; not analysis n
CD4_C7-Th1-like	4060	T-cell metadata only; not analysis n
CD4_C5-ISG15	3929	T-cell metadata only; not analysis n
CD4_C6-RPL	3761	T-cell metadata only; not analysis n
CD4_C3-Tem	2785	T-cell metadata only; not analysis n
Prolif.	2161	T-cell metadata only; not analysis n
CD4_C9-Prolif.	1321	T-cell metadata only; not analysis n
XCL1	521	T-cell metadata only; not analysis n
