gene	sample	fpkm	treatment	log2fpkm1
TACSTD2	FPKM.CTL1	35.198807	DMSO	5.177870246241558
TACSTD2	FPKM.CTL2	38.390095	DMSO	5.299760991297648
TACSTD2	FPKM.CTL3	38.728447	DMSO	5.312100493921504
TACSTD2	FPKM.IBI351_1	353.427917	IBI351	8.469348433992794
TACSTD2	FPKM.IBI351_2	356.194916	IBI351	8.480567736320689
TACSTD2	FPKM.IBI351_3	343.476807	IBI351	8.428263041927883
CLDN4	FPKM.CTL1	25.6465309810598	DMSO	4.735875820660473
CLDN4	FPKM.CTL2	22.4217903009151	DMSO	4.549779450809151
CLDN4	FPKM.CTL3	24.572474703554	DMSO	4.676519874934637
CLDN4	FPKM.IBI351_1	12.476595606512	IBI351	3.7523841906719535
CLDN4	FPKM.IBI351_2	13.1468108931688	IBI351	3.822404958745844
CLDN4	FPKM.IBI351_3	12.8272092943179	IBI351	3.7894381057855573
