CLDN4	TACSTD2	sample	line	treatment
0.372507775	0.0	1_H82_parental	H82	parental
0.207038192	0.0	2_H82_parental	H82	parental
0.204840567	0.0	3_H82_parental	H82	parental
0.586759315	0.459827075	4_H82_NOTCH1_no_dox_R1_001.fastq.gz	H82	NOTCH1_no_dox
0.507953215	0.250230205	5_H82_NOTCH1_no_dox	H82	NOTCH1_no_dox
0.237766039	0.0	6_H82_NOTCH1_no_dox	H82	NOTCH1_no_dox
1.207508932	0.218133204	7_H82_NOTCH1_dox	H82	NOTCH1_dox
0.778766756	1.381758496	8_H82_NOTCH1_dox	H82	NOTCH1_dox
1.247400341	1.159210079	9_H82_NOTCH1_dox	H82	NOTCH1_dox
7.088910498	5.446085254	10_CORL88_DMSO	CORL88	DMSO
6.781172878	4.764156913	11_CORL88_DMSO	CORL88	DMSO
6.910311213	4.295185669	12_CORL88_DMSO	CORL88	DMSO
7.422005032	10.51528031	13_CORL88_TAS1440	CORL88	TAS1440
7.66150404	9.654484888	14_CORL88_TAS1440	CORL88	TAS1440
7.862812083	9.3054105	15_CORL88_TAS1440	CORL88	TAS1440
7.267736936	6.987695243	16_CORL88_TAS1440_GSI	CORL88	TAS1440_GSI
7.073775892	6.743047131	17_CORL88_TAS1440_GSI	CORL88	TAS1440_GSI
7.230867282	6.241866576	18_CORL88_TAS1440_GSI	CORL88	TAS1440_GSI
4.230039015	0.0	19_H524_parental	H524	parental
2.000841572	0.0	20_H524_parental	H524	parental
3.745058749	0.0	21_H524_parental	H524	parental
4.431447657	0.283868831	22_H524_NOTCH1_no_dox	H524	NOTCH1_no_dox
5.858456136	0.481201737	23_H524_NOTCH1_no_dox	H524	NOTCH1_no_dox
4.10378619	0.0	24_H524_NOTCH1_no_dox	H524	NOTCH1_no_dox
1.850002904	1.709006055	25_H524_NOTCH1_dox	H524	NOTCH1_dox
1.240468195	0.222546618	26_H524_NOTCH1_dox	H524	NOTCH1_dox
1.236796945	0.347812957	27_H524_NOTCH1_dox	H524	NOTCH1_dox
0.384392695	0.64202471	28_H82_NOTCH1_REST_KO_no_dox	H82	KO_related
0.484957143	0.880092701	29_H82_NOTCH1_REST_KO_no_dox	H82	KO_related
0.437942415	0.261782417	30_H82_NOTCH1_REST_KO_no_dox	H82	KO_related
0.697554527	0.877415496	31_H82_NOTCH1_REST_KO_dox	H82	KO_related
0.49933393	1.132980937	32_H82_NOTCH1_REST_KO_dox	H82	KO_related
0.386510029	1.024368187	33_H82_NOTCH1_REST_KO_dox	H82	KO_related
2.568435277	0.0	34_H524_REST_no_dox	H524	KO_related
2.884469282	0.0	35_H524_REST_no_dox	H524	KO_related
2.965146769	0.0	36_H524_REST_no_dox	H524	KO_related
3.750283329	0.0	37_H524_REST_dox	H524	KO_related
3.266286978	0.0	38_H524_REST_dox	H524	KO_related
3.570161752	0.0	39_H524_REST_dox	H524	KO_related
7.298975919	2.487417484	40_CORL88_STING_KO_DMSO	CORL88	KO_related
6.979840837	3.667638514	41_CORL88_STING_KO_DMSO	CORL88	KO_related
7.142160294	2.306640951	42_CORL88_STING_KO_DMSO	CORL88	KO_related
7.535802412	7.352018636	43_CORL88_STING_KO_TAS1440	CORL88	KO_related
7.460469001	8.925870017	44_CORL88_STING_KO_TAS1440	CORL88	KO_related
7.633527032	8.32852238	45_CORL88_STING_KO_TAS1440	CORL88	KO_related
4.546126145	0.0	46_H69_parental	H69	parental
4.495985739	0.0	47_H69_parental	H69	parental
4.343910061	0.275775566	48_H69_parental	H69	parental
2.637418445	0.0	49_H69_NOTCH1_no_dox	H69	NOTCH1_no_dox
3.442498699	0.0	50_H69_NOTCH1_no_dox	H69	NOTCH1_no_dox
3.292273139	0.321757554	51_H69_NOTCH1_no_dox	H69	NOTCH1_no_dox
0.115709996	1.425692751	52_H69_NOTCH1_dox	H69	NOTCH1_dox
0.31561983	2.354869454	53_H69_NOTCH1_dox	H69	NOTCH1_dox
0.112979621	2.190394186	54_H69_NOTCH1_dox	H69	NOTCH1_dox
1.367359257	0.655268333	55_H82_NOTCH1_STING_KO_no_dox	H82	KO_related
0.828990034	2.569572151	56_H82_NOTCH1_STING_KO_no_dox	H82	KO_related
1.403802927	0.88933081	57_H82_NOTCH1_STING_KO_no_dox	H82	KO_related
0.89997736	0.325928366	58_H82_NOTCH1_STING_KO_dox	H82	KO_related
0.33762342	0.816142279	59_H82_NOTCH1_STING_KO_dox	H82	KO_related
1.062686131	0.814118996	60_H82_NOTCH1_STING_KO_dox	H82	KO_related
