accession,n_samples,n_matrix_files,has_expression_table,n_table_rows,n_char_keys,char_keys,outcome_keys,has_outcome_annotation,error
GSE150255,8,1,True,1,3,cell line;ifn-g treatment time;tissue,ifn-g treatment time,True,
GSE160903,268,4,True,1,10,cell type;co-culture conditions;mouse age;organ;patient id;replicate id;selection marker;strain;time point;treatment(1),treatment(1),True,
GSE161537,82,1,True,1,13,age;best response on immunotherapy (recist);histology;hot phenotype;hot score;immunotherapy line;os (event);os (month);patient id;performance status;pfs (month);sex;stage,best response on immunotherapy (recist);immunotherapy line;os (event);os (month);performance status;pfs (month),True,
GSE162520,92,1,True,1,11,age;histology;hot phenotype;hot score;os (event);os (month);patient diagnosis;pfs (event);pfs (month);sex;tissue,os (event);os (month);pfs (event);pfs (month),True,
GSE164146,12,1,True,1,1,cell type,,False,
GSE178521,6,1,True,1,3,cell line;genotype;treatment,treatment,True,
GSE185204,40,1,True,1,3,cell type;patient;region,,False,
GSE185206,108,2,True,1,6,cell type;involved by tumor?;patient;patient number;region;region characterization,,False,
GSE186446,32,1,True,1,3,involved by tumor?;patient number;region characterization,,False,
GSE189804,9,1,True,1,4,cell line;cell type;genotype;treatment,treatment,True,
GSE190731,23,1,True,54676,3,mouse strain;tissue;treatment,treatment,True,
GSE192591,6,1,True,1,4,cell type;cell type (sorted);tissue;treatment,treatment,True,
GSE192790,6,1,True,1,2,cell type;treatment,treatment,True,
GSE193049,7,1,True,1,1,cell line,,False,
GSE193707,4,1,True,21449,5,metastatic site;response to neoadjuvant chemotherapy;tissue;tumor stage;tumor type,response to neoadjuvant chemotherapy,True,
GSE193719,10,1,True,21449,2,cell line id;tissue,,False,
GSE194350,8,1,True,1,3,cell type;growth;strain,,False,
GSE195770,8,1,True,62977,3,htll-280 status;pd-l1 status;source,htll-280 status;pd-l1 status,True,
GSE197236,6,1,True,60496,1,cell line,,False,
GSE198099,6,1,True,1,2,patient number;tumor stage,,False,
GSE207422,39,1,True,1,9,age;cell type;clinical_stage;pathologic_response;pathologic_sub;patient;sampling_time;sex;treatment group,pathologic_response;treatment group,True,
GSE212622,12,1,True,786,4,infection status;infection time;strain;tissue,infection status,True,
GSE213590,6,1,True,1,3,cell line;cell type;treatment,treatment,True,
GSE213902,6,1,True,1,6,antibodies/tags;cell type;cell type (sorted);disease state;library type;treatment,treatment,True,
GSE214992,50,1,True,1,5,cell line;cell type;time;tissue;treatment,treatment,True,
GSE216297,286,1,True,1,3,diagnosis;tissue;treatment,treatment,True,
GSE217451,9,1,True,1,4,cell line;cell type;time;treatment,treatment,True,
GSE218402,8,1,True,1,4,cell line;cell type;time;treatment,treatment,True,
GSE223779,6,1,True,1,7,cell line;cell type;disease;genotype;sex;stage;treatment,treatment,True,
GSE224099,12,1,True,1,5,cell line;cell type;patient id;time;treatment,treatment,True,
GSE224216,9,1,True,1,3,cell line;cell type;treatment,treatment,True,
GSE224246,8,1,True,1,3,cell line;cell type;treatment,treatment,True,
GSE228419,14,1,True,1,3,cell type;tissue;tumor stage,,False,
GSE229353,7,1,True,1,4,cell type;pathology;tissue;treatment,treatment,True,
GSE235048,15,1,True,1,2,cell type;treatment,treatment,True,
GSE235500,34,1,True,1,3,cell line;cell type;tissue,,False,
GSE235603,86,2,True,1,3,cell line;cell type;tissue,,False,
GSE238006,8,2,True,1,4,cell line;cell type;tissue;treatment,treatment,True,
GSE243238,20,1,True,1,18,age dx;biopsy site;braf v600e_mut;cbl id;cd8 til_ihc_pct;ckit mutation;clinical benefit_(cb);gender;group;ici treatment;nf1 mutation;nras mut;patient id;pre post_ici;prim met;stage dx;tissue;tmb,clinical benefit_(cb);ici treatment,True,
GSE248378,29,1,True,1,3,cell type;tissue;treatment,treatment,True,
GSE248830,44,1,True,755,5,age at diagnosis;histology;sex;smoking status;treatment after surgery of bm,smoking status;treatment after surgery of bm,True,
GSE250254,8,1,True,1,5,cell line;cell type;genotype;tissue;treatment,treatment,True,
