accession,title,n_samples,pdat,gdstype,relevant,suppl_files,suppl_total_mb,n_meta,meta_cols,series_summary,series_overall_design,gene_info,meta_error
GSE185204,Systematic lineage tracing reveals clonal progenitors and long-term persistence of tumor-specific T cells during immune checkpoint blockade [scRNA-seq],40,2023/02/14,Expression profiling by high throughput sequencing; Other,True,GSE185204_RAW.tar;GSE185204_multimer_MSK1263_A1-A4_RNA_A1_barcodes.tsv.gz;GSE185204_multimer_MSK1263_A1-A4_RNA_A1_features.tsv.gz;GSE185204_multimer_MSK1263_A1-A4_RNA_A1_matrix.mtx.gz;GSE185204_multimer_MSK1263_A1-A4_RNA_A2_barcodes.tsv.gz;GSE185204_multimer_MSK1263_A1-A4_RNA_A2_features.tsv.gz;GSE185204_multimer_MSK1263_A1-A4_RNA_A2_matrix.mtx.gz;GSE185204_multimer_MSK1263_A1-A4_RNA_A3_barcodes.tsv.gz;GSE185204_multimer_MSK1263_A1-A4_RNA_A3_features.tsv.gz;GSE185204_multimer_MSK1263_A1-A4_RNA_A3_matrix.mtx.gz;GSE185204_multimer_MSK1263_A1-A4_RNA_A4_barcodes.tsv.gz;GSE185204_multimer_MSK1263_A1-A4_RNA_A4_features.tsv.gz;GSE185204_multimer_MSK1263_A1-A4_RNA_A4_matrix.mtx.gz;GSE185204_multimer_MSK1263_LN7-9-10-12_RNA_LN10_barcodes.tsv.gz;GSE185204_multimer_MSK1263_LN7-9-10-12_RNA_LN10_features.tsv.gz;GSE185204_multimer_MSK1263_LN7-9-10-12_RNA_LN10_matrix.mtx.gz;GSE185204_multimer_MSK1263_LN7-9-10-12_RNA_LN12_barcodes.tsv.gz;GSE185204_multimer_MSK1263_LN7-9-10-12_RNA_LN12_features.tsv.gz;GSE185204_multimer_MSK1263_LN7-9-10-12_RNA_LN12_matrix.mtx.gz;GSE185204_multimer_MSK1263_LN7-9-10-12_RNA_LN7_barcodes.tsv.gz;GSE185204_multimer_MSK1263_LN7-9-10-12_RNA_LN7_features.tsv.gz;GSE185204_multimer_MSK1263_LN7-9-10-12_RNA_LN7_matrix.mtx.gz;GSE185204_multimer_MSK1263_LN7-9-10-12_RNA_LN9_barcodes.tsv.gz;GSE185204_multimer_MSK1263_LN7-9-10-12_RNA_LN9_features.tsv.gz;GSE185204_multimer_MSK1263_LN7-9-10-12_RNA_LN9_matrix.mtx.gz;GSE185204_multimer_MSK1263_R1-R6_RNA_R1_barcodes.tsv.gz;GSE185204_multimer_MSK1263_R1-R6_RNA_R1_features.tsv.gz;GSE185204_multimer_MSK1263_R1-R6_RNA_R1_matrix.mtx.gz;GSE185204_multimer_MSK1263_R1-R6_RNA_R2_barcodes.tsv.gz;GSE185204_multimer_MSK1263_R1-R6_RNA_R2_features.tsv.gz;GSE185204_multimer_MSK1263_R1-R6_RNA_R2_matrix.mtx.gz;GSE185204_multimer_MSK1263_R1-R6_RNA_R3_barcodes.tsv.gz;GSE185204_multimer_MSK1263_R1-R6_RNA_R3_features.tsv.gz;GSE185204_multimer_MSK1263_R1-R6_RNA_R3_matrix.mtx.gz;GSE185204_multimer_MSK1263_R1-R6_RNA_R4_barcodes.tsv.gz;GSE185204_multimer_MSK1263_R1-R6_RNA_R4_features.tsv.gz;GSE185204_multimer_MSK1263_R1-R6_RNA_R4_matrix.mtx.gz;GSE185204_multimer_MSK1263_R1-R6_RNA_R5_barcodes.tsv.gz;GSE185204_multimer_MSK1263_R1-R6_RNA_R5_features.tsv.gz;GSE185204_multimer_MSK1263_R1-R6_RNA_R5_matrix.mtx.gz;GSE185204_multimer_MSK1263_R1-R6_RNA_R6_barcodes.tsv.gz;GSE185204_multimer_MSK1263_R1-R6_RNA_R6_features.tsv.gz;GSE185204_multimer_MSK1263_R1-R6_RNA_R6_matrix.mtx.gz;GSE185204_multimer_MSK1263_R7-R8_RNA_R7_barcodes.tsv.gz;GSE185204_multimer_MSK1263_R7-R8_RNA_R7_features.tsv.gz;GSE185204_multimer_MSK1263_R7-R8_RNA_R7_matrix.mtx.gz;GSE185204_multimer_MSK1263_R7-R8_RNA_R8_barcodes.tsv.gz;GSE185204_multimer_MSK1263_R7-R8_RNA_R8_features.tsv.gz;GSE185204_multimer_MSK1263_R7-R8_RNA_R8_matrix.mtx.gz;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,1122.9,40.0,Sample_title;Sample_source_name_ch1;patient;region;cell type,"Paired single-cell RNA and T cell receptor sequencing (scRNA/TCR-seq) has allowed for enhanced resolution of clonal T cell dynamics in cancer. Here, we report scRNA/TCR-seq analysis of 187,650 T cells from 31 tissue regions, including tumor, adjacent normal tissues, and lymph nodes (LN), from 3 patients with lung cancer after immune checkpoint blockade (ICB). Regions with viable cancer cells were ","CD3+ T cells were sorted from tumor, adjacent normal, and lymph node regions of patients with lung cancer treated with anti-PD-1 therapy, and subjected to paired single-cell RNA- and TCR-sequencing on the 10x Genomics platform.",{},
GSE186446,Systematic lineage tracing reveals clonal progenitors and long-term persistence of1 tumor-specific T cells during immune checkpoint blockade,32,2023/02/14,Expression profiling by high throughput sequencing,True,GSE186446_fcount_aggr.txt.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,1.2,32.0,Sample_title;Sample_source_name_ch1;Sample_description;patient number;involved by tumor?;region characterization,"Paired single-cell RNA and T cell receptor sequencing (scRNA/TCR-seq) has allowed for enhanced resolution of clonal T cell dynamics in cancer. Here, we report scRNA/TCR-seq analysis of 187,650 T cells from 31 tissue regions, including tumor, adjacent normal tissues, and lymph nodes (LN), from 3 patients with lung cancer after immune checkpoint blockade (ICB). Regions with viable cancer cells were ",RNA single cell (scTCR/RNA-seq) and bulk sequencing of 32 samples from three patients undergoing immune checkpoint blockade therapy.,"{""GSE186446_fcount_aggr.txt.gz"": {""kind"": ""text"", ""n_genes"": 23740, ""n_cols"": 33, ""first_cols"": [""id"", ""gene"", ""1263_A4"", ""1263_A3"", ""1263_LN12"", ""1263_R2"", ""1263_R3"", ""1263_R4""], ""genes"": [], ""sep"": ""\t""}}",
GSE248378,Neoadjuvant durvalumab plus radiation versus durvalumab alone in stages I-III non-small cell lung cancer: survival outcomes and molecular correlates of a randomized phase II trial,29,2023/11/26,Expression profiling by high throughput sequencing,True,GSE248378_Durva_Post_FPKMs.txt.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,1.0,29.0,Sample_title;Sample_source_name_ch1;tissue;cell type;treatment,"Randomized phase II trial patients with early-stage non-small cell lung cancer were treated with either two preoperative cycles of the anti-PD-L1 antibody durvalumab alone or combined with immunomodulatory doses of stereotactic radiation. We report, based on transcriptome analyses of resected tumors, a correlation between an increase of immune pathway genes and freedom from recurrence.",RNA-seq studies of resected tumors to identify biomarkers of recurrence in a clinical trial of immune checkpoint blockade therapy in the treatment of non-small cell lung cancer.,"{""GSE248378_Durva_Post_FPKMs.txt.gz"": {""kind"": ""text"", ""n_genes"": 15165, ""n_cols"": 29, ""first_cols"": [""gene"", ""pod04"", ""pod15"", ""POD23R"", ""47-M-PO"", ""53-M-PO"", ""61-M-PO"", ""57-M-PO""], ""genes"": [""CLDN4"", ""TACSTD2""], ""sep"": ""\t""}}",
GSE235048,Multicolor spectral flow cytometry evaluation of peripheral blood mononuclear cells from NSCLC patients,15,2023/08/03,Expression profiling by high throughput sequencing,True,GSE235048_24CFlow_TPM.txt.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,1.1,15.0,Sample_title;Sample_source_name_ch1;Sample_description;cell type;treatment,"To investigate a non-invasive strategy for immune monitoring the peripheral blood by flow cytometry, to address the critical need to itdentify predictive immunological biomarkers that correlate with treatment response Peripheral blood mononuclear cells (PBMCs) from 19 non–small-cell lung cancer (NSCLC) patients before and after ICI treatment and four healthy human donors were evaluated, utilizing ",Comparative immune cell profiling through gene expression analysis of RNA-seq data of human PBMCs from NSCLC patients,"{""GSE235048_24CFlow_TPM.txt.gz"": {""kind"": ""text"", ""n_genes"": 16830, ""n_cols"": 15, ""first_cols"": [""gene_symbol"", ""A2"", ""B1"", ""B2"", ""C2"", ""D1"", ""D2"", ""E1""], ""genes"": [""TACSTD2""], ""sep"": ""\t""}}",
GSE228419,Characteristics and anatomic location of PD-1+TCF1+ stem-like CD8 T cells in chronic viral infection and cancer,14,2023/04/02,Expression profiling by high throughput sequencing,True,GSE228419_normalized_counts.csv.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,1.4,14.0,Sample_title;Sample_source_name_ch1;Sample_description;tissue;cell type;tumor stage,CD8 T cells play an essential role in anti-tumor immunity and chronic viral infections. Recent findings have delineated the differentiation pathway of CD8 T cells in accordance with the progenitor-progeny relationship of TCF1+ stem-like and Tim-3+TCF1- more differentiated T cells. Here we investigated the characteristics of stem-like and differentiated CD8 T cells isolated from several murine tumo,Primary and metastatic tumors in lung tissues were obtained from 19 patients with stage I-IV. Stem-like (Tim-3-CD28+ PD-1+) and exhausted (Tim-3+ PD-1+) human CD8 T cells were sorted from frozen TIL samples isolated from NSCLC patients.  And naive (CCR7+CD45RA+CD58-CD95-) CD8 T cells from a healthy subject.,"{""GSE228419_normalized_counts.csv.gz"": {""kind"": ""text"", ""n_genes"": 60417, ""n_cols"": 15, ""first_cols"": [""gene_id"", ""Name"", ""naive_A"", ""naive_C"", ""TIL_B_CD28Pos"", ""TIL_B_Tim3Pos"", ""TIL_C_CD28Pos"", ""TIL_C_Tim3Pos""], ""genes"": [], ""sep"": "",""}}",
GSE164146,Integrative single-cell RNA and T-cell receptor analyses reveal transcriptional features of antigen-reactive tumor-infiltrating regulatory T cells in patients with lung cancer,12,2023/01/01,Expression profiling by high throughput sequencing; Other,True,GSE164146_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,56.0,12.0,Sample_title;Sample_source_name_ch1;Sample_description;cell type,"Background: T-cell receptor (TCR) stimulation is essential to complete differentiation of tumor-infiltrating regulatory T cells (T-Tregs). Therefore, elucidation of TCR-dependent regulatory network involved in activation and proliferation of T-Tregs will facilitate discovery of novel antitumor remedy. Here, we investigated transcriptional features specific for antigen-reactive Tregs by harnessing ","The study is composed of 4 samples from 4 human non-small-cell lung cancer patients, respectively. Each sample is composed of tumor-infiltrating Treg, blood-Treg, and blood-naïve-Treg. From each sample, scRNA-seq, CITE-seq ,and scVDJ-seq were performed",{},
GSE212622,Pulmonary parasite infection: do trypanosomes take your breath away?,12,2022/10/25,Expression profiling by array,True,GSE212622_RawData_LungTryp_NS_MM_HOSTRESPONSE_V1.0.csv.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,0.0,12.0,Sample_title;Sample_source_name_ch1;Sample_description;strain;infection status;infection time;tissue,"Approximately 20% of sleeping sickness patients exhibit respiratory complications which are commonly attributed to secondary bacterial infections, with an unknown role of the parasite. Using a Glossina morsitans tsetse fly initiated Trypansoma brucei infection in mice we found that parasites rapidly and permanently colonize the lungs, representing one of the major target organs next to the adipose",C57BL/6JRj mice were kept in quarantine for at least 5 days before infection and were randomly allocated to the experimental units. Trypanosoma brucei brucei AnTAR1 were used for infection and total RNA from lung tissue extracted at 10dpi and 21 dpi.,{},
GSE224099,A Population of Tumor-Infiltrating CD4+ T-cells Co-expressing CD38 and CD39  is Associated with Checkpoint Inhibitor Resistance,12,2023/07/17,Expression profiling by high throughput sequencing,True,GSE224099_counts.txt.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,5.0,12.0,Sample_title;Sample_source_name_ch1;Sample_description;cell line;cell type;patient id;time;treatment,We previously showed that elevated peripheral blood frequencies of a population of T-cells defined by the marker set CD3+CD4+CD127-GARP-CD38+CD39+ were associated with checkpoint immunotherapy resistance in metastatic melanoma patients. In this study we sought to further understand the role(s) of this population of ectoenzyme expressing T-cells (Teee). Using RNA-sequencing and flow cytometry to ev,"In this study we sought to address the roles of Teee in immunotherapy resistance by investigating their phenotype contrasted against CD38/CD39 single positive populations, determining their presence in the microenvironment of various solid tumors, and evaluating the relationship of intra-tumor Teee to immunotherapy resistance.   Cryopreserved peripheral blood mononuclear cells (PBMCs) were obtaine",{},
GSE193719,Genome-wide expression profiling of NSCLC cancer cell lines upon miR-455-5p overexpression,10,2022/12/31,Expression profiling by array,True,GSE193719_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,11.0,10.0,Sample_title;Sample_source_name_ch1;Sample_description;cell line id;tissue,Non–small-cell lung cancer (NSCLC) is the leading cause of cancer deaths worldwide due to late diagnosis and lack of effective therapies to treat metastatic disease. About one third of NSCLC patients present at diagnosis with locally advanced cancer (stage IIIA) which metastasizes ipsilateral mediastinal or subcarinal lymph nodes (N2). Neoadjuvant chemotherapy (NACT) followed by surgery is the tre,A total of 5 different experimental conditions were analyzed in this study. We performed 2 biological replicates for a total of 10 samples profiled.,{},
GSE189804,"A549 NRF NT, mock and knockout RNAseq",9,2023/03/22,Expression profiling by high throughput sequencing,True,GSE189804_A549_counts.txt.gz;GSE189804_IFNy_A549_counts.txt.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,1.1,9.0,Sample_title;Sample_source_name_ch1;Sample_description;cell line;cell type;treatment;genotype,"The NRF2 pathway is frequently activated in various cancer types, yet a comprehensive analysis of its effects across different malignancies is currently lacking. We developed a robust NRF2 activity metric and utilized it to conduct a pan-cancer wide analysis of oncogenic NRF2 signaling. We identified a distinct immunoevasive phenotype where high NRF2 activity is associated with low interferon-gamm","RNAseq for A549 parental (NT), mock and NRF2 knockout by CRISPR/Cas9.",{},
