accession,file,size_bytes,is_processed_candidate
GSE150255,GSE150255_SBC_BC190046_gene_expression.txt.gz,1153433,True
GSE150255,https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,False
GSE160903,GSE160903_RAW.tar,153092096,False
GSE160903,GSE160903_metadata_q.txt.gz,718848,True
GSE160903,filelist.txt,16384,True
GSE160903,https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,False
GSE161537,GSE161537_nivobio_log2cpm.csv.gz,1677721,True
GSE161537,https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,False
GSE162520,GSE162520_GEO_data_TUMADOR_log2cpm.csv.gz,416768,True
GSE162520,https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,False
GSE162676,GSE162676_DESeq2_output.concat.allsamples.txt.gz,6396313,True
GSE162676,https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,False
GSE164146,GSE164146_RAW.tar,58720256,False
GSE164146,filelist.txt,1536,True
GSE164146,https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,False
GSE168844,GSE168844_RAW.tar,315621376,False
GSE168844,filelist.txt,2355,True
GSE168844,https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,False
GSE178521,GSE178521_gene_count_matrix.txt.gz,516096,True
GSE178521,GSE178521_genes_fpkm_expression.txt.gz,1572864,True
GSE178521,https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,False
GSE179879,GSE179879_AllCases_TPMcounts.xlsx,29360128,True
GSE179879,GSE179879_LungCohort_TPMcounts.xlsx,10485760,True
GSE179879,https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,False
GSE180063,GSE180063_counts_SARS.csv.gz,100663296,True
GSE180063,GSE180063_counts_human.csv.gz,81788928,True
GSE180063,GSE180063_counts_mouse.csv.gz,18874368,True
GSE180063,https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,False
GSE180908,GSE180908_counts-20210727.csv.gz,1887436,True
GSE180908,GSE180908_custom-annotation.tar.gz,1825361100,False
GSE180908,GSE180908_custom-index.tar.gz,56908316672,False
GSE180908,https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,False
GSE180941,GSE180941_Raw_Gene_Counts_Matrix.txt.gz,1153433,True
GSE180941,GSE180941_TPM_Matrix.txt.gz,1258291,True
GSE180941,https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,False
GSE180942,GSE180942_beta_score_6K.csv.gz,507904,True
GSE180942,GSE180942_sgRNA_index_6K.csv.gz,1153433,True
GSE180942,https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,False
GSE184242,GSE184242_RAW.tar,123731968,False
GSE184242,filelist.txt,1433,True
GSE184242,https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,False
GSE185204,GSE185204_RAW.tar,947912704,False
GSE185204,GSE185204_multimer_MSK1263_A1-A4_RNA_A1_barcodes.tsv.gz,15360,True
GSE185204,GSE185204_multimer_MSK1263_A1-A4_RNA_A1_features.tsv.gz,305152,True
