gene	probe_id	in_matrix
CLDN4	TC0700007993.hg.1	1
CD274	TC0900006559.hg.1	1
CXCL9	TC0400011052.hg.1	1
CXCL10	TC0400011053.hg.1	1
HLA-A	TC0600007495.hg.1	1
HLA-B	TC0600014258.hg.1	1
HLA-C	TC0600014257.hg.1	1
IFNG	TC1200011177.hg.1	1
STAT1	TC0200015242.hg.1	1
IRF1	TC0500012017.hg.1	1
IDO1	TC0800007382.hg.1	1
HLA-DRA	TC0600007650.hg.1	1
GBP1	TC0100014852.hg.1	1
CD8A	TC0200013323.hg.1	1
B2M	TC1500007097.hg.1	1
