gate	site	denom	min_mal	predictor	outcome	test	n_patients	rho	p	n_q1	n_q4	median_q1	median_q4	delta_q4_minus_q1	reference_only	eligible
author	all	gate_samples	20	tac_pct	T_frac	spearman	21	-0.15714285714285717	0.4963338454232182						False	True
author	all	gate_samples	20	tac_pct	T_frac	q4q1_mannwhitney	21	-0.19999999999999996	0.6623376623376623	6.0	5.0	0.30979478682047035	0.1969465648854962	-0.11284822193497415	False	True
author	all	gate_samples	20	tac_pct	T_of_immune	spearman	21	0.07012987012987014	0.7625997832797398						False	False
author	all	gate_samples	20	tac_pct	T_of_immune	q4q1_mannwhitney	21	0.2666666666666666	0.5367965367965368	6.0	5.0	0.4138635042134222	0.5617128463476071	0.14784934213418488	False	False
author	all	gate_samples	20	tac_pct	CD8_frac	spearman	21	-0.07792207792207792	0.7370748924266822						False	True
author	all	gate_samples	20	tac_pct	CD8_frac	q4q1_mannwhitney	21	-0.2666666666666667	0.5367965367965368	6.0	5.0	0.06336006929962462	0.028396946564885495	-0.03496312273473913	False	True
author	all	gate_samples	20	tac_pct	CD8_of_immune	spearman	21	0.07662337662337662	0.7413113765158404						False	False
author	all	gate_samples	20	tac_pct	CD8_of_immune	q4q1_mannwhitney	21	0.06666666666666665	0.9307359307359306	6.0	5.0	0.08882818200033957	0.10327455919395466	0.014446377193615093	False	False
author	all	gate_samples	20	tac_pct	cyto_frac	spearman	21	-0.07794738962582236	0.7369923957289725						False	True
author	all	gate_samples	20	tac_pct	cyto_frac	q4q1_mannwhitney	21	-0.1333333333333333	0.7922077922077921	6.0	5.0	0.004696906036304294	0.005190839694656489	0.000493933658352195	False	False
author	all	gate_samples	20	tac_pct	exh_frac	spearman	21	0.07532467532467534	0.7455550758529895						False	False
author	all	gate_samples	20	tac_pct	exh_frac	q4q1_mannwhitney	21	0.06666666666666665	0.9307359307359306	6.0	5.0	0.016268914829226114	0.009770992366412214	-0.0064979224628139	False	True
author	all	gate_samples	20	tac_pct	TNK_frac	spearman	21	-0.15064935064935067	0.5145138644694079						True	False
author	all	gate_samples	20	tac_pct	TNK_frac	q4q1_mannwhitney	21	-0.1333333333333333	0.7922077922077921	6.0	5.0	0.39489210934561547	0.34900763358778625	-0.045884475757829224	True	False
