piece	n	note
cells_in_matrix	208506	not an inferential n
author_malignant_cells	24784	mBrain, tL/B, mLN only
tS_cells	6352	tLung only
cd8_subtype_and_T	15230	CD8 subtypes inside T lymphocytes
cd8_subtype_labeled_NK	231	excluded from CD8 fraction
