gate	site	pool	split	min_arm	score	module	n_genes	n_patients	mean_delta	median_delta	frac_pos	wilcoxon_p	mean_n_high	mean_n_low	eligible	control
author	all	patient	median	10	cell_mean	pre_core	12	20	0.13130335062742232	0.1236700564622879	0.9	9.5367431640625e-06	609.9	609.9	True	False
author	all	sample_then_patient	median	10	cell_mean	pre_core	12	20	0.13130335062742232	0.1236700564622879	0.9	9.5367431640625e-06	609.9	609.9	True	False
author	all	patient	median	10	pseudobulk	pre_core	12	20	0.07459995895624161	0.07657060027122498	0.9	0.0003948211669921875	609.9	609.9	True	False
author	all	sample_then_patient	median	10	pseudobulk	pre_core	12	20	0.07459995895624161	0.07657060027122498	0.9	0.0003948211669921875	609.9	609.9	True	False
author	all	patient	median	20	cell_mean	pre_core	12	20	0.13130335062742232	0.1236700564622879	0.9	9.5367431640625e-06	609.9	609.9	True	False
author	all	sample_then_patient	median	20	cell_mean	pre_core	12	20	0.13130335062742232	0.1236700564622879	0.9	9.5367431640625e-06	609.9	609.9	True	False
author	all	patient	median	20	pseudobulk	pre_core	12	20	0.07459995895624161	0.07657060027122498	0.9	0.0003948211669921875	609.9	609.9	True	False
author	all	sample_then_patient	median	20	pseudobulk	pre_core	12	20	0.07459995895624161	0.07657060027122498	0.9	0.0003948211669921875	609.9	609.9	True	False
author	all	patient	q4q1	10	cell_mean	pre_core	12	20	0.20895695984363555	0.22320769727230072	0.9	9.5367431640625e-06	304.75	304.75	True	False
author	all	sample_then_patient	q4q1	10	cell_mean	pre_core	12	20	0.20895695984363555	0.22320769727230072	0.9	9.5367431640625e-06	304.75	304.75	True	False
author	all	patient	q4q1	10	pseudobulk	pre_core	12	20	0.14485141709446908	0.13121910393238068	0.9	4.76837158203125e-05	304.75	304.75	True	False
author	all	sample_then_patient	q4q1	10	pseudobulk	pre_core	12	20	0.14485141709446908	0.13121910393238068	0.9	4.76837158203125e-05	304.75	304.75	True	False
author	all	patient	q4q1	20	cell_mean	pre_core	12	19	0.2224042948923613	0.2253928780555725	0.9473684210526315	7.62939453125e-06	319.7894736842105	319.7894736842105	True	False
author	all	sample_then_patient	q4q1	20	cell_mean	pre_core	12	19	0.2224042948923613	0.2253928780555725	0.9473684210526315	7.62939453125e-06	319.7894736842105	319.7894736842105	True	False
author	all	patient	q4q1	20	pseudobulk	pre_core	12	19	0.15904413163661957	0.1327020227909088	0.9473684210526315	7.62939453125e-06	319.7894736842105	319.7894736842105	True	False
author	all	sample_then_patient	q4q1	20	pseudobulk	pre_core	12	19	0.15904413163661957	0.1327020227909088	0.9473684210526315	7.62939453125e-06	319.7894736842105	319.7894736842105	True	False
author	all	patient	pos	10	cell_mean	pre_core	12	19	0.23139599436207822	0.20556026697158813	0.9473684210526315	7.62939453125e-06	940.2631578947369	334.8421052631579	True	False
author	all	sample_then_patient	pos	10	cell_mean	pre_core	12	19	0.23139599436207822	0.20556026697158813	0.9473684210526315	7.62939453125e-06	940.2631578947369	334.8421052631579	True	False
author	all	patient	pos	10	pseudobulk	pre_core	12	19	0.13349679582997373	0.08987301588058472	0.9473684210526315	0.00026702880859375	940.2631578947369	334.8421052631579	True	False
author	all	sample_then_patient	pos	10	pseudobulk	pre_core	12	19	0.13349679582997373	0.08987301588058472	0.9473684210526315	0.00026702880859375	940.2631578947369	334.8421052631579	True	False
author	all	patient	pos	20	cell_mean	pre_core	12	16	0.21874102018773556	0.20307953655719757	1.0	3.0517578125e-05	1088.1875	391.4375	True	False
author	all	sample_then_patient	pos	20	cell_mean	pre_core	12	16	0.21874102018773556	0.20307953655719757	1.0	3.0517578125e-05	1088.1875	391.4375	True	False
author	all	patient	pos	20	pseudobulk	pre_core	12	16	0.12283768691122532	0.07969090342521667	1.0	3.0517578125e-05	1088.1875	391.4375	True	False
author	all	sample_then_patient	pos	20	pseudobulk	pre_core	12	16	0.12283768691122532	0.07969090342521667	1.0	3.0517578125e-05	1088.1875	391.4375	True	False
author	all	patient	median	10	cell_mean	pre_core_no_cldn4	11	20	0.10261384695768357	0.10382096469402313	0.9	9.5367431640625e-06	609.9	609.9	True	False
author	all	sample_then_patient	median	10	cell_mean	pre_core_no_cldn4	11	20	0.10261384695768357	0.10382096469402313	0.9	9.5367431640625e-06	609.9	609.9	True	False
author	all	patient	median	10	pseudobulk	pre_core_no_cldn4	11	20	0.05664975419640541	0.06119073927402496	0.9	0.0005855560302734375	609.9	609.9	True	False
author	all	sample_then_patient	median	10	pseudobulk	pre_core_no_cldn4	11	20	0.05664975419640541	0.06119073927402496	0.9	0.0005855560302734375	609.9	609.9	True	False
author	all	patient	median	20	cell_mean	pre_core_no_cldn4	11	20	0.10261384695768357	0.10382096469402313	0.9	9.5367431640625e-06	609.9	609.9	True	False
