tag	patient	delta	delta_resid_epi	n_high	n_low	n_gate_cells
prespec_author_median_pre_core	P1006	0.2618485689163208	0.20935360228932146	593	593	1186
prespec_author_median_pre_core	P1010	0.11093097925186157	0.08343909210189451	183	183	367
prespec_author_median_pre_core	P1011	0.21944203972816467	0.19436613686915066	101	101	203
prespec_author_median_pre_core	P1012	0.1860632300376892	0.1460555242401501	128	128	257
prespec_author_median_pre_core	P1015	0.23599788546562195	0.16906426189590168	128	128	256
prespec_author_median_pre_core	P1019	0.11650717258453369	0.08496116792761704	108	108	217
prespec_author_median_pre_core	P1028	0.11717134714126587	0.08693834779048902	2320	2320	4640
prespec_author_median_pre_core	P1049	0.1352338343858719	0.06890779629038907	57	57	114
prespec_author_median_pre_core	P1051	0.08852419257164001	0.06959111705088264	642	642	1285
prespec_author_median_pre_core	P1058	0.15991684794425964	0.10130073874084489	230	230	460
prespec_author_median_pre_core	P3002	-0.00799514353275299	0.005265132826369284	90	90	181
prespec_author_median_pre_core	P3003	0.13295131921768188	0.11797891028513213	1356	1356	2713
prespec_author_median_pre_core	P3004	0.12322759628295898	0.09508300331466539	614	614	1229
prespec_author_median_pre_core	P3006	0.17532309889793396	0.10642967712756485	41	41	83
prespec_author_median_pre_core	P3007	0.09323272109031677	0.06592168784453478	2554	2554	5108
prespec_author_median_pre_core	P3012	0.12411251664161682	0.08843725040260902	1405	1405	2811
prespec_author_median_pre_core	P3013	0.08980610966682434	0.041478673160550004	676	676	1352
prespec_author_median_pre_core	P3016	-0.01753181219100952	-0.012088638232907345	39	39	79
prespec_author_median_pre_core	P3017	0.15865719318389893	0.12948970724807915	556	556	1112
prespec_author_median_pre_core	P3019	0.12264731526374817	0.11205156961334706	377	377	755
prespec_ts_median_pre_core	P0006	0.21638557314872742	0.15895982104450465	50	50	100
prespec_ts_median_pre_core	P0008	0.14644551277160645	0.10173052454215892	21	21	42
prespec_ts_median_pre_core	P0018	0.17471903562545776	0.15739133383510798	501	501	1002
prespec_ts_median_pre_core	P0019	0.11025211215019226	0.07675544051042554	111	111	222
prespec_ts_median_pre_core	P0020	0.1572818160057068	0.12340316760266	217	217	434
prespec_ts_median_pre_core	P0025	0.12697240710258484	0.07983530903489952	111	111	223
prespec_ts_median_pre_core	P0028	0.1255795955657959	0.1029227710100375	492	492	984
prespec_ts_median_pre_core	P0030	0.0830971896648407	0.06448252556227914	392	392	784
prespec_ts_median_pre_core	P0031	0.17540577054023743	0.14616833746000135	91	91	182
prespec_ts_median_pre_core	P0034	0.09377196431159973	0.05874929189629153	1187	1187	2374
winner	P1006	0.8388866186141968	0.6298186680221336	356	356	1425
winner	P1010	0.527664065361023	0.4220064792962618	100	100	400
winner	P1011	0.4275442361831665	0.36782127829267575	71	71	285
winner	P1012	0.6905842423439026	0.522528971509237	71	71	287
winner	P1015	0.5613226890563965	0.38881288865794106	65	65	263
winner	P1019	0.5633804798126221	0.4130512925078222	57	57	228
winner	P1028	0.3461993336677551	0.23799705508402597	1191	1191	4766
winner	P1049	0.5512262582778931	0.36453382841155724	30	30	122
winner	P1051	0.32883644104003906	0.26226632132293193	328	328	1315
winner	P1058	0.5841954946517944	0.3699484570806395	124	124	497
