gate	site	denom	min_mal	predictor	outcome	n_patients	rho	p_spearman	p_q4q1	delta_q4_minus_q1	n_q1	n_q4
author	all	gate_samples	20	tac_pct	T_frac	21	-0.15714285714285717	0.4963338454232182	0.6623376623376623	-0.11284822193497415	6	5
author	all	all_tumor_in_site	20	tac_pct	T_frac	21	-0.024675324675324677	0.9154489258699161	0.7922077922077921	-0.03895216044870736	6	5
author	all	gate_samples	20	tac_mean	T_frac	21	-0.022077922077922082	0.9243230289105082	0.9307359307359306	-0.031038128810382426	6	5
author	all	gate_samples	20	tac_pct	CD8_frac	21	-0.07792207792207792	0.7370748924266822	0.5367965367965368	-0.03496312273473913	6	5
ts	tLung	gate_samples	20	tac_pct	T_frac	10	-0.18787878787878787	0.6032176100292089	0.7	-0.025354625008011056	3	3
ts	tLung	gate_samples	20	tac_mean	T_frac	10	0.10303030303030303	0.7769984634438898	1.0	0.20967211182785483	3	3
ts	tLung	gate_samples	20	tac_pct	CD8_frac	10	0.5878787878787878	0.07387770688865808	0.7	0.07059204340921398	3	3
broad	all	gate_samples	20	tac_pct	T_frac	31	0.22056451612903227	0.23312855744665079	0.5053613053613053	0.01615154470272362	8	8
epi	all	gate_samples	20	tac_pct	T_frac	32	0.18401759530791786	0.31336412159607874	0.3822843822843822	0.020562104154483285	8	8
