tag	n_patients	mean_delta	median_delta	mean_delta_resid_epi	median_delta_resid_epi	wilcoxon_p_resid	frac_pos_resid
prespec_author_median_pre_core	20	0.13130335062742232	0.1236700564622879	0.09820123793932928	0.09176012685863721	5.7220458984375e-06	0.95
prespec_ts_median_pre_core	10	0.14099109768867493	0.13670895993709564	0.10703985224983661	0.1023266477760982	0.001953125	1.0
winner	10	0.5419839859008789	0.5562744736671448	0.39787852401852264	0.3793806728692903	0.001953125	1.0
