gene,spearman_rank,spearman_r,spearman_p,pearson_r,pearson_p,mean_log2_expr,pct_expressed,spearman_q,pearson_q,pearson_rank
MUC21,1,0.6006326449256308,6.68353730636402e-26,0.568287769468522,8.770661217907006e-23,5.7362452,94.0,1.0695298000815478e-22,4.4905785435683876e-20,5
PVRL4,2,0.598297546507002,1.1534517260723467e-25,0.6688702239331836,8.649556191694438e-34,11.735287599999996,100.0,1.0695298000815478e-22,2.214286385073776e-30,1
RHBDL2,3,0.5979404206558521,1.2533552344705638e-25,0.6016610897896094,5.248203152770692e-26,8.511299600000001,100.0,1.0695298000815478e-22,4.4784666903643234e-23,3
CLCA4,4,0.585562589887081,2.0945233656197685e-24,0.5605783891866273,4.331475972241126e-22,7.551460800000004,96.8,1.3404949539966518e-21,1.8480964148228802e-19,6
DUOXA1,5,0.5753744014060883,1.9464260640712513e-23,0.5551175714805571,1.309562248592056e-21,8.923460000000002,100.0,9.965701448044806e-21,4.190599195494579e-19,8
GPR110,6,0.5634470555165576,2.402467253753454e-22,0.5911212814273564,6.002735331659691e-25,7.448902800000001,99.6,1.025052694934807e-19,3.841750612262202e-22,4
TMPRSS11D,7,0.5544492940713225,1.4973484774170718e-21,0.5359917537102163,5.399059002830315e-20,8.527495200000004,95.6,5.476017288839576e-19,1.256508277022328e-17,11
DUOX2,8,0.5408397332769712,2.1508078900828573e-20,0.5472572753032596,6.215118738981731e-21,9.426534799999995,100.0,6.882585248265143e-18,1.5910703971793231e-18,10
SDC1,9,0.5044326814761374,1.5257203542869814e-17,0.5484264340838975,4.942827724550983e-21,14.32671880000001,100.0,4.3398267855274134e-15,1.4059598860945018e-18,9
GPR115,10,0.4984459265380604,4.172998220957986e-17,0.6055955803547409,2.0644673405575184e-26,8.174430400000002,100.0,1.0682875445652444e-14,2.6425181959136235e-23,2
EMP1,11,0.49741323811516075,4.95406925196055e-17,0.5320421516201522,1.1304196525089206e-19,11.834705199999998,100.0,1.1448167539328662e-14,2.411561925352364e-17,12
CLDN4,12,0.4907320081532216,1.4825715912269606e-16,0.4622512723358549,1.224043809120988e-14,12.20776760000001,100.0,2.9195255950315533e-14,9.216329856910966e-13,33
DSG3,13,0.4821202830587176,5.881564607045239e-16,0.4926739533977169,1.0807305982886343e-16,12.41588600000001,99.6,9.675363259160059e-14,1.4561422797994232e-14,19
LYPD3,14,0.4819443156423678,6.047102036975037e-16,0.5590475956720359,5.918632483753964e-22,12.429784000000003,100.0,9.675363259160059e-14,2.1645284512014496e-19,7
DUOX1,15,0.46152324898445607,1.3630035378163118e-14,0.485711702086967,3.3262026057463934e-16,10.486054799999996,100.0,1.9384939204498656e-12,3.4060314682843063e-14,25
GJB5,16,0.46105830597928515,1.459699170594865e-14,0.49504981466828174,7.320678411764474e-17,9.729445600000002,100.0,1.966752566696239e-12,1.0411631518953918e-14,18
CXCR2,17,0.45814937035461323,2.2360216701677075e-14,0.44010762818369414,2.882045122764033e-13,4.990987599999996,100.0,2.7219954929127425e-12,1.9415882932305065e-11,35
SLC39A2,18,0.45784000477725384,2.339214876721888e-14,0.48914116971873545,1.9179749764378907e-16,6.000238799999998,98.8,2.7219954929127425e-12,2.231825427127727e-14,22
BDKRB1,19,0.4529040193370329,4.775677291322205e-14,0.4915177942820008,1.3048614842108899e-16,6.4622984,100.0,5.315536463384715e-12,1.5906882855142275e-14,21
SLC6A9,20,0.45236363552580444,5.160204279373579e-14,0.430355135600892,1.079132340266867e-12,9.172189599999996,100.0,5.5042178979984836e-12,6.139063980184843e-11,40
RHCG,21,0.4502377766957334,6.988746285770671e-14,0.48369216438397694,4.586754302177937e-16,10.871697600000006,100.0,7.055427452356081e-12,4.348922597620562e-14,27
DSC3,22,0.4500619018141993,7.165668506299144e-14,0.48588921227925735,3.233241253118111e-16,12.5754236,100.0,7.055427452356081e-12,3.4060314682843063e-14,24
F11R,23,0.44716982400028926,1.0787065484673302e-13,0.49193454669108133,1.2192626074107511e-16,13.281471999999999,100.0,1.0227736163245798e-11,1.5606561374857614e-14,20
THBD,24,0.4437836977456421,1.7328954807171012e-13,0.4853090561171242,3.546878814689952e-16,10.5760824,100.0,1.5297284243571652e-11,3.492311448310107e-14,26
PROM2,25,0.44295663340148167,1.944062933446652e-13,0.50985383247595,6.0300596394937636e-18,12.0591796,100.0,1.6589337032078096e-11,1.0291301784736025e-15,15
LPAR6,26,0.43980155326675857,3.005909474897775e-13,0.4086152450821275,1.7653775845498543e-11,9.420738000000004,100.0,2.4822994373349366e-11,8.070297529370763e-10,47
GABRE,27,0.4363041921782976,4.847297434218387e-13,0.4671660157553264,5.8832200911591516e-15,9.821279999999994,100.0,3.877837947374709e-11,4.858401107537879e-13,30
MPZL2,28,0.43381421161204303,6.788972171257534e-13,0.48868016120281155,2.0660502549526958e-16,11.774735600000012,100.0,5.26659659346039e-11,2.2996037620343047e-14,23
GJB4,29,0.4333211475336812,7.25493508658128e-13,0.4761181034793518,1.5023857102284018e-15,7.668400399999996,100.0,5.462539359308258e-11,1.3736097922088246e-13,28
PLXNA2,30,0.43006776365723703,1.1212258510232865e-12,0.43390689953332257,6.704699895014212e-13,10.337665599999994,100.0,8.200966224627467e-11,3.991635286334043e-11,38
GPR87,31,0.42530378251885437,2.103352280195068e-12,0.508881675081334,7.130931340932174e-18,10.351638400000002,100.0,1.4552923884592902e-10,1.1409490145491478e-15,16
P2RY2,32,0.41961473040172237,4.4016567656883444e-12,0.474617746347586,1.8938735864170824e-15,8.129141999999991,100.0,2.889292646195426e-10,1.6718332349061142e-13,29
SLC10A6,33,0.4158856281335198,7.0890682109566e-12,0.4311269582828489,9.735612836955878e-13,4.939930800000002,96.39999999999999,4.537003655012224e-10,5.66435655968342e-11,39
EPHA2,34,0.413365876586522,9.749948210769e-12,0.5055015186284602,1.2721991872326971e-17,11.765904799999998,100.0,6.087772541358204e-10,1.9157823054798263e-15,17
IL20RB,35,0.4121919693532259,1.13003832734214e-11,0.5169597764636275,1.7413754596239875e-18,10.623168399999999,100.0,6.887852661894949e-10,3.4291701358749293e-16,13
TMPRSS11B,36,0.41162714626067254,1.2129464404918079e-11,0.3848192987639741,3.0103760666567887e-10,3.5113188000000015,75.6,7.221262529439601e-10,9.755142697014404e-09,64
CLDN1,37,0.41000858830236725,1.4846910878343e-11,0.5136074003908156,3.1401409581599762e-18,12.912097999999997,100.0,8.289709120736861e-10,5.741972037778243e-16,14
EPHA1,38,0.40998231843370764,1.4895571076324046e-11,0.4239334389948868,2.516008776208605e-12,9.569374399999997,100.0,8.289709120736861e-10,1.3144862177742916e-10,44
CEACAM6,39,0.404126607618038,3.067214175743297e-11,0.43668685384250444,4.601605351771323e-13,10.400781999999996,99.6,1.635847560396425e-09,2.9450274251336466e-11,37
SLC13A4,40,0.4034488432660516,3.331643731726661e-11,0.3428984603841025,2.6345537367003184e-08,3.3583772,98.4,1.7406138680041328e-09,5.573931872688277e-07,89
GJB3,41,0.40183908257843254,4.051676084158732e-11,0.4633929040871174,1.0335743178988246e-14,10.956612399999994,100.0,2.074458155089271e-09,8.268594543190597e-13,31
ITM2B,42,0.3921766767206005,1.282927208919451e-10,0.39594157452540457,8.223963844419175e-11,13.606340800000005,100.0,6.3159493362188365e-09,3.051209774161317e-09,58
MUC4,43,0.39125203115289564,1.429749406156213e-10,0.4057160103270597,2.524665027655669e-11,10.988728800000008,99.6,6.905959395773406e-09,1.0771904117997521e-09,51
VSIG10L,44,0.3906503684156361,1.5339171512858113e-10,0.37814503316787756,6.408887880303701e-10,7.522098399999998,100.0,7.2719035320216235e-09,1.976717225732226e-08,65
CEACAM5,45,0.3903227361057502,1.5937031473292344e-10,0.4017093998320376,4.115859982814245e-11,10.169674799999996,99.6,7.325288600828646e-09,1.6463439931256981e-09,55
EPHB3,46,0.3892513587580082,1.8054313591110107e-10,0.39235863408585636,1.2558115145612013e-10,10.438534399999998,100.0,8.108603998814363e-09,4.344429023346859e-09,62
SEMA4B,47,0.38810164414182907,2.0629981408015598e-10,0.46167713752575124,1.3324006775884656e-14,12.795650799999994,100.0,9.10564696629654e-09,9.74555924178992e-13,34
PIK3IP1,48,0.3876596529851083,2.1712255244588697e-10,0.39283170731041284,1.1878923907478094e-10,9.607998000000002,100.0,9.420910750194417e-09,4.231440100257768e-09,60
GPR78,49,0.38589783137414957,2.660068502755898e-10,0.3407188077908668,3.267146073022758e-08,2.595423999999998,81.2,1.13496256117585e-08,6.63801106899862e-07,91
SYPL1,50,0.3857509062070284,2.705350366243667e-10,0.3481009055483774,1.5657237820206923e-08,11.773867599999999,100.0,1.1353601537022603e-08,3.643866256339065e-07,85
TMEM154,51,0.38335187123350606,3.5596586524113343e-10,0.42889733228820015,1.309832720210322e-12,8.3581028,100.0,1.4336813884833976e-08,7.289503834213965e-11,41
DSC2,52,0.38070844552717154,4.804192717172857e-10,0.40701292929662225,2.1522298388942817e-11,11.869810000000012,100.0,1.8634444478731083e-08,9.66615506591116e-10,48
IL4R,53,0.3787273570690182,6.004063970772345e-10,0.40275137092575297,3.6268764143113844e-11,11.489687600000003,100.0,2.2940901142055527e-08,1.4737783524820863e-09,54
CHRNB4,54,0.3768202094149845,7.430938244734766e-10,0.41373522174430455,9.306488926058397e-12,5.080078000000001,97.2,2.7975296921354413e-08,4.495209745416886e-10,46
CLEC7A,55,0.37554348880017757,8.564425960960664e-10,0.3673740849203687,2.0937343979152874e-09,7.917999999999998,100.0,3.177526153631782e-08,6.02242703220577e-08,71
CLCA2,56,0.37423901967821355,9.895025610442195e-10,0.46264315849784665,1.155082304524886e-14,11.467935199999998,100.0,3.618752223247432e-08,8.960638483586995e-13,32
CD58,57,0.36888227459259043,1.778538407556497e-09,0.39281597542904506,1.1900925281974973e-10,8.718825199999998,100.0,6.152781518033288e-08,4.231440100257768e-09,61
PSCA,58,0.36802695109239886,1.9511618946055965e-09,0.36768261829116683,2.025143138551125e-09,7.675242800000001,100.0,6.659965933587103e-08,5.89132549396691e-08,70
SLC12A6,59,0.3669164051104383,2.199642777893662e-09,0.40458347747697504,2.9006075980760178e-11,10.029102800000006,100.0,7.40932304132602e-08,1.2173041723073125e-09,52
TM4SF1,60,0.3642778983877374,2.9190694775069923e-09,0.3318640951135765,7.700588859701866e-08,12.278845999999994,100.0,9.58053572104859e-08,1.3689935750581097e-06,103
LY6D,61,0.3628543873382465,3.3969192366180462e-09,0.4387686818917148,3.4634700952989156e-13,12.2980556,100.0,1.1007738285749618e-07,2.2734572933244164e-11,36
RGMA,62,0.3604094197493312,4.399671415783772e-09,0.3142666152403998,3.911668335463794e-07,8.6962196,100.0,1.3570070872778863e-07,5.788364704501337e-06,113
P2RY1,63,0.3595995506359305,4.790949740559328e-09,0.3270249884528943,1.2164849425672314e-07,6.79386,100.0,1.4600989685514142e-07,1.996282982674431e-06,108
CD24,64,0.35901816522213786,5.0923735803640435e-09,0.27792144202515895,8.177305267996436e-06,13.183385600000008,100.0,1.5337031018508177e-07,7.584746915243071e-05,163
SUSD4,65,0.35665460695140233,6.517794187753184e-09,0.36240269191116603,3.563771822563253e-09,9.275944799999994,100.0,1.9401805954242035e-07,9.705591346555242e-08,75
OR10H1,66,0.35628067548789866,6.776057971746468e-09,0.30900935572489613,6.231835450247965e-07,0.7788343999999998,54.0,1.9938745296173517e-07,8.670379756866734e-06,120
BDKRB2,67,0.35553906888861,7.317842179961781e-09,0.37077267567376426,1.4478703288730796e-09,9.208383599999998,100.0,2.1288268159888818e-07,4.3099395836221906e-08,68
SLC1A3,68,0.35237677768479075,1.0136034305775878e-08,0.3366670166948529,4.8529457045451636e-08,8.726745600000001,100.0,2.91553346323441e-07,9.260081831560689e-07,97
NIPAL2,69,0.3508139397355886,1.1891012668696881e-08,0.33827953154692675,4.1487139174243294e-08,7.1821764,100.0,3.382332492429335e-07,8.16977509892791e-07,95
ADRB2,70,0.3503227284256251,1.2500816309948911e-08,0.4179665080385016,5.4376421034809556e-12,7.5343535999999975,100.0,3.5167131597218914e-07,2.676993035559855e-10,45
ADAM15,71,0.34557564356082693,2.0180254259756184e-08,0.37690086127037153,7.364442402610927e-10,12.1818452,100.0,5.615375098366938e-07,2.2444014941290446e-08,66
CLDN7,72,0.3450730456767804,2.1220012510410845e-08,0.3385133243041601,4.0551671873644766e-08,11.542582800000005,100.0,5.841207744801266e-07,8.047463565622528e-07,94
SLC37A2,73,0.3445879795685715,2.2272402555181652e-08,0.36351345977321914,3.166953069247008e-09,8.496907600000002,100.0,6.026152243604201e-07,8.717634255131549e-08,74
CD1C,74,0.34425615726533715,2.3021134339833673e-08,0.3341408081319278,6.19298331317923e-08,4.154884800000001,98.4,6.138969157288979e-07,1.1488432812854223e-06,100
CD82,75,0.3426959809333296,2.68793932811957e-08,0.3956769736447815,8.486598656893518e-11,11.308411599999996,100.0,7.021555795904182e-07,3.1036703659496296e-09,59
LRP1,76,0.3401627572266144,3.4506165198430274e-08,0.31638246489939226,3.234865781295252e-07,12.516453200000006,100.0,8.660370873331519e-07,4.900151716044878e-06,112
