cohort,cancer,cutoff,endpoint,n_with_expr,n_with_binary,n_R,n_NR,expr_scale,n_high_R,n_high_NR,n_low_R,n_low_NR,n_used,or,logor,se_logor,or_lo,or_hi,fisher_p,haldane,estimable,wald_p,reason
Braun,ccRCC,median,curated_R_vs_NR,181,142,39,103,log2_plus1,18.0,53.0,21.0,50.0,142.0,0.8086253369272237,-0.21241958795123408,0.3768852978067797,0.38631013574001405,1.6926165663971153,0.7071979307018424,False,True,,
Braun,ccRCC,median,CRPR_vs_PD,181,108,39,69,log2_plus1,21.0,33.0,18.0,36.0,108.0,1.2727272727272727,0.24116205681688804,0.4015661978496338,0.579315704984417,2.796117379188561,0.6889407223011393,False,True,,
Braun,ccRCC,median,CRPR_vs_SDPD,181,172,39,133,log2_plus1,17.0,69.0,22.0,64.0,172.0,0.7167325428194994,-0.33305253053968725,0.36660036618844033,0.34938205283574464,1.4703260621632859,0.4666781353079638,False,True,,
Braun,ccRCC,tertile,curated_R_vs_NR,181,142,39,103,log2_plus1,9.0,39.0,13.0,35.0,96.0,0.621301775147929,-0.4759383647655502,0.4921855770404515,0.23678041276326176,1.630269545090771,0.4668889615209468,False,True,,
Braun,ccRCC,tertile,CRPR_vs_PD,181,108,39,69,log2_plus1,10.0,26.0,12.0,24.0,72.0,0.7692307692307693,-0.262364264467491,0.5132850460139459,0.2812804809415342,2.103651040238205,0.7984823506587888,False,True,,
Braun,ccRCC,tertile,CRPR_vs_SDPD,181,172,39,133,log2_plus1,6.0,52.0,16.0,42.0,116.0,0.30288461538461536,-1.1944033533097853,0.5217345682499481,0.1089350869110091,0.8421445545054695,0.031445532996167945,False,True,,
Braun,ccRCC,quartile,curated_R_vs_NR,181,142,39,103,log2_plus1,5.0,31.0,9.0,27.0,72.0,0.4838709677419355,-0.7259370033829361,0.6167707942698626,0.1444520355919015,1.6208225274510664,0.3723219814387727,False,True,,
Braun,ccRCC,quartile,CRPR_vs_PD,181,108,39,69,log2_plus1,5.0,22.0,9.0,18.0,54.0,0.45454545454545453,-0.7884573603642702,0.6419666752419568,0.12915887492488956,1.5996699442302034,0.3520232755363313,False,True,,
Braun,ccRCC,quartile,CRPR_vs_SDPD,181,172,39,133,log2_plus1,4.0,39.0,9.0,34.0,86.0,0.38746438746438744,-0.9481313377298138,0.6451076665627368,0.10942210374595901,1.3720139388080197,0.22782497575309923,False,True,,
Braun,ccRCC,continuous,curated_R_vs_NR,181,142,39,103,log2_plus1,,,,,142.0,0.837308891116473,-0.17756223103382324,0.17949786845426652,0.5889711645182966,1.1903573916324017,,,True,0.32255728760343394,
Braun,ccRCC,continuous,CRPR_vs_PD,181,108,39,69,log2_plus1,,,,,108.0,0.8322143300416658,-0.18366526311307343,0.1974306970444519,0.5651695924088939,1.225438700930011,,,True,0.3522276135090697,
Braun,ccRCC,continuous,CRPR_vs_SDPD,181,172,39,133,log2_plus1,,,,,172.0,0.7522132086795763,-0.28473547303682767,0.16810081052671974,0.5410665137988218,1.045758140416739,,,True,0.09029614752983885,
GSE126044,NSCLC,median,curated_R_vs_NR,16,16,5,11,log2_count_plus1,1.0,7.0,4.0,4.0,16.0,0.14285714285714285,-1.9459101490553135,1.2817398889233114,0.01158411713792811,1.7617366107674075,0.28205128205128205,False,True,,
GSE126044,NSCLC,median,CRPR_vs_PD,16,0,0,0,log2_count_plus1,,,,,,,,,,,,,False,,too_few
GSE126044,NSCLC,median,CRPR_vs_SDPD,16,0,0,0,log2_count_plus1,,,,,,,,,,,,,False,,too_few
GSE126044,NSCLC,tertile,curated_R_vs_NR,16,16,5,11,log2_count_plus1,1.0,5.0,3.0,3.0,12.0,0.2,-1.6094379124341003,1.3662601021279464,0.013741872609067523,2.9108114401821896,0.5454545454545454,False,True,,
GSE126044,NSCLC,tertile,CRPR_vs_PD,16,0,0,0,log2_count_plus1,,,,,,,,,,,,,False,,too_few
GSE126044,NSCLC,tertile,CRPR_vs_SDPD,16,0,0,0,log2_count_plus1,,,,,,,,,,,,,False,,too_few
GSE126044,NSCLC,quartile,curated_R_vs_NR,16,16,5,11,log2_count_plus1,1.0,3.0,2.0,2.0,8.0,0.3333333333333333,-1.0986122886681098,1.5275252316519465,0.01669640682806238,6.654791791750173,1.0,False,True,,
GSE126044,NSCLC,quartile,CRPR_vs_PD,16,0,0,0,log2_count_plus1,,,,,,,,,,,,,False,,too_few
GSE126044,NSCLC,quartile,CRPR_vs_SDPD,16,0,0,0,log2_count_plus1,,,,,,,,,,,,,False,,too_few
GSE126044,NSCLC,continuous,curated_R_vs_NR,16,16,5,11,log2_count_plus1,,,,,16.0,0.38253010684655764,-0.9609479181031173,0.6461937288815007,0.1077989213366466,1.3574280784040988,,,True,0.13699117070566352,
GSE126044,NSCLC,continuous,CRPR_vs_PD,16,0,0,0,log2_count_plus1,,,,,0.0,,,,,,,,False,,too_few_or_one_class
GSE126044,NSCLC,continuous,CRPR_vs_SDPD,16,0,0,0,log2_count_plus1,,,,,0.0,,,,,,,,False,,too_few_or_one_class
GSE135222_DCB180,NSCLC,median,curated_R_vs_NR,27,27,7,20,log2_plus1,4.0,10.0,3.0,10.0,27.0,1.3333333333333333,0.28768207245178085,0.8850612031567836,0.2352661421810513,7.556453985672411,1.0,False,True,,
GSE135222_DCB180,NSCLC,median,CRPR_vs_PD,27,0,0,0,log2_plus1,,,,,,,,,,,,,False,,too_few
GSE135222_DCB180,NSCLC,median,CRPR_vs_SDPD,27,0,0,0,log2_plus1,,,,,,,,,,,,,False,,too_few
