genotype,n_cells,pct_Ptprc_pos,pct_Sftpc_pos_AMBIENT_FLAG,n_epi_cluster,n_epi_marker,n_immune_cluster
K,6696,82.81063321385902,76.46356033452808,20,28,5477
KL,7564,82.27128503437335,77.74986779481756,231,170,6180
