genotype,epithelial_definition,n_epi,n_Tacstd2_pos,n_Cldn4_pos,n_both_pos,n_Tacstd2_only,n_Cldn4_only,n_neither,pct_both_of_epi,pct_Cldn4_among_Tacstd2pos,spearman_rho,spearman_p
K,cluster,20,8,1,1,7,0,12,5.0,12.5,0.4266055990780606,0.06068470518866729
K,marker,28,5,1,1,4,0,23,3.5714285714285716,20.0,0.4458906259972199,0.0173991627797491
KL,cluster,231,145,23,20,125,3,83,8.658008658008658,13.793103448275861,0.16493792541684477,0.012057463904776283
KL,marker,170,110,17,14,96,3,57,8.235294117647058,12.727272727272727,0.08614330697176302,0.2640104540645665
