cohort,gene,role,alias,n,spearman_rho,spearman_p,partial_rho,partial_p,partial_n,partial_covariates,spearman_fdr_nectins,partial_fdr_nectins,spearman_fdr_all_partners,partial_fdr_all_partners,primary_label
LUAD,NECTIN1,primary_nectin,PVRL1 / nectin-1,516,0.23126142843479733,1.0801542031970219e-07,0.228774211717915,2.1967470582547797e-07,503,ABSOLUTE purity,1.4402056042626958e-07,2.9289960776730395e-07,1.620231304795533e-07,3.29512058738217e-07,ASSOCIATED_POSITIVE
LUAD,NECTIN2,primary_nectin,PVRL2 / nectin-2 / CD112,516,0.2147960972891436,8.436199764590168e-07,0.22107014637816366,5.649252980514387e-07,503,ABSOLUTE purity,8.436199764590168e-07,5.649252980514387e-07,1.0123439717508201e-06,6.779103576617264e-07,ASSOCIATED_POSITIVE
LUAD,NECTIN3,primary_nectin,PVRL3 / nectin-3,516,0.2356236182839152,6.10167516215975e-08,0.23939046148376544,5.6544073718938444e-08,503,ABSOLUTE purity,1.22033503243195e-07,1.1308814743787689e-07,1.22033503243195e-07,1.1308814743787689e-07,ASSOCIATED_POSITIVE
LUAD,NECTIN4,primary_nectin,PVRL4 / nectin-4 (ADC target),516,0.4803642949384507,3.8131522691364965e-31,0.4744160026390112,1.544157097256089e-29,503,ABSOLUTE purity,1.5252609076545986e-30,6.176628389024356e-29,1.143945680740949e-30,4.632471291768267e-29,ASSOCIATED_POSITIVE
LUAD,PVR,nectin_like,CD155 / NECL5 (nectin-like),516,0.0032761913413133846,0.9408190391103366,-0.003444100937869964,0.9386440934065848,503,ABSOLUTE purity,,,0.9408190391103366,0.9386440934065848,NULL
LUAD,CLDN4,positive_control,"claudin-4 (junction positive control, not a nectin)",516,0.5309540207346253,7.189628573043896e-39,0.5253796875468277,5.762278259380673e-37,503,ABSOLUTE purity,,,4.313777143826338e-38,3.457366955628404e-36,ASSOCIATED_POSITIVE
LUSC,NECTIN1,primary_nectin,PVRL1 / nectin-1,501,0.31596297444950744,4.4586229553900147e-13,0.32075405774276833,3.097925307279977e-13,493,ABSOLUTE purity,8.917245910780029e-13,6.195850614559954e-13,8.917245910780029e-13,6.195850614559954e-13,ASSOCIATED_POSITIVE
LUSC,NECTIN2,primary_nectin,PVRL2 / nectin-2 / CD112,501,0.09212071474580719,0.03928637810016319,0.08778787300149939,0.05165057370471505,493,ABSOLUTE purity,0.05238183746688425,0.06886743160628674,0.04714365372019582,0.06198068844565806,NULL
LUSC,NECTIN3,primary_nectin,PVRL3 / nectin-3,501,-0.030594986787937473,0.4944439056401335,-0.02788663737426782,0.5371673255573761,493,ABSOLUTE purity,0.4944439056401335,0.5371673255573761,0.4944439056401335,0.5371673255573761,NULL
LUSC,NECTIN4,primary_nectin,PVRL4 / nectin-4 (ADC target),501,0.5233355440513395,1.4230006878837595e-36,0.5313962570591798,3.3331417116507807e-37,493,ABSOLUTE purity,5.692002751535038e-36,1.3332566846603123e-36,8.538004127302558e-36,1.9998850269904687e-36,ASSOCIATED_POSITIVE
LUSC,PVR,nectin_like,CD155 / NECL5 (nectin-like),501,0.13434616026910323,0.002584798076712247,0.12708786051439516,0.004754235969965783,493,ABSOLUTE purity,,,0.0038771971150683704,0.007131353954948675,WEAK_POSITIVE
LUSC,CLDN4,positive_control,"claudin-4 (junction positive control, not a nectin)",501,0.39143583748836985,8.587182907798453e-20,0.3879997405295767,4.003923800225008e-19,493,ABSOLUTE purity,,,2.576154872339536e-19,1.2011771400675025e-18,ASSOCIATED_POSITIVE
POOLED,NECTIN1,primary_nectin,PVRL1 / nectin-1,1017,0.3655488344265397,1.6536254873212438e-33,0.3020286473408249,2.0630701494283448e-22,996,ABSOLUTE purity + histology (LUSC vs LUAD),3.3072509746424875e-33,4.1261402988566895e-22,4.960876461963731e-33,4.1261402988566895e-22,ASSOCIATED_POSITIVE
POOLED,NECTIN2,primary_nectin,PVRL2 / nectin-2 / CD112,1017,0.037923045643426564,0.2269204013989648,0.14735499427284404,3.0799013321859476e-06,996,ABSOLUTE purity + histology (LUSC vs LUAD),0.2269204013989648,4.106535109581263e-06,0.2269204013989648,4.619851998278921e-06,WEAK_POSITIVE
POOLED,NECTIN3,primary_nectin,PVRL3 / nectin-3,1017,0.05710377885373875,0.06871174664849983,0.09161100948593945,0.0038433988613802133,996,ABSOLUTE purity + histology (LUSC vs LUAD),0.09161566219799977,0.0038433988613802133,0.10306761997274974,0.004612078633656255,NULL
POOLED,NECTIN4,primary_nectin,PVRL4 / nectin-4 (ADC target),1017,0.5502298373316719,1.499149324990919e-81,0.5222203617364547,1.2311895850028144e-70,996,ABSOLUTE purity + histology (LUSC vs LUAD),5.996597299963676e-81,4.9247583400112575e-70,8.994895949945513e-81,7.387137510016886e-70,ASSOCIATED_POSITIVE
POOLED,PVR,nectin_like,CD155 / NECL5 (nectin-like),1017,0.04477764351034958,0.1535976933826817,0.0624926874461014,0.048872634385882546,996,ABSOLUTE purity + histology (LUSC vs LUAD),,,0.18431723205921804,0.048872634385882546,NULL
POOLED,CLDN4,positive_control,"claudin-4 (junction positive control, not a nectin)",1017,0.28305940313800637,3.4268387597434824e-20,0.43612353711969865,2.0725494652564178e-47,996,ABSOLUTE purity + histology (LUSC vs LUAD),,,6.853677519486965e-20,6.217648395769253e-47,ASSOCIATED_POSITIVE
LUAD,NECTIN_MEAN_Z,secondary_score,,516,0.49909646854540995,7.422767488342944e-34,0.49674308729813343,1.2239297853593037e-32,503,ABSOLUTE purity,7.422767488342944e-34,1.2239297853593037e-32,,,ASSOCIATED_POSITIVE
LUSC,NECTIN_MEAN_Z,secondary_score,,501,0.4107207099744734,8.234316528496941e-22,0.4096037950176912,2.505728211561089e-21,493,ABSOLUTE purity,8.234316528496941e-22,2.505728211561089e-21,,,ASSOCIATED_POSITIVE
POOLED,NECTIN_MEAN_Z,secondary_score,,1017,0.4806573676699578,6.515414822845032e-60,0.44312432846679845,4.634764508321157e-49,996,ABSOLUTE purity + histology,6.515414822845032e-60,4.634764508321157e-49,,,ASSOCIATED_POSITIVE
