cohort,gene,n_tumor,n_normal,median_tumor,median_normal,delta_median,p_mannwhitney_unpaired,n_paired,p_wilcoxon_paired
LUAD,TACSTD2,516,59,9.012643710964152,8.636988873178534,0.3756548377856177,0.007969624828788624,58,0.07432440155740637
LUAD,NECTIN1,516,59,4.206252023256805,3.0666058842044364,1.1396461390523682,5.894270929366425e-19,58,4.053695617109661e-10
LUAD,NECTIN2,516,59,6.933863100925601,6.639939732358917,0.2939233685666842,1.376793844022483e-05,58,0.0007680757063336119
LUAD,NECTIN3,516,59,2.566809367180145,3.434668255614352,-0.8678588884342071,4.836240627002124e-12,58,8.991329998146462e-07
LUAD,NECTIN4,516,59,5.913546648310903,3.792876170322546,2.120670477988357,1.641276171789652e-27,58,7.685258543072309e-10
LUAD,PVR,516,59,4.6100055736144565,4.927545690220931,-0.31754011660647485,0.002515478907550474,58,0.46438107089086034
LUAD,CLDN4,516,59,8.180617052854966,7.016280131215432,1.164336921639534,6.58813620460523e-18,58,8.993574231497771e-09
LUSC,TACSTD2,501,51,9.574978131676652,8.698984845314175,0.8759932863624762,4.832659347468464e-09,51,0.004006438863573213
LUSC,NECTIN1,501,51,7.732220348955186,3.391465294101384,4.340755054853803,1.1666506049199143e-29,51,5.145276051717656e-10
LUSC,NECTIN2,501,51,6.359373576187413,6.629224002622127,-0.26985042643471413,0.0005264729777016613,51,0.6259605267822936
LUSC,NECTIN3,501,51,2.201257456843241,3.339507990190345,-1.138250533347104,1.240114686783966e-10,51,1.999671905109222e-05
LUSC,NECTIN4,501,51,6.517552865629674,3.630615150291048,2.8869377153386258,1.3518602563952093e-27,51,1.0466620052186515e-09
LUSC,PVR,501,51,4.494959558765387,4.9571670629721085,-0.4622075042067211,3.7237021928030926e-06,51,0.0023161742876158064
LUSC,CLDN4,501,51,7.206203644478134,6.808092826403011,0.39811081807512316,0.01362431641921706,51,0.11749642055143679
