cohort,gene,role,split,tacstd2_q1,tacstd2_q3,n_high,n_low,median_high,median_low,delta_median,p_mannwhitney,U,fdr_bh
LUAD,NECTIN1,primary_nectin,Q4_vs_Q1,8.287082720661441,9.649705113214265,129,129,4.498072115475944,3.903992679010081,0.5940794364658628,1.4556136818654268e-06,11208.0,1.940818242487236e-06
LUAD,NECTIN1,primary_nectin,median,9.012643710964152,9.012643710964152,258,258,4.424462892861042,4.00685065119326,0.4176122416677819,9.540569444518996e-06,40780.0,
LUAD,NECTIN2,primary_nectin,Q4_vs_Q1,8.287082720661441,9.649705113214265,129,129,7.047672522804931,6.695084885006228,0.3525876377987034,1.3003886926521873e-05,10934.0,1.3003886926521873e-05
LUAD,NECTIN2,primary_nectin,median,9.012643710964152,9.012643710964152,258,258,7.022294135022483,6.816869681709653,0.20542445331282977,1.3469351030304617e-05,40653.0,
LUAD,NECTIN3,primary_nectin,Q4_vs_Q1,8.287082720661441,9.649705113214265,129,129,2.9943443846262805,2.018883384234708,0.9754610003915727,3.925614630599493e-07,11361.0,7.851229261198986e-07
LUAD,NECTIN3,primary_nectin,median,9.012643710964152,9.012643710964152,258,258,2.9285682138042572,2.2611805765026105,0.6673876373016467,2.030747405156053e-06,41327.0,
LUAD,NECTIN4,primary_nectin,Q4_vs_Q1,8.287082720661441,9.649705113214265,129,129,6.335531490710579,5.024399472068467,1.3111320186421125,1.9611624694998845e-19,13724.0,7.844649877999538e-19
LUAD,NECTIN4,primary_nectin,median,9.012643710964152,9.012643710964152,258,258,6.1621038554653325,5.47538772491443,0.6867161305509022,2.8005635348880775e-17,47600.0,
LUAD,PVR,nectin_like,Q4_vs_Q1,8.287082720661441,9.649705113214265,129,129,4.576250019732357,4.6959103213976805,-0.11966030166532349,0.8674805725750679,8220.0,
LUAD,PVR,nectin_like,median,9.012643710964152,9.012643710964152,258,258,4.6080194638418925,4.612623083735137,-0.004603619893244648,0.5296138657729699,34347.0,
LUAD,CLDN4,positive_control,Q4_vs_Q1,8.287082720661441,9.649705113214265,129,129,8.768097959025432,7.411461838092701,1.3566361209327313,3.861830858323595e-24,14395.0,
LUAD,CLDN4,positive_control,median,9.012643710964152,9.012643710964152,258,258,8.534903031703344,7.755568236124869,0.7793347955784746,4.1465010099553116e-24,50434.0,
LUSC,NECTIN1,primary_nectin,Q4_vs_Q1,8.695153457363416,10.416732620699756,126,126,8.038680064121415,7.052236312407667,0.9864437517137485,6.166886687783357e-11,11722.0,1.2333773375566714e-10
LUSC,NECTIN1,primary_nectin,median,9.574978131676652,9.574978131676652,250,251,7.9790832988112275,7.40909388010776,0.5699894187034671,6.220578056099034e-10,41396.0,
LUSC,NECTIN2,primary_nectin,Q4_vs_Q1,8.695153457363416,10.416732620699756,126,126,6.469658484433909,6.363017501238223,0.10664098319568627,0.09244137787818761,8912.0,0.12325517050425015
LUSC,NECTIN2,primary_nectin,median,9.574978131676652,9.574978131676652,250,251,6.410414587608914,6.304518342879742,0.10589624472917158,0.05265664911802148,34515.0,
LUSC,NECTIN3,primary_nectin,Q4_vs_Q1,8.695153457363416,10.416732620699756,126,126,2.084962758803223,2.2952185293592677,-0.21025577055604483,0.6327072797033253,7661.0,0.6327072797033253
LUSC,NECTIN3,primary_nectin,median,9.574978131676652,9.574978131676652,250,251,2.1102102514115826,2.3041605470013566,-0.19395029558977406,0.6093169817160854,30546.5,
LUSC,NECTIN4,primary_nectin,Q4_vs_Q1,8.695153457363416,10.416732620699756,126,126,7.075055611003598,5.270130508171164,1.804925102832434,2.667838355095113e-24,13823.0,1.0671353420380452e-23
LUSC,NECTIN4,primary_nectin,median,9.574978131676652,9.574978131676652,250,251,6.864750706865923,6.096287157356616,0.7684635495093071,8.838261194063309e-18,45290.0,
