leiden	n_cells	n_units	n_GSE123902	n_GSE189357	n_NORMAL	frac_NORMAL	mean_CLDN4	mean_AT2	mean_barrier_keratin	mean_IFN	mean_dpt
0	651	18	326	325	2	0.0030721966205837174	1.4849493812123018	2.1674602845549216	1.196010389433448	0.34768153160137716	0.10696032643318176
1	665	26	365	300	22	0.03308270676691729	0.7340566083452755	0.8850387359920301	1.057617533916519	0.2603616453022808	0.12524332106113434
2	606	18	190	416	178	0.29372937293729373	1.1989009585415964	3.085532286023051	0.9075239224172925	0.30859807765969016	0.11396943032741547
3	428	19	160	268	75	0.17523364485981308	2.105727450869908	1.3975452091283749	1.3167931141790201	0.2991163478812301	0.10673896968364716
4	425	19	83	342	24	0.05647058823529412	0.021873072455911077	0.05664161945090574	0.5556831829220641	0.2510105852031952	0.2677347958087921
5	191	19	67	124	4	0.020942408376963352	0.08228213242523333	0.1491688002310498	0.449267369017239	0.5074428627129679	0.2029978632926941
6	223	22	170	53	4	0.017937219730941704	0.061484606410355844	0.12205430928768064	0.4314389912625956	0.4275179993732383	0.28878119587898254
7	488	25	193	295	74	0.15163934426229508	0.28016543608219896	0.44052679241314285	0.6397792095715393	0.36076534478390804	0.13235263526439667
8	537	24	225	312	29	0.054003724394785846	0.24703174829483032	0.39827919486403685	0.504151488158882	0.3106582639041424	0.04708237573504448
9	318	17	143	175	116	0.36477987421383645	1.9838551194787775	0.2512117815233252	1.1358268929477506	0.33749584562002816	0.5101603865623474
10	154	18	99	55	5	0.032467532467532464	0.0355914660862514	0.05622010020079551	0.357161940305264	0.32361433669327344	0.07156015187501907
11	317	2	313	4	0	0.0	0.5847135515008063	1.894389018081481	1.3217292877636873	0.43630721025677793	0.433205246925354
12	207	10	189	18	0	0.0	1.7775891207266545	0.7674024032455855	1.444017537586067	0.3175497182868491	0.2955733835697174
13	205	9	141	64	0	0.0	1.7509053409826465	1.1184737487173662	1.926473561983283	0.5241107733633807	0.12528544664382935
14	141	14	53	88	0	0.0	0.12045299415047286	0.4699399038647295	0.3881606267892864	0.22565525064587763	0.06762780249118805
15	476	14	224	252	222	0.46638655462184875	1.2584425905922882	0.2993019245283193	1.722953052173893	0.2808130580426939	0.20517906546592712
16	245	3	241	4	0	0.0	1.0187014202682338	0.08626968404468224	1.5036259416009294	0.31353353556400926	0.33074161410331726
17	237	1	237	0	0	0.0	1.247303470906326	1.8454100481835725	1.7010707055990035	0.38922610240191396	0.9103913903236389
