contrast	n	rho	p
GSE123902-only CLDN4 vs Slingshot PT	13	0.19780219780219782	0.5171309114848299
GSE189357-only CLDN4 vs Slingshot PT	9	0.16666666666666669	0.668231040071504
GSE123902-only CLDN4 vs barrier/keratin (no CLDN4)	13	0.6428571428571429	0.017792450692375714
GSE189357-only CLDN4 vs barrier/keratin (no CLDN4)	9	0.7	0.03576957497026173
GSE123902-only CLDN4 vs IFN	13	0.03296703296703297	0.9148564744875124
GSE189357-only CLDN4 vs IFN	9	0.08333333333333334	0.831214097710308
GSE123902-only barrier vs Slingshot PT	13	-0.26373626373626374	0.38393651665067413
GSE189357-only barrier vs Slingshot PT	9	0.25	0.5164895523012261
GSE123902-only IFN vs Slingshot PT	13	-0.0934065934065934	0.7615000227827017
GSE189357-only IFN vs Slingshot PT	9	-0.35	0.35581957250178897
