unit_id	dataset	patient	tissue	role	n_cells	n_cldn4_low	n_cldn4_mid	n_cldn4_high	thin_arm	mean_CLDN4	mean_TACSTD2	mean_sling_pt	mean_dpt	mean_AT2	mean_club	mean_basal	mean_barrier_keratin	mean_IFN	mean_ifn_isg	mean_malignant_like	pct_CLDN4_pos	mean_SFTPC
GSE123902:LX255B	GSE123902	LX255B	METASTASIS	given	197	119	25	53	False	0.7068325545884631	0.5295789067817823	56.71455770160226	0.12321643531322479	0.6198197915242408		0.170125628032055	0.7757263850994319	0.2530683194122891	0.6473341881076236	0.020892755936850145	0.39593908629441626	
GSE123902:LX653	GSE123902	LX653	PRIMARY	given	139	35	46	58	False	1.2038611627096751	1.6699020549547758	68.86569619757776	0.11131826043128967	1.601927222563423		0.061780115790504346	1.0033911420680066	0.3209389513827485	0.6913927713151907	0.0012531143298252024	0.7482014388489209	
GSE123902:LX661	GSE123902	LX661	PRIMARY	given	112	43	31	38	False	0.9562537270997252	0.7515373096934387	61.23656033948974	0.11932023614645004	1.2945508622963513		0.0712997487613133	0.8471184803527735	0.35273725762442687	0.8176425675779175	0.03975038656166622	0.6160714285714286	
GSE123902:LX666	GSE123902	LX666	METASTASIS	given	335	106	203	26	False	0.5635715400772309	0.05373519405500213	46.1162250986529	0.41752082109451294	1.8042193712750032		0.01555403742327619	1.3170087872971943	0.42912052052722865	0.9394815890307788	0.04024406493599735	0.6835820895522388	
GSE123902:LX675	GSE123902	LX675	PRIMARY	given	324	213	60	51	False	0.5003640947886455	0.5935029182353138	60.057382510403365	0.17752672731876373	0.7649909196835425		0.09096903409119006	0.8556915907181586	0.37747431995614095	0.8501010442843582	0.017112658899507405	0.3425925925925926	
GSE123902:LX675_NORMAL	GSE123902	LX675	NORMAL	root_pool	157	93	15	49	False	0.7749631351726071	0.8566022993652684	71.90042844475218	0.21208587288856506	1.1466378618482571		0.011344855758035259	0.8584078874304542	0.29941941785559834	0.6257982616862782	0.0	0.40764331210191085	
GSE123902:LX676	GSE123902	LX676	PRIMARY	given	145	83	17	45	False	0.8713484620225841	0.9389990724366287	45.18430350796227	0.15669502317905426	0.1731082974836744		0.17753524924146719	0.9985362454049888	0.3174194091129518	0.8146580830289812	0.0076416114280963765	0.42758620689655175	
GSE123902:LX679	GSE123902	LX679	PRIMARY	given	315	162	64	89	False	0.8056089849699111	0.708916795821417	49.0480871443784	0.2882854640483856	0.10829856066949783		0.02546195170236012	1.2896243381279486	0.3026750853610417	0.8365218115817034	0.02444048627974495	0.4857142857142857	
GSE123902:LX680	GSE123902	LX680	PRIMARY	given	219	36	37	146	False	1.6150554911186705	0.16412763630962807	47.9368477925827	0.27300965785980225	0.753558022016872		0.14265132610384187	1.2962389577582727	0.29741267608402855	0.7071324413264413	0.17278794991915628	0.8356164383561644	
GSE123902:LX681	GSE123902	LX681	METASTASIS	given	270	53	122	95	False	1.1319306414436412	1.0174633359467542	53.63450676569556	0.8231717944145203	1.695000896168252		0.04044030750239337	1.6355099976154757	0.37840353626241957	0.6467665075874729	0.004864755272865296	0.8037037037037037	
GSE123902:LX682	GSE123902	LX682	PRIMARY	given	320	254	15	51	False	0.43461232096888125	0.4417063155211508	47.766226386766924	0.14729681611061096	0.08525669096270576		0.10919995426665992	0.8742222494911402	0.48470057139360423	1.1615020433596026	0.04158469010144472	0.20625	
GSE123902:LX682_NORMAL	GSE123902	LX682	NORMAL	root_pool	190	82	19	89	False	1.2419797247961948	0.98694258567534	59.815517879337236	0.23560823500156403	0.619172282360102		0.006139534398129112	1.0681316794272055	0.3730634837285605	0.8601923495381696	0.0	0.5684210526315789	
GSE123902:LX684	GSE123902	LX684	PRIMARY	given	166	41	74	51	False	1.0625815585435154	0.6876548122928803	70.02539182555704	0.10844288021326065	2.4324516744678277		0.47108906507492065	1.0160567641677145	0.3300963079341189	0.673243930421201	0.011220702923924089	0.7530120481927711	
GSE123902:LX684_NORMAL	GSE123902	LX684	NORMAL	root_pool	142	55	35	52	False	1.0443915821297067	0.6018565171201464	77.62964334294045	0.15765206515789032	1.9725035551778027		0.0	0.7807354208589159	0.2938608583302419	0.5178993302331844	0.006220931318444266	0.6126760563380281	
