lineage_id	start_cluster	end_cluster	path	n_clusters	n_cells_finite_pt	pt_min	pt_max	mean_CLDN4	mean_barrier	mean_IFN	mean_AT2	rho_CLDN4	p_rho_CLDN4	n_rho_CLDN4	rho_barrier	p_rho_barrier	n_rho_barrier	rho_IFN	p_rho_IFN	n_rho_IFN	rho_AT2	p_rho_AT2	n_rho_AT2
Lineage1	8	2	8->1->13->0->2	5	2698	0	84.9426106093327	1.0037792363184042	1.0113079971425587	0.32238488711313346	1.6151571693527116	0.422	9.978188445367147e-117	2698	0.279	1.8781660628502e-49	2698	0.145	4.117801907227241e-14	2698	0.831	0.0	2698
Lineage2	8	3	8->1->13->0->3	5	2542	0	85.3846692251355	1.1447238125651489	1.0899411699532633	0.32189723176178425	1.244262993809079	0.612	2.88926187619273e-261	2542	0.523	2.3386168452589583e-178	2542	0.176	3.720272506293328e-19	2542	0.546	1.2500305578896906e-197	2542
Lineage3	8	11	8->1->12->11	4	1751	0	103.208782522389	0.6791538485309384	0.9779199478247496	0.3145289434653743	0.9099500955921251	0.456	8.465931718582515e-91	1751	0.663	7.541988902131534e-222	1751	0.323	8.213594015022581e-44	1751	0.529	6.821921182709687e-127	1751
Lineage4	8	6	8->5->6	3	951	0	197.215042169181	0.17043428323559706	0.4760781405627456	0.3775831633595515	0.28347558302552167	-0.018	0.5780802871617946	951	0.042	0.1919313036758277	951	0.366	1.3809839769126542e-31	951	0.047	0.1497802172631011	951
Lineage5	8	15	8->1->15	3	1713	0	104.476799176516	0.7271371476669723	1.0637021172189323	0.28197591750944	0.5797039901895337	0.417	4.635250160680906e-73	1713	0.663	1.284826236721654e-217	1713	-0.08	0.0009007800037287886	1713	0.077	0.0014670749766166166	1713
Lineage6	8	16	8->1->16	3	1466	0	87.4405723562449	0.598437121852033	0.9254473426521991	0.28818259589244577	0.5824087361562463	0.395	6.01868093296359e-56	1466	0.669	1.3348448271745944e-190	1466	0.021	0.41487084738273083	1466	0.036	0.17177398843982655	1466
Lineage7	8	17	8->1->17	3	1467	0	87.5602339573209	0.6355456275523887	0.9542421174862661	0.2997142275028168	0.8699692052629685	0.468	8.080330392917648e-81	1467	0.701	2.898264746008495e-217	1467	0.163	3.108221262115279e-10	1467	0.515	6.049978354691727e-100	1467
Lineage8	8	4	8->4	2	962	0	83.015326934771	0.14755936032025582	0.5269175695251527	0.2843066386984225	0.24734783358484694	-0.11	0.0006256000889258579	962	0.251	2.9574700832878278e-15	962	-0.293	1.9475069207298997e-20	962	-0.105	0.0011417398787991807	962
Lineage9	8	7	8->7	2	1025	0	135.230174257935	0.2628066162365239	0.5687235155241276	0.33451412289860644	0.4183931730142454	0.08	0.0101264209730037	1025	0.289	3.275424400022101e-21	1025	0.291	1.8301856846504288e-21	1025	0.188	1.3458635333094483e-09	1025
Lineage10	8	9	8->9	2	857	0	116.922900042264	0.8909241269878356	0.7393236807154477	0.3204215301533285	0.34469502177545874	0.682	3.750651112843059e-118	857	0.635	7.00963981769668e-98	857	0.049	0.15459324680256237	857	0.129	0.00014802529453303702	857
Lineage11	8	10	8->10	2	692	0	86.4581306476835	0.19962013672197484	0.4711143766998211	0.31348323286118956	0.3215806691805062	0.021	0.5806606825098286	692	0.094	0.013074031414596428	692	-0.026	0.49642893600870336	692	0.102	0.0072511111485712995	692
Lineage12	8	14	8->14	2	678	0	74.0877792602262	0.2207078480966675	0.480029494865205	0.2929806461026449	0.4131820856739154	0.049	0.19822803842755193	678	0.072	0.06120686339419908	678	-0.404	5.444526962452211e-28	678	0.279	1.3376604496518624e-13	678
