from	to	weight	gain
0	2	3.46237090641698	0.24574566994046
0	3	2.95243630852399	0.121921750254443
0	13	3.30261566282386	0.00296336372787181
1	8	3.3559666289194	0.0614024564163001
1	12	3.6504937602644	0.314457715287253
1	13	3.04651482977515	0.0872760176392661
1	15	3.94352404949115	0.0672865184049217
1	16	3.37200617788124	0.46311406278727
1	17	6.27347096372628	0.127929778506965
4	8	4.89045573336979	0.0627701814912939
5	6	4.76211552249765	0.061352073524745
5	8	4.48498326638186	0.0502107807272594
7	8	3.13240466882183	0.137155507653289
8	9	4.31609230937091	0.0874553900333875
8	10	4.63485415525801	0.0596303144905512
8	14	3.26026908394731	0.12324496796286
11	12	5.0547912087216	0.0528059706949525
