geneset	call	mean_lfc	median_lfc	mean_lfc_shrunk	median_T47D	median_MCF7	mean_T47D	mean_MCF7	frac_lfc_pos	n_tested	n_panel	NES	fdr	nes_rank	overlap_up_rank	overlap_up_tail	overlap_down_tail	fdr_down	set_in_universe	mw_p	mw_median_minus_background	n_up_0.25	n_down_0.25
Interferon Alpha Response	weak	-0.12271159169276252	-0.04730884704537277	-0.09126507325969266	-0.1631444367257945	0.055770192590056465	-0.24666280798739817	-0.021528052030030845	0.43478260869565216	92	97	-1.492342760351007	0.03519824644429406	43	37	7	17	0.02867068877600421	92	0.13133836013591751	-0.05211186635264806	18	24
Interferon Gamma Response	weak	-0.0759909670684959	-0.05930841430460022	-0.046689461808091554	-0.12008934359670373	-0.004157991932373883	-0.16851568879563372	-0.044216302315332794	0.4340659340659341	182	200	-1.3982991031535987	0.03882519245561468	37	34	16	28	0.03693898819758226	182	0.05162050118345897	-0.06420543095803949	36	47
MHC-I/APM	null	0.02827860365944837	-0.09676359887387784	0.025176104930437336	-0.21635720507556408	0.015114662180368664	-0.1261157489815576	0.13293952061101955	0.35	20	22	-1.197136222957075	0.22977941176470587	1	1	3	3	0.3229973340624785	20	0.4875685410819086	-0.10143478525801282	3	4
Tight junction (excluding CLDN4)	down	-0.31946946861390985	-0.11336194638330775	-0.05150641954204084	-0.2891889423591008	-0.17046807455643884	-0.27820683184884526	-0.2727544726549119	0.2857142857142857	28	31	-1.7642791409613485	0.007865431717007553	2	2	0	5	0.28382988604591564	28	0.023756043233231626	-0.11816496569058305	5	9
Apical Junction	weak	-0.11236351738057042	-0.06350657636683248	-0.05223501180568085	-0.06831342604868738	-0.08234399616039689	-0.09134343635492678	-0.11675499822117333	0.375	184	200	-1.4152582606825	0.03519824644429406	39	49	11	29	0.02867068877600421	184	0.0014894559286977777	-0.06893282779474239	28	50
Cholesterol Homeostasis	weak	-0.04426462945763716	-0.03367398554944581	-0.06031626366678379	-0.015366109516559376	-0.03832055398567223	-0.03509306442793032	-0.06725903121214692	0.3835616438356164	73	74	-1.538927689509981	0.032768480048269495	46	24	9	17	0.005523269833923834	73	0.3070122448990501	-0.03853074304137314	9	15
Inflammatory Response	null	-0.022737193045419494	0.028289916300108815	-0.018758505175919073	0.033389263919207386	-0.020749381027979658	0.0017418198308717366	-0.08109961810787605	0.5257142857142857	175	200	-0.7972392245005204	0.9312169312169312	19	44	12	14	0.8668518617592839	175	0.4313031832557165	0.023919043593780605	46	45
