nes_rank	Name	geneset	ES	NES	pval	fdr	tag_pct	gene_pct	lead_genes	log2err	n_genes_ranked
22	prerank	TNF-alpha Signaling via NF-kB	-0.2852797066999533	-1.024454721878439	0.40783744557329465	0.49736273850401785	49/174	20.01%	SAT1;NAMPT;ACKR3;SQSTM1;KLF4;B4GALT1;FOSL2;DRAM1;PTGER4;EFNA1;NFKBIA;JUN;IER3;FUT4;NR4A1;BCL3;PFKFB3;NFKB2;DUSP1;ID2;LITAF;IRF1;PDLIM5;KYNU;ATF3;ZFP36;JUNB;IFIH1;CD44;RHOB;TNFAIP2;B4GALT5;TNIP2;BIRC3;IER2;DUSP5;TRIB1;RELB;STAT5A;DUSP4;VEGFA;TNIP1;CLCF1;NINJ1;NFKBIE;MAFF;CEBPB;BCL6;IRS2	0.07307443991269866	17145
23	prerank	IL-2/STAT5 Signaling	-0.291720763293249	-1.0475849014387684	0.36429608127721336	0.4553701015965167	33/174	13.79%	XBP1;P4HA1;ARL4A;NRP1;ALCAM;IGF1R;NDRG1;CA2;GSTO1;SLC39A8;PHTF2;CKAP4;LRIG1;FURIN;ABCB1;AHCY;HK2;SOCS2;SLC1A5;AHNAK;SERPINB6;IL4R;PLEC;FAH;P2RX4;HIPK2;DHRS3;PTRH2;SYNGR2;CD44;RHOB;PLAGL1;PTH1R	0.07892096381800345	17145
24	prerank	p53 Pathway	-0.288159239565757	-1.0496020343397494	0.3433048433048433	0.45171689908532014	46/191	15.88%	SDC1;INHBB;TXNIP;SAT1;RPS12;PERP;STOM;KLF4;H2AJ;HINT1;SLC19A2;DRAM1;WWP1;RAB40C;NDRG1;CTSF;H1-2;CD82;KIF13B;JUN;IER3;PLXNB2;OSGIN1;DDIT4;ST14;IRAK1;VAMP8;ITGB4;NOTCH1;STEAP3;FAM162A;DCXR;CEBPA;ATF3;RPL36;TOB1;PHLDA3;PMM1;SP1;EPHA2;CDH13;CD81;COQ8A;RAD51C;POM121;EPHX1	0.08108020575508665	17145
25	prerank	Apical Junction	-0.3002999194184725	-1.0809321544736548	0.2811594202898551	0.4114420062695925	55/175	23.93%	CLDN4;EVL;AMIGO2;CLDN7;MYH10;NECTIN3;B4GALT1;CRAT;ITGB1;ITGA2;SGCE;LAMA3;PKD1;INSIG1;PCDH1;ADAM15;NECTIN4;NECTIN2;SHC1;ITGB4;TIAL1;PTEN;PLCG1;AKT2;EXOC4;TJP1;ZYX;AMH;VASP;CLDN15;MAPK11;CAP1;NECTIN1;ACTB;SYK;NRTN;MYL12B;SYMPK;SDC3;THBS3;SPEG;ICAM5;VAV2;AMIGO1;JAM3;LAMB3;PECAM1;HADH;CTNND1;MDK;VWF;RRAS;RHOF;TGFBI;ARHGEF6	0.09314545753378038	17145
26	prerank	Xenobiotic Metabolism	-0.2996728802451498	-1.0834604548774476	0.2926829268292683	0.4114420062695925	40/177	16.58%	FBP1;POR;BLVRB;MAN1A1;IGFBP4;AOX1;CROT;SPINT2;CSAD;CYP2J2;CA2;GSTO1;TNFRSF1A;AHCY;TKFC;SLC1A5;HES6;RAP1GAP;ASL;BPHL;FAH;TMEM97;CYB5A;ID2;ECH1;PDLIM5;KYNU;LPIN2;DCXR;BCAR1;ESR1;PMM1;ACOX3;PSMB10;ACO2;EPHA2;EPHX1;GNMT;DHPS;PDK4	0.09026354843400683	17145
27	prerank	IL-6/JAK/STAT3 Signaling	-0.3539451457222795	-1.106437626521902	0.2962382445141066	0.4114420062695925	16/65	18.87%	CD9;TNFRSF12A;TNFRSF1A;IL17RB;JUN;IL4R;IRF1;PTPN1;IL10RB;LTBR;CD44;IL7;IL13RA1;IL9R;IL17RA;INHBE	0.09466462231533426	17145
28	prerank	heme Metabolism	-0.3221569216657388	-1.1614001013575213	0.1546242774566474	0.286341254549347	46/176	19.06%	AQP3;BLVRB;DCAF10;MKRN1;BCAM;BLVRA;SLC2A1;EIF2AK1;HAGH;H1-0;NCOA4;CA2;IGSF3;FBXO7;UROS;PIGQ;MOCOS;ABCB6;NR3C1;RAP1GAP;NUDT4;SELENBP1;SIDT2;PGLS;MARCHF8;HDGF;NFE2L1;KDM7A;LPIN2;ASNS;ALDH6A1;KLF3;BTRC;MARCHF2;LRP10;GDE1;TENT5C;E2F2;SLC10A3;KHNYN;HMBS;FBXO34;BPGM;PPOX;H4C3;FECH	0.13214726060877427	17145
29	prerank	UV Response Up	-0.32743585490518284	-1.1627274493068407	0.16500711237553342	0.29465555781345254	29/150	13.88%	AQP3;NAT1;PPT1;PDAP1;SQSTM1;PPIF;TST;RET;CTSV;PLCL1;CA2;ATP6V1F;CREG1;NFKBIA;PARP2;FURIN;ABCB1;NR4A1;POLR2H;IRF1;ATF3;ASNS;YKT6;JUNB;HYAL2;STARD3;RHOB;SPR;ALDOA	0.12625398784911535	17145
30	prerank	Apical Surface	-0.4064059169563903	-1.1751699332226146	0.2535885167464115	0.38422502537335074	9/40	9.88%	HSPB1;EPHB4;ATP6V0A4;B4GALT1;LYPD3;ATP8B1;BRCA1;SULF2;ADIPOR2	0.10512513159700079	17145
31	prerank	Bile Acid Metabolism	-0.35523465093823625	-1.186259712710571	0.19364599092284418	0.3147128245476003	20/99	11.43%	PEX11A;PEX1;GSTK1;PNPLA8;CROT;IDH2;EPHX2;PXMP2;HSD3B7;AR;BCAR3;PEX6;DHCR24;MLYCD;ABCA3;PEX26;SLC29A1;ATXN1;SLC27A5;ABCA2	0.11934844059101545	17145
