symbol	dropped_ensg	kept_ensg
5S_rRNA	ENSG00000283454	ENSG00000275780
5S_rRNA	ENSG00000285609	ENSG00000275780
5S_rRNA	ENSG00000285626	ENSG00000275780
5S_rRNA	ENSG00000285674	ENSG00000275780
5S_rRNA	ENSG00000285776	ENSG00000275780
5S_rRNA	ENSG00000285912	ENSG00000275780
5S_rRNA	ENSG00000288601	ENSG00000275780
AAAS	ENSG00000291836	ENSG00000094914
AADACL2	ENSG00000261846	ENSG00000197953
AATF	ENSG00000276072	ENSG00000275700
ABCB10P1	ENSG00000280461	ENSG00000274099
ABCB10P1	ENSG00000281173	ENSG00000274099
ABCB10P3	ENSG00000261524	ENSG00000282479
ABCB10P4	ENSG00000274192	ENSG00000260053
ABCB10P4	ENSG00000282004	ENSG00000260053
ABCB11	ENSG00000276582	ENSG00000073734
ABCC1	ENSG00000278183	ENSG00000103222
ABCC6	ENSG00000091262	ENSG00000275331
ABCC6P2	ENSG00000273808	ENSG00000255277
ABCD1P2	ENSG00000288143	ENSG00000215151
ABCD1P4	ENSG00000288394	ENSG00000225293
ABCF1	ENSG00000206490	ENSG00000204574
ABCF1	ENSG00000225989	ENSG00000204574
ABCF1	ENSG00000231129	ENSG00000204574
ABCF1	ENSG00000232169	ENSG00000204574
ABCF1	ENSG00000236149	ENSG00000204574
ABCF1	ENSG00000236342	ENSG00000204574
ABHD16A	ENSG00000204427	ENSG00000206403
ABHD16A	ENSG00000224552	ENSG00000206403
ABHD16A	ENSG00000230475	ENSG00000206403
ABHD16A	ENSG00000231488	ENSG00000206403
ABHD16A	ENSG00000235676	ENSG00000206403
ABHD16A	ENSG00000236063	ENSG00000206403
ABO	ENSG00000281879	ENSG00000175164
ABR	ENSG00000159842	ENSG00000276016
ABR	ENSG00000278741	ENSG00000276016
ABT1	ENSG00000292169	ENSG00000146109
ACACA	ENSG00000278540	ENSG00000275176
ACAP1	ENSG00000288169	ENSG00000072818
ACER2P1	ENSG00000283169	ENSG00000180105
ACR	ENSG00000291368	ENSG00000100312
ACTG1	ENSG00000291420	ENSG00000184009
ACTG1P15	ENSG00000291988	ENSG00000259904
ACTN4	ENSG00000282844	ENSG00000130402
ACTR1B	ENSG00000291597	ENSG00000115073
ACTR3BP5	ENSG00000288338	ENSG00000227264
ACTR3BP6	ENSG00000288272	ENSG00000280263
ADAM18	ENSG00000278548	ENSG00000168619
ADAM2	ENSG00000104755	ENSG00000276286
ADAM32	ENSG00000275594	ENSG00000197140
ADAM6	ENSG00000282626	ENSG00000271968
ADAM9	ENSG00000282230	ENSG00000168615
ADAMTS12	ENSG00000281690	ENSG00000151388
ADAMTS13	ENSG00000281244	ENSG00000160323
ADAMTS7P1	ENSG00000281976	ENSG00000274376
ADAMTSL3	ENSG00000291606	ENSG00000156218
