sample	srr	gsm	cell_line	condition	n_processed	n_pseudoaligned	p_pseudoaligned	p_unique	fraction_tx_without_symbol
T47D_WT_1	SRR20029125	GSM6310640	T47D	WT	44062012	17203346	39.0	5.4	0.0151
T47D_WT_2	SRR20029124	GSM6310641	T47D	WT	45214824	17590221	38.9	5.4	0.0151
T47D_KO_1	SRR20029123	GSM6310642	T47D	KO	44424212	18234469	41.0	5.0	0.0151
T47D_KO_2	SRR20029122	GSM6310643	T47D	KO	44387540	17265848	38.9	5.0	0.0151
MCF7_WT_1	SRR20029121	GSM6310644	MCF7	WT	46699152	18358145	39.3	5.0	0.0151
MCF7_WT_2	SRR20029120	GSM6310645	MCF7	WT	45458325	18312859	40.3	5.1	0.0151
MCF7_KO_1	SRR20029119	GSM6310646	MCF7	KO	47026612	20643425	43.9	5.8	0.0151
MCF7_KO_2	SRR20029118	GSM6310647	MCF7	KO	44087640	19457490	44.1	5.6	0.0151
