nes_rank	Name	geneset	ES	NES	pval	fdr	tag_pct	gene_pct	lead_genes	log2err	n_genes_ranked
33	prerank	IL-6/JAK/STAT3 Signaling	-0.40539208874511634	-1.2836137369925729	0.0890909090909091	0.1436950146627566	16/69	12.95%	CD9;IL1R1;BAK1;SOCS3;IFNAR1;PTPN1;TNFRSF12A;IL17RA;IL6ST;LTBR;IFNGR2;TNFRSF1A;JUN;IL13RA1;IL10RB;IL4R	0.20207170902115992	17383
34	prerank	KRAS Signaling Dn	-0.36948058840831344	-1.291643139148981	0.07191780821917808	0.13318112633181126	10/141	5.30%	SLC6A14;SELENOP;EFHD1;SIDT1;EDN1;ADRA2C;PTPRJ;SKIL;SYNPO;SLC16A7	0.21925034670375515	17383
35	prerank	Complement	-0.3637580594357351	-1.2971650062398221	0.05132450331125828	0.1069260485651214	43/175	18.11%	CLU;KYNU;CSRP1;LGALS3;CD55;CALM1;CA2;GATA3;CTSH;DGKH;PFN1;GNAI2;MMP15;BRPF3;RASGRP1;ATOX1;USP16;EHD1;PRDM4;S100A13;CD46;GMFB;PDP1;PSEN1;PHEX;ANXA5;CTSL;LTF;COL4A2;RABIF;SRC;PDGFB;PRKCD;APOC1;USP8;TIMP1;DYRK2;CTSB;DOCK10;ADRA2B;PPP2CB;CDH13;CCL5	0.25720646646883816	17383
36	prerank	Xenobiotic Metabolism	-0.36424953993857695	-1.2984140014013383	0.04991680532445923	0.1069260485651214	31/177	9.42%	KYNU;NQO1;MT2A;FBP1;COMT;IL1R1;ALDH9A1;CA2;CYP2J2;TMBIM6;GART;DDC;PINK1;ACO2;SHMT2;RAP1GAP;GSTM4;GSR;CNDP2;MTHFD1;ABCC2;ATP2A2;PGD;ACOX3;FAH;ID2;CROT;SLC6A12;NINJ1;VTN;DDT	0.26166352171157314	17383
37	prerank	Apoptosis	-0.375215610408146	-1.3093732876890776	0.05709342560553633	0.10979504924141602	38/143	13.27%	CLU;KRT18;TIMP3;LGALS3;RHOB;SOD1;ERBB3;HSPB1;PEA15;APP;IFITM3;VDAC2;SPTAN1;MCL1;CDKN1B;LMNA;TNFRSF12A;BID;GSR;TSPO;DNM1L;BMF;SQSTM1;DAP3;BCL2L1;MADD;CASP2;PTK2;JUN;BIK;PSEN1;DNAJC3;XIAP;SMAD7;AIFM3;TNFSF10;IGF2R;ETF1	0.24891111443470246	17383
38	prerank	Apical Surface	-0.45286177285689755	-1.326084925136406	0.08670520231213873	0.1436950146627566	6/42	2.17%	ADIPOR2;CRYBG1;HSPB1;APP;GATA3;ATP6V0A4	0.21140018938492272	17383
39	prerank	Adipogenesis	-0.37592385782507654	-1.348568958374754	0.02307361133079314	0.060720029817876685	41/192	9.89%	HSPB8;REEP5;ADIPOR2;SOD1;MGST3;CYP4B1;SLC25A1;PFKL;FZD4;ATP5PO;DNAJC15;LIFR;ESYT1;ARL4A;ECHS1;SDHC;SLC5A6;ADCY6;ACO2;BCL2L13;APLP2;CS;MCCC1;ACAA2;AGPAT3;PPP1R15B;TALDO1;CD151;RMDN3;SLC19A1;FAH;ATP1B3;MGLL;ITSN1;UQCRC1;SQOR;UCK1;DDT;TKT;BCL6;DECR1	0.35248785758361917	17383
40	prerank	Epithelial Mesenchymal Transition	-0.38832220902753956	-1.370280609352309	0.017249338471876468	0.051772888091983646	24/165	7.67%	COL12A1;SDC4;PMP22;TIMP3;QSOX1;RHOB;THBS1;SGCG;MATN2;FLNA;LGALS1;DKK1;SERPINH1;COPA;LAMA3;TNFRSF12A;VCAN;TPM4;COLGALT1;MGP;NT5E;VIM;MATN3;ID2	0.35248785758361917	17383
41	prerank	Apical Junction	-0.39080716435545265	-1.3936223944455834	0.015742038568816022	0.051772888091983646	49/175	16.68%	MYH9;MYL12B;CLDN4;CTNNA1;INSIG1;PIK3R3;EPB41L2;CDH1;CERCAM;NECTIN2;ACTN4;PARVA;CTNND1;LAMA3;RSU1;CNN2;ITGB4;VCAN;PFN1;GNAI2;YWHAH;SYK;MPZL1;NECTIN4;RASA1;GNAI1;VCL;ACTN1;BMP1;PTK2;CLDN9;CDH3;CD276;ITGA3;TSC1;TRAF1;LAMB3;EXOC4;TSPAN4;SRC;TNFRSF11B;ADAM15;TGFBI;RRAS;CD274;VASP;ARHGEF6;VWF;ICAM1	0.35248785758361917	17383
42	prerank	Pperoxisome	-0.42397067412038897	-1.4122480501000383	0.03662755339246091	0.08324443952832025	33/97	15.97%	CRABP2;ABCC5;SOD1;IDH2;DHCR24;ALDH9A1;STS;IDI1;GSTK1;HSD17B4;PRDX1;ISOC1;PABPC1;SMARCC1;YWHAH;MSH2;TSPO;IDE;CLN8;ECH1;VPS4B;ABCB4;ABCD1;FDPS;CLN6;HSD3B7;MLYCD;EPHX2;PEX6;NUDT19;RETSAT;HSD11B2;ESR2	0.3217759180753611	17383
43	prerank	TNF-alpha Signaling via NF-kB	-0.4004554299859863	-1.4298223421757572	0.009635977650018938	0.03841723631036435	42/176	10.79%	KYNU;ACKR3;SDC4;RHOB;TSC22D1;ZBTB10;DUSP2;NFKBIA;JAG1;PLK2;DRAM1;EDN1;PLPP3;LITAF;LDLR;SOCS3;REL;MCL1;HES1;EFNA1;BTG1;NFAT5;MARCKS;TGIF1;IL6ST;TRIB1;PHLDA1;KLF6;SQSTM1;ID2;IER5;EHD1;BCL3;NINJ1;SIK1;JUNB;BCL6;IFNGR2;SLC2A6;SMAD3;JUN;TNFAIP2	0.3807304007227925	17383
44	prerank	Androgen Response	-0.4446392610951261	-1.4748864009534535	0.010447930194556301	0.03841723631036435	27/96	9.15%	SELENOP;INPP4B;NCOA4;SCD;TSC22D1;DHCR24;KRT8;ZBTB10;SLC26A2;INSIG1;LIFR;ACSL3;ADAMTS1;IDI1;PTPN21;MYL12A;UAP1;TMPRSS2;HMGCS1;APPBP2;ARID5B;GSR;CENPN;ABCC4;SLC38A2;ACTN1;IQGAP2	0.3807304007227925	17383
45	prerank	UV Response Dn	-0.45689608847160085	-1.5954125501078797	0.002318963418207279	0.01288313010115155	30/134	10.59%	MMP16;TFPI;EFEMP1;PMP22;INPP4B;ANXA2;DYRK1A;INSIG1;PIK3R3;PLPP3;RXRA;PTPN21;LDLR;RND3;SYNE1;CDKN1B;KALRN;PLCB4;KCNMA1;RBPMS;NR3C1;NEK7;BMPR1A;ATRX;MGLL;SLC7A1;DMAC2L;RUNX1;SIPA1L1;SMAD3	0.4317076958033465	17383
46	prerank	Angiogenesis	-0.6003910309047337	-1.6281676666420233	0.02530730416249136	0.0632682604062284	9/29	10.17%	KCNJ8;APP;JAG1;STC1;VCAN;FGFR1;PDGFA;VTN;PTK2	0.35248785758361917	17383
47	prerank	Hedgehog Signaling	-0.5945990658411311	-1.6408877500138632	0.010756826166902019	0.03841723631036435	8/32	8.17%	MYH9;UNC5C;L1CAM;ADGRG1;HEY1;RASA1;TLE1;AMOT	0.3807304007227925	17383
48	prerank	TGF-beta Signaling	-0.5410946240384099	-1.6453084996062648	0.009371821142582296	0.03841723631036435	26/52	15.43%	THBS1;BMPR2;CDH1;BCAR3;ID3;SKIL;TRIM33;TGIF1;RHOA;BMPR1A;ID2;JUNB;IFNGR2;SMAD3;UBE2D3;SMAD6;XIAP;PPM1A;FURIN;FNTA;SMAD7;FKBP1A;APC;PPP1CA;HDAC1;SLC20A1	0.3807304007227925	17383
49	prerank	Cholesterol Homeostasis	-0.5486793214930547	-1.75503419032575	0.001103480851713252	0.007882006083666087	24/73	12.22%	CLU;CD9;LGALS3;SCD;LSS;NIBAN1;S100A11;JAG1;SQLE;IDI1;LDLR;TNFRSF12A;HMGCS1;MVK;TRIB3;ANTXR2;CYP51A1;GUSB;GNAI1;ACSS2;ECH1;FDPS;ATF5;ANXA5	0.4550598673872297	17383
50	prerank	Reactive Oxygen Species Pathway	-0.6004754550126901	-1.8036792599674583	0.0019220183934102876	0.012012614958814297	17/48	10.97%	NQO1;PRDX6;MGST1;SOD1;NDUFS2;PDLIM1;PRDX2;PRDX1;GLRX2;GSR;ATOX1;EGLN2;JUNB;NDUFB4;SCAF4;FTL;TXNRD2	0.4550598673872297	17383
