overlap_up_rank	family	geneset	set_in_universe	set_size_gmt	tail_n	universe_n	overlap_up_tail	hypergeom_p_up	overlap_down_tail	hypergeom_p_down	fdr_up	fdr_down
1	hallmark	Myc Targets V1	199	200	1881	18812	54	4.8947258129278165e-12	13	0.9670105643239204	2.447362906463908e-10	0.9670105643239204
2	hallmark	mTORC1 Signaling	199	200	1881	18812	48	5.40806232961425e-09	24	0.19360146700351535	1.3520155824035625e-07	0.29333555606593237
3	hallmark	Estrogen Response Early	198	200	1881	18812	40	1.1759537449337395e-05	28	0.0380910071350586	0.00019599229082228992	0.08216513105202129
4	hallmark	Protein Secretion	95	96	1881	18812	22	0.00013651451998160504	7	0.8495148245240982	0.001706431499770063	0.8668518617592839
5	hallmark	Hypoxia	185	200	1881	18812	33	0.0007267210053235541	28	0.017219030378662032	0.007013932175121449	0.04304757594665508
6	hallmark	p53 Pathway	194	200	1881	18812	34	0.0008416718610145739	30	0.010550973873792955	0.007013932175121449	0.031032276099391045
7	hallmark	E2F Targets	200	200	1881	18812	34	0.0014467366652780587	22	0.35093493754006005	0.010333833323414704	0.48740963547230565
8	hallmark	Estrogen Response Late	195	200	1881	18812	33	0.0018183697667656575	31	0.0063668390992239815	0.01136481104228536	0.024487842689323004
9	hallmark	UV Response Up	152	158	1881	18812	27	0.0022424268586943943	21	0.07950814511563148	0.012457926992746636	0.1472373057696879
10	hallmark	Glycolysis	197	200	1881	18812	30	0.012967168536767826	27	0.05688371596331574	0.0630248213151364	0.10939176146791489
11	hallmark	Mitotic Spindle	198	199	1881	18812	30	0.013865460689330008	22	0.33317644602410484	0.0630248213151364	0.48740963547230565
12	hallmark	Pancreas Beta Cells	28	40	1881	18812	7	0.017817550781592518	2	0.7850148725303154	0.07423979492330215	0.8351222048194845
13	hallmark	Unfolded Protein Response	111	113	1881	18812	18	0.02682375009286012	10	0.6826403616897352	0.10316826958792354	0.783850881473094
14	hallmark	heme Metabolism	179	200	1881	18812	26	0.033425913221484006	30	0.003310741607357353	0.11937826150530002	0.020692135045983457
15	hallmark	PI3K/AKT/mTOR  Signaling	100	105	1881	18812	16	0.03943926290497022	16	0.03943926290497022	0.1268923224361089	0.08216513105202129
16	hallmark	DNA Repair	149	150	1881	18812	22	0.040605543179554844	20	0.10655874448762805	0.1268923224361089	0.18372197325453113
17	hallmark	G2-M Checkpoint	198	200	1881	18812	27	0.05985098577830362	30	0.013865460689330008	0.1760323111126577	0.03693898819758226
18	hallmark	Spermatogenesis	104	135	1881	18812	15	0.09381837174836789	11	0.4694110652745724	0.26060658818991084	0.6018090580443235
19	hallmark	Androgen Response	98	100	1881	18812	14	0.1091162405217574	16	0.03348740405338665	0.27906251164279894	0.07610773648496966
20	hallmark	Myc Targets V2	57	58	1881	18812	9	0.11162500465711957	5	0.6862832255332466	0.27906251164279894	0.783850881473094
21	hallmark	Oxidative Phosphorylation	199	200	1881	18812	24	0.19360146700351535	31	0.008526292808571444	0.4609558738178937	0.02867068877600421
22	hallmark	Pperoxisome	99	104	1881	18812	12	0.28461751527750684	19	0.0039852470614963565	0.5959948130792176	0.022140261452757534
23	hallmark	Adipogenesis	194	200	1881	18812	22	0.29842854907981586	36	0.00019427704936935013	0.5959948130792176	0.0031639671888031946
24	hallmark	Cholesterol Homeostasis	73	74	1881	18812	9	0.3051974030432663	17	0.0007076048330876677	0.5959948130792176	0.005523269833923834
25	hallmark	Allograft Rejection	157	200	1881	18812	18	0.30570805482053004	14	0.7135179900122062	0.5959948130792176	0.792797766680229
26	hallmark	Apoptosis	148	161	1881	18812	17	0.3099173028011932	33	7.889143557290504e-06	0.5959948130792176	0.0003944571778645252
27	hallmark	Wnt-beta Catenin Signaling	40	42	1881	18812	5	0.3708726720637945	4	0.5769789501370968	0.6868012445625824	0.7036328660208497
28	hallmark	Fatty Acid Metabolism	149	158	1881	18812	16	0.4207606192653539	28	0.0007732577767493368	0.751358248688132	0.005523269833923834
29	hallmark	Xenobiotic Metabolism	184	200	1881	18812	19	0.4770217929662579	30	0.004995434790285342	0.8224513671832033	0.024487842689323004
30	hallmark	Epithelial Mesenchymal Transition	176	200	1881	18812	18	0.4966004890801227	26	0.027776463710849787	0.8276674818002046	0.06613443740678521
31	hallmark	IL-2/STAT5 Signaling	180	199	1881	18812	18	0.5365611149407077	22	0.18866831010402893	0.8654211531301738	0.29333555606593237
32	hallmark	Coagulation	120	138	1881	18812	11	0.6644391551408861	17	0.08911898413849656	0.9982705047337064	0.15914104310445815
33	hallmark	KRAS Signaling Up	165	200	1881	18812	15	0.6897887756963228	15	0.6897887756963228	0.9982705047337064	0.783850881473094
34	hallmark	Interferon Gamma Response	182	200	1881	18812	16	0.7426932478728477	28	0.01403681551508126	0.9982705047337064	0.03693898819758226
35	hallmark	Apical Surface	42	44	1881	18812	3	0.8051481868866391	7	0.12115789486140122	0.9982705047337064	0.20192982476900204
