dataset	unit_id	n_cells	n_nonterminal	n_barrier	n_cycle	n_at2	mean_fate_primary	mean_fate_connectivity	mean_fate_combined	mean_fate_gpcca	within_unit_cr_fate	within_unit_contact_absorb	included
GSE123902	LX255B	198	135	23	40	3	0.39674396793859584	0.39674396793859584		0.6247029217222557	0.4394729634643268	0.48653094913795636	True
GSE123902	LX653	139	107	26	6	22	0.6915028137534353	0.6915028137534353		0.6758637562701719			True
GSE123902	LX661	112	86	10	16	7	0.5942768520902046	0.5942768520902046		0.6556266659852927			True
GSE123902	LX666	400	373	4	23	70	0.3260133382474369	0.3260133382474369		0.6990321557389517	0.536008948556915	0.5464178287924597	True
GSE123902	LX675	400	301	20	79	17	0.33986946915796323	0.33986946915796323		0.6293672732187606	0.33226719650736214	0.3384449732920222	True
GSE123902	LX676	145	99	10	36	0	0.39907076280006437	0.39907076280006437		0.6410834929716341	0.37173118050009296	0.44815447921464674	True
GSE123902	LX679	400	307	66	27	2	0.637440907003992	0.637440907003992		0.6651111668602706	0.5216987321104217	0.5661701187275584	True
GSE123902	LX680	220	133	74	13	1	0.6769780604325534	0.6769780604325534		0.6762441542827675	0.5880978720053862	0.5443464397781789	True
GSE123902	LX681	400	310	77	13	16	0.8284603400373233	0.8284603400373233		0.6770278006803465	0.5132331437846259	0.550523095536255	True
GSE123902	LX682	388	264	19	105	1	0.19241915089643788	0.19241915089643788		0.5372465072134013	0.11303799025208387	0.11318111632996819	True
GSE123902	LX684	166	152	7	7	29	0.751568557303059	0.751568557303059		0.6829278041476969			True
GSE123902	LX699	39	18	4	17	0	0.1923004480336966	0.1923004480336966		0.4804996312708497			True
GSE123902	LX701	83	64	4	15	1	0.17013948817211288	0.17013948817211288		0.28404852542830655			True
GSE131907	BRONCHO_11	203	157	24	22	13	0.7515261342784454	0.7515261342784454		0.013413897931443215	0.6795832304767135	0.5885735254113866	True
GSE131907	BRONCHO_58	400	355	8	37	235	0.6904735224036193	0.6904735224036193		0.019345670512810095	0.636452208560784	0.6045094375385052	True
GSE131907	EBUS_06	400	214	54	132	0	0.41198650168975226	0.41198650168975226		0.01032500799642362	0.6507520584240669	0.47247346410088803	True
