dataset	from_state	to_state	contact_prob
GSE123902	at2_like	at2_like	0.19480808326723095
GSE123902	at2_like	intermediate	0.6875204058377138
GSE123902	at2_like	barrier_cldn4_high	0.06153794142123686
GSE123902	at2_like	cycle_cldn4_low	0.05613356947381852
GSE123902	intermediate	at2_like	0.05005589140369085
GSE123902	intermediate	intermediate	0.7449676320767992
GSE123902	intermediate	barrier_cldn4_high	0.10057027321225132
GSE123902	intermediate	cycle_cldn4_low	0.1044062033072587
GSE123902	barrier_cldn4_high	at2_like	0.029929326790439508
GSE123902	barrier_cldn4_high	intermediate	0.6835703661798006
GSE123902	barrier_cldn4_high	barrier_cldn4_high	0.24051459758895738
GSE123902	barrier_cldn4_high	cycle_cldn4_low	0.04598570944080262
GSE123902	cycle_cldn4_low	at2_like	0.02342881432391737
GSE123902	cycle_cldn4_low	intermediate	0.5992257334008654
GSE123902	cycle_cldn4_low	barrier_cldn4_high	0.03663907949628108
GSE123902	cycle_cldn4_low	cycle_cldn4_low	0.34070637277893623
GSE131907	at2_like	at2_like	0.33939366923558995
GSE131907	at2_like	intermediate	0.5826267024410645
GSE131907	at2_like	barrier_cldn4_high	0.05356113761192465
GSE131907	at2_like	cycle_cldn4_low	0.02441849071142096
GSE131907	intermediate	at2_like	0.10669675240519932
GSE131907	intermediate	intermediate	0.7175984789053249
GSE131907	intermediate	barrier_cldn4_high	0.09612692924618503
GSE131907	intermediate	cycle_cldn4_low	0.07957783944329067
GSE131907	barrier_cldn4_high	at2_like	0.07772675025974826
GSE131907	barrier_cldn4_high	intermediate	0.6841442148149895
GSE131907	barrier_cldn4_high	barrier_cldn4_high	0.1597704142556024
GSE131907	barrier_cldn4_high	cycle_cldn4_low	0.0783586206696598
GSE131907	cycle_cldn4_low	at2_like	0.03098488041382525
GSE131907	cycle_cldn4_low	intermediate	0.47120211822289915
GSE131907	cycle_cldn4_low	barrier_cldn4_high	0.06560981549665694
GSE131907	cycle_cldn4_low	cycle_cldn4_low	0.4322031858666186
GSE205335	at2_like	at2_like	0.20162162702087477
GSE205335	at2_like	intermediate	0.6548738026485131
GSE205335	at2_like	barrier_cldn4_high	0.09358227780738185
GSE205335	at2_like	cycle_cldn4_low	0.049922292523230334
GSE205335	intermediate	at2_like	0.06103402304607171
GSE205335	intermediate	intermediate	0.785208607835846
GSE205335	intermediate	barrier_cldn4_high	0.07901940099854167
GSE205335	intermediate	cycle_cldn4_low	0.07473796811954049
GSE205335	barrier_cldn4_high	at2_like	0.07024843642469192
GSE205335	barrier_cldn4_high	intermediate	0.605456799556014
GSE205335	barrier_cldn4_high	barrier_cldn4_high	0.2909313945301885
GSE205335	barrier_cldn4_high	cycle_cldn4_low	0.03336336948910555
GSE205335	cycle_cldn4_low	at2_like	0.036504169544304806
GSE205335	cycle_cldn4_low	intermediate	0.5363223901237195
GSE205335	cycle_cldn4_low	barrier_cldn4_high	0.02914117346140351
GSE205335	cycle_cldn4_low	cycle_cldn4_low	0.3980322668705721
GSE189357	at2_like	at2_like	0.19614497580668472
GSE189357	at2_like	intermediate	0.6136150258604703
GSE189357	at2_like	barrier_cldn4_high	0.10003414374647983
GSE189357	at2_like	cycle_cldn4_low	0.09020585458636514
GSE189357	intermediate	at2_like	0.038775447729269184
GSE189357	intermediate	intermediate	0.742887584070273
GSE189357	intermediate	barrier_cldn4_high	0.0970685823497326
GSE189357	intermediate	cycle_cldn4_low	0.12126838585072516
GSE189357	barrier_cldn4_high	at2_like	0.03738872675114337
GSE189357	barrier_cldn4_high	intermediate	0.6061223279189644
GSE189357	barrier_cldn4_high	barrier_cldn4_high	0.3146316301557428
GSE189357	barrier_cldn4_high	cycle_cldn4_low	0.041857315174149506
GSE189357	cycle_cldn4_low	at2_like	0.03210020044425213
GSE189357	cycle_cldn4_low	intermediate	0.6537312513027369
GSE189357	cycle_cldn4_low	barrier_cldn4_high	0.043343892766459946
GSE189357	cycle_cldn4_low	cycle_cldn4_low	0.27082465548655116
