mouse_id	genotype	n_tumors	cldn4_mean	tnk_score	ifn_mhc_score	sample_ids	titles
K_268	K	1	5.150090433	-0.5386995093178417	-0.13387187005276063	GSM176566	268T1 ||  Kras || primary lung tumor || Ad
K_287	K	1	5.8090726	0.20959680144000487	0.14017629216846747	GSM176567	287 ||  Kras || primary lung tumor || Ad
K_405	K	1	5.172956631	0.8825736280721386	0.21318444208744972	GSM176568	405 ||  Kras || primary lung tumor || Ad
K_484	K	1	5.48838672	-0.7730177104482145	0.3289389439133979	GSM176569	484 ||  Kras || primary lung tumor || Ad
K_498	K	1	6.450677379	-0.5908156239096866	-0.1619064946435497	GSM176571	498(2)-T1 ||  Kras || primary lung tumor || Ad
K_Ink4a_14	K_Ink4a	1	4.584491867	0.9295948284225012	-0.3506462628775771	GSM176572	14T1 || K-ras p16Ink4a-/- || primary lung tumor || Ad
KP_186	KP	1	5.761733048	0.8059633620189177	0.02563482210209624	GSM176573	186T1 || K-ras p53L/L || primary lung tumor || Ad
KP_196	KP	1	5.713447618	0.6268198460368413	-0.0973299717928194	GSM176574	196T1 || K-ras p53L/L || primary lung tumor || Ad
KP_197	KP	1	5.781537955	0.7751690352442873	-0.16203412566207	GSM176576	197T1 || K-ras p53L/L || primary lung tumor || Ad
K_Ink4a_91	K_Ink4a	1	5.5273695	0.7558548856188911	-0.0158146296543329	GSM176577	91T1 || K-ras p16Ink4a-/- || primary lung tumor || Ad
KP_498	KP	1	6.301533556	-0.21915637177844863	0.366513940015921	GSM176578	498(1)T1 || K-ras p53L/L || primary lung tumor || Ad
KP_500	KP	1	5.918043151	0.2302755893499011	-0.5025334709774422	GSM176580	500T1 || K-ras p53L/L || primary lung tumor || Ad
KL_592	KL	3	6.475283321666666	-0.29024411823811613	-0.33858949498815255	GSM176581,GSM176599,GSM176600	592-M || K-ras LKB L/L  || Met || Ad | 592T1 || K-ras Lkb1 L/L|| primary lung tumor || Ad | 592T2 || K-ras Lkb1 L/L || primary lung tumor || Ad
KL_861	KL	1	4.65079496	-0.007267865681832065	0.3986312854169474	GSM176585	861T1 || K-ras LKB1 L/L || primary lung tumor || Ad
KL_113	KL	1	7.285439063	-0.09024379521608802	-0.3401106088647688	GSM176587	113-T1 || K-ras Lkb1 L/- || primary lung tumor || Sq
KL_392	KL	2	4.994416031	-0.12042929872637784	0.04618538243727777	GSM176588,GSM176590	392T1 || K-ras Lkb1 L/+ || primary lung tumor || Ad | 392T2 || K-ras Lkb1 L/+ || primary lung tumor || Ad
KL_452	KL	2	7.038279575000001	-0.42532375141273415	0.0716189667668772	GSM176591,GSM176593	452T1 || K-ras Lkb1 L/- || primary lung tumor || Ad-sq (mixed) | 452T2 || K-ras Lkb1 L/- || primary lung tumor || Ad-sq (mixed)
KL_459	KL	1	5.409407681	0.44580679768739917	0.17774619373492104	GSM176595	459T1 || K-ras Lkb1 L/- || primary lung tumor || Ad
KL_540	KL	2	7.2916846455	-0.6069393520980204	0.3723651550454647	GSM176596,GSM176597	540T1 || K-ras Lkb1 L/- || primary lung tumor || Sq | 540T2 || K-ras Lkb1 L/- || primary lung tumor || Sq
KL_547	KL	1	4.96750098	-0.26633673835015426	0.14885099155132808	GSM176598	547T1 || K-ras Lkb1 L/- || primary lung tumor || Ad
