unit	subset	endpoint	n_mice_spearman	spearman_r	spearman_p	split_n_mice	split_n_high	split_n_low	split_median_split_value	split_mean_high	split_mean_low	split_delta_high_minus_low	split_mannwhitney_u	split_mannwhitney_p	split_welch_t	split_welch_p	split_note
tumor	all_mouse_tumors	tnk_score	25	-0.3561538461538461	0.08056424160875285	25	13	12	5.761733048	-0.13400228521511964	0.14516914231637987	-0.2791714275314995	58.0	0.2888443663464849	-1.2070531877036008	0.23975644852934194	
tumor	all_mouse_tumors	ifn_mhc_score	25	-0.29615384615384616	0.15059346877779897	25	13	12	5.761733048	-0.08924900068012295	0.09668641740346567	-0.18593541808358863	49.0	0.1210945670385861	-1.217395373145005	0.23700144921351554	
mouse	all_mice	tnk_score	20	-0.3639097744360902	0.11472526385210567	20	10	10	5.737590333	-0.020171822459998302	0.1934898863313351	-0.2136617087913334	39.0	0.4273553138978077	-0.8425984965068961	0.4108506263034978	
mouse	all_mice	ifn_mhc_score	20	-0.156390977443609	0.5102566899029022	20	10	10	5.737590333	-0.05288650190371567	0.0715874504763832	-0.12447395238009887	36.0	0.3074894566186813	-1.046377405353721	0.3101955748540372	
tumor	genotype=K	tnk_score	5	-0.3	0.623837664781073	5	3	2	5.48838672	-0.38474551097263204	0.17193705937714843	-0.5566825703497804	1.0	0.4	-0.7210324388288816	0.5737466878985025	
tumor	genotype=K	ifn_mhc_score	5	-0.3	0.623837664781073	5	3	2	5.48838672	0.10240291381277189	0.03965628601734454	0.06274662779542735	3.0	1.0	0.2790912912169055	0.8033964000540091	
tumor	genotype=KL	tnk_score	13	-0.3516483516483516	0.2386997053420338	13	7	6	6.764258668	-0.4218660714516473	-0.023516043431292905	-0.39835002802035435	9.0	0.10139860139860139	-1.901992262197781	0.08581200830563472	
tumor	genotype=KL	ifn_mhc_score	13	-0.38461538461538464	0.19441291997748633	13	7	6	6.764258668	-0.12372685312071731	0.20262939286970508	-0.3263562459904224	10.0	0.13752913752913754	-1.2690164528658046	0.23384561897003736	
tumor	genotype=KP	tnk_score	5	-0.7	0.1881204043741873	5	3	2	5.781537955	0.2620960842719133	0.7163916040278795	-0.4542955197559662	1.0	0.4	-1.5087422746300447	0.2516537734743728	
tumor	genotype=KP	ifn_mhc_score	5	0.09999999999999999	0.8728885715695384	5	3	2	5.781537955	-0.0993512188745304	-0.03584757484536158	-0.06350364402916882	2.0	0.8	-0.24406555253112822	0.8278445406524841	
tumor	genotype=K_Ink4a	tnk_score	2			2	0	0									n=2 too small for median-split test
tumor	genotype=K_Ink4a	ifn_mhc_score	2			2	0	0									n=2 too small for median-split test
