sample_id	title	characteristics	genotype	mouse_id	is_metastasis	cldn4	tnk_score	ifn_mhc_score	unit
GSM176566	268T1 ||  Kras || primary lung tumor || Ad	268-T1 Tumor I LSL-Kras Adenocarcinoma	K	K_268	False	5.150090433	-0.5386995093178417	-0.13387187005276063	tumor
GSM176567	287 ||  Kras || primary lung tumor || Ad	287 Tumor L LSL-Kras Adenocarcinoma	K	K_287	False	5.8090726	0.20959680144000487	0.14017629216846747	tumor
GSM176568	405 ||  Kras || primary lung tumor || Ad	405 Tumor A LSL-Kras Adenocarcinoma	K	K_405	False	5.172956631	0.8825736280721386	0.21318444208744972	tumor
GSM176569	484 ||  Kras || primary lung tumor || Ad	484 Tumor K LSL-Kras Adenocarcinoma	K	K_484	False	5.48838672	-0.7730177104482145	0.3289389439133979	tumor
GSM176571	498(2)-T1 ||  Kras || primary lung tumor || Ad	498 (2)-T1 Tumor J LSL-Kras Adenocarcinoma	K	K_498	False	6.450677379	-0.5908156239096866	-0.1619064946435497	tumor
GSM176572	14T1 || K-ras p16Ink4a-/- || primary lung tumor || Ad	14-T1 Tumor G LSL-Kras, p16Ink4a-/- Adenocarcinoma	K_Ink4a	K_Ink4a_14	False	4.584491867	0.9295948284225012	-0.3506462628775771	tumor
GSM176573	186T1 || K-ras p53L/L || primary lung tumor || Ad	186-T1 Tumor C LSL-Kras, p53L/L Adenocarcinoma	KP	KP_186	False	5.761733048	0.8059633620189177	0.02563482210209624	tumor
GSM176574	196T1 || K-ras p53L/L || primary lung tumor || Ad	196-T1 Tumor B LSL-Kras, p53L/L Adenocarcinoma	KP	KP_196	False	5.713447618	0.6268198460368413	-0.0973299717928194	tumor
GSM176576	197T1 || K-ras p53L/L || primary lung tumor || Ad	197-T1 Tumor E LSL-Kras, p53L/L Adenocarcinoma	KP	KP_197	False	5.781537955	0.7751690352442873	-0.16203412566207	tumor
GSM176577	91T1 || K-ras p16Ink4a-/- || primary lung tumor || Ad	91-T1 Tumor F LSL-Kras, p16Ink4a-/- Adenocarcinoma	K_Ink4a	K_Ink4a_91	False	5.5273695	0.7558548856188911	-0.0158146296543329	tumor
GSM176578	498(1)T1 || K-ras p53L/L || primary lung tumor || Ad	498 (1)-T1 Tumor H LSL-Kras, p53L/L Adenocarcinoma	KP	KP_498	False	6.301533556	-0.21915637177844863	0.366513940015921	tumor
GSM176580	500T1 || K-ras p53L/L || primary lung tumor || Ad	500-T1 Tumor D LSL-Kras, p53L/L Adenocarcinoma	KP	KP_500	False	5.918043151	0.2302755893499011	-0.5025334709774422	tumor
GSM176581	592-M || K-ras LKB L/L  || Met || Ad	592-M Tumor O3 LSL-Kras, Lkb1L/L Adenocarcinoma,metastasis	KL	KL_592	True	7.042337934	0.22560659346477152	-0.5050028255077524	tumor
GSM176585	861T1 || K-ras LKB1 L/L || primary lung tumor || Ad	861-T1 Tumor Q LSL-Kras, Lkb1L/L Adenocarcinoma	KL	KL_861	False	4.65079496	-0.007267865681832065	0.3986312854169474	tumor
GSM176587	113-T1 || K-ras Lkb1 L/- || primary lung tumor || Sq	113-T1 Tumor S LSL-Kras, Lkb1L/- Squamous carcinoma	KL	KL_113	False	7.285439063	-0.09024379521608802	-0.3401106088647688	tumor
GSM176588	392T1 || K-ras Lkb1 L/+ || primary lung tumor || Ad	392-T1 Tumor P1 LSL-Kras, Lkb1L/+ Adenocarcinoma	KL	KL_392	False	4.800506345	0.11601669208965953	0.5052826356450559	tumor
GSM176590	392T2 || K-ras Lkb1 L/+ || primary lung tumor || Ad	392-T2 Tumor P2 LSL-Kras, Lkb1L/+ Adenocarcinoma	KL	KL_392	False	5.188325717	-0.3568752895424152	-0.4129118707705004	tumor
GSM176591	452T1 || K-ras Lkb1 L/- || primary lung tumor || Ad-sq (mixed)	452-T1 Tumor R2 LSL-Kras, Lkb1L/- Adenosquamous carcinoma	KL	KL_452	False	6.764258668	-0.45402760536904496	0.06438752894510102	tumor
GSM176593	452T2 || K-ras Lkb1 L/- || primary lung tumor || Ad-sq (mixed)	452-T2 Tumor R1 LSL-Kras, Lkb1L/- Adenosquamous carcinoma	KL	KL_452	False	7.312300482	-0.39661989745642334	0.0788504045886534	tumor
GSM176595	459T1 || K-ras Lkb1 L/- || primary lung tumor || Ad	459-T1 Tumor M LSL-Kras , Lkb1L/- Adenocarcinoma	KL	KL_459	False	5.409407681	0.44580679768739917	0.17774619373492104	tumor
GSM176596	540T1 || K-ras Lkb1 L/- || primary lung tumor || Sq	540-T1 Tumor T1 LSL-Kras, Lkb1L/- Squamous carcinoma	KL	KL_540	False	7.125875711	-0.9961805244759409	0.9333771170237994	tumor
GSM176597	540T2 || K-ras Lkb1 L/- || primary lung tumor || Sq	540-T2 Tumor T2 LSL-Kras, Lkb1L/- Squamous carcinoma	KL	KL_540	False	7.45749358	-0.21769817972009992	-0.18864680693287003	tumor
GSM176598	547T1 || K-ras Lkb1 L/- || primary lung tumor || Ad	547-T1 Tumor N LSL-Kras , Lkb1L/- Adenocarcinoma	KL	KL_547	False	4.96750098	-0.26633673835015426	0.14885099155132808	tumor
GSM176599	592T1 || K-ras Lkb1 L/L|| primary lung tumor || Ad	592-T1 Tumor O1 LSL-Kras, Lkb1L/L Adenocarcinoma	KL	KL_592	False	5.616938372	-0.07243985679041459	0.39817712164047847	tumor
GSM176600	592T2 || K-ras Lkb1 L/L || primary lung tumor || Ad	592-T2 Tumor O2 LSL-Kras, Lkb1L/L Adenocarcinoma	KL	KL_592	False	6.766573659	-1.0238990913887054	-0.9089427810971837	tumor
