contrast	n	rho	ci_lo	ci_hi	p
malignant_CLDN4_mean vs T/NK_fraction	13	-0.131868131868132	-0.636606523191723	0.451964112816553	0.667607576217515
malignant_CLDN4_pct_pos vs T/NK_fraction	13	-0.434065934065934	-0.794936320544211	0.153683344165593	0.138342377888213
malignant_CLDN4_mean vs IFN	13	-0.43956043956044	-0.797422152160992	0.147046758284242	0.13286024415693
malignant_CLDN4_mean vs MHC-I/APM	13	-0.0714285714285714	-0.598852953163244	0.499211977950022	0.816628040676086
malignant_CLDN4_mean vs TJ(CLDN4 held out)	13	0.653846153846154	0.160774209972476	0.885738851422525	0.0153485167321055
