lineage	site	Freq
b	METASTASIS	467
epithelial	METASTASIS	2338
myeloid	METASTASIS	1614
other	METASTASIS	1924
tnk	METASTASIS	3948
b	NORMAL	145
epithelial	NORMAL	777
myeloid	NORMAL	4697
other	NORMAL	872
tnk	NORMAL	6230
b	PRIMARY_TUMOUR	2024
epithelial	PRIMARY_TUMOUR	2095
myeloid	PRIMARY_TUMOUR	3731
other	PRIMARY_TUMOUR	2628
tnk	PRIMARY_TUMOUR	9357
