family	n_Q1	n_Q4	delta_median_Q4_minus_Q1	wilcox_p
IFN	4	4	-0.0779140570815871	0.193930852282411
MHC-I/APM	4	4	0.0479376089634485	1
TJ(CLDN4 held out)	4	4	0.170393036023548	0.0303828219765776
